filing_id,company_id,ticker,company_name,accession_number,accession_nodash,form_type,filing_date,report_date,acceptance_datetime,fiscal_year,fiscal_period,fiscal_quarter,sic,sic_description,state_of_incorporation,fiscal_year_end,primary_document,primary_doc_description,source_url,raw_html_path,raw_text_path,is_xbrl,is_inline_xbrl
000032019322000007,0000320193,AAPL,Apple Inc.,0000320193-22-000007,000032019322000007,10-Q,2022-01-28,2021-12-25,2022-01-27T23:00:58.000Z,2022,Q1,1,3571,Electronic Computers,CA,0926,aapl-20211225.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm,source_data/SEC/raw_html/000032019322000007.html,source_data/SEC/filing/000032019322000007.txt,1,1
000032019322000059,0000320193,AAPL,Apple Inc.,0000320193-22-000059,000032019322000059,10-Q,2022-04-29,2022-03-26,2022-04-28T22:03:58.000Z,2022,Q2,2,3571,Electronic Computers,CA,0926,aapl-20220326.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm,source_data/SEC/raw_html/000032019322000059.html,source_data/SEC/filing/000032019322000059.txt,1,1
000032019322000070,0000320193,AAPL,Apple Inc.,0000320193-22-000070,000032019322000070,10-Q,2022-07-29,2022-06-25,2022-07-28T22:06:56.000Z,2022,Q3,3,3571,Electronic Computers,CA,0926,aapl-20220625.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm,source_data/SEC/raw_html/000032019322000070.html,source_data/SEC/filing/000032019322000070.txt,1,1
000032019322000108,0000320193,AAPL,Apple Inc.,0000320193-22-000108,000032019322000108,10-K,2022-10-28,2022-09-24,2022-10-27T22:01:14.000Z,2022,FY,4,3571,Electronic Computers,CA,0926,aapl-20220924.htm,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,source_data/SEC/raw_html/000032019322000108.html,source_data/SEC/filing/000032019322000108.txt,1,1
000032019323000006,0000320193,AAPL,Apple Inc.,0000320193-23-000006,000032019323000006,10-Q,2023-02-03,2022-12-31,2023-02-02T23:01:30.000Z,2023,Q1,1,3571,Electronic Computers,CA,0926,aapl-20221231.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm,source_data/SEC/raw_html/000032019323000006.html,source_data/SEC/filing/000032019323000006.txt,1,1
000032019323000064,0000320193,AAPL,Apple Inc.,0000320193-23-000064,000032019323000064,10-Q,2023-05-05,2023-04-01,2023-05-04T22:03:52.000Z,2023,Q2,2,3571,Electronic Computers,CA,0926,aapl-20230401.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm,source_data/SEC/raw_html/000032019323000064.html,source_data/SEC/filing/000032019323000064.txt,1,1
000032019323000077,0000320193,AAPL,Apple Inc.,0000320193-23-000077,000032019323000077,10-Q,2023-08-04,2023-07-01,2023-08-03T22:04:43.000Z,2023,Q3,3,3571,Electronic Computers,CA,0926,aapl-20230701.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm,source_data/SEC/raw_html/000032019323000077.html,source_data/SEC/filing/000032019323000077.txt,1,1
000032019323000106,0000320193,AAPL,Apple Inc.,0000320193-23-000106,000032019323000106,10-K,2023-11-03,2023-09-30,2023-11-02T22:08:27.000Z,2023,FY,4,3571,Electronic Computers,CA,0926,aapl-20230930.htm,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,source_data/SEC/raw_html/000032019323000106.html,source_data/SEC/filing/000032019323000106.txt,1,1
000032019324000006,0000320193,AAPL,Apple Inc.,0000320193-24-000006,000032019324000006,10-Q,2024-02-02,2023-12-30,2024-02-01T23:03:38.000Z,2024,Q1,1,3571,Electronic Computers,CA,0926,aapl-20231230.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/aapl-20231230.htm,source_data/SEC/raw_html/000032019324000006.html,source_data/SEC/filing/000032019324000006.txt,1,1
000032019324000069,0000320193,AAPL,Apple Inc.,0000320193-24-000069,000032019324000069,10-Q,2024-05-03,2024-03-30,2024-05-02T22:04:25.000Z,2024,Q2,2,3571,Electronic Computers,CA,0926,aapl-20240330.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/aapl-20240330.htm,source_data/SEC/raw_html/000032019324000069.html,source_data/SEC/filing/000032019324000069.txt,1,1
