period_id,period_start,period_end,fiscal_year,fiscal_period,fiscal_quarter,frame,period_type
period_000001,,2018-02-01,2022,FY,4,,instant
period_000002,,2018-02-01,2023,FY,4,,instant
period_000003,,2018-02-01,2024,FY,4,,instant
period_000004,,2018-02-01,2025,FY,4,CY2017Q4I,instant
period_000005,,2018-12-30,2021,FY,4,CY2018Q4I,instant
period_000006,,2018-12-31,2021,FY,4,CY2018Q4I,instant
period_000007,,2019-01-27,2022,FY,4,CY2018Q4I,instant
period_000008,,2019-01-31,2022,FY,4,CY2018Q4I,instant
period_000009,,2019-06-30,2022,FY,4,CY2019Q2I,instant
period_000010,,2019-09-28,2022,FY,4,CY2019Q3I,instant
period_000011,,2019-12-29,2021,FY,4,,instant
period_000012,,2019-12-29,2021,FY,4,CY2019Q4I,instant
period_000013,,2019-12-29,2022,FY,4,CY2019Q4I,instant
period_000014,,2019-12-31,2021,FY,4,,instant
period_000015,,2019-12-31,2021,FY,4,CY2019Q4I,instant
period_000016,,2019-12-31,2022,FY,4,CY2019Q4I,instant
period_000017,,2020-01-26,2022,FY,4,,instant
period_000018,,2020-01-26,2022,FY,4,CY2019Q4I,instant
period_000019,,2020-01-26,2023,FY,4,CY2019Q4I,instant
period_000020,,2020-01-31,2022,FY,4,,instant
period_000021,,2020-01-31,2022,FY,4,CY2019Q4I,instant
period_000022,,2020-01-31,2023,FY,4,CY2019Q4I,instant
period_000023,,2020-03-31,2022,Q1,1,CY2020Q1I,instant
period_000024,,2020-05-01,2022,FY,4,CY2020Q1I,instant
period_000025,,2020-06-30,2022,FY,4,,instant
period_000026,,2020-06-30,2022,FY,4,CY2020Q2I,instant
period_000027,,2020-06-30,2022,Q2,2,,instant
period_000028,,2020-06-30,2022,Q2,2,CY2020Q2I,instant
period_000029,,2020-06-30,2022,Q3,3,,instant
period_000030,,2020-06-30,2023,FY,4,CY2020Q2I,instant
period_000031,,2020-08-10,2022,Q3,3,CY2020Q2I,instant
period_000032,,2020-09-26,2022,FY,4,,instant
period_000033,,2020-09-26,2022,Q1,1,,instant
period_000034,,2020-09-26,2022,Q2,2,,instant
period_000035,,2020-09-26,2022,Q3,3,,instant
period_000036,,2020-09-26,2022,Q3,3,CY2020Q3I,instant
period_000037,,2020-09-26,2023,FY,4,CY2020Q3I,instant
period_000038,,2020-09-30,2022,Q2,2,CY2020Q3I,instant
period_000039,,2020-09-30,2022,Q3,3,CY2020Q3I,instant
period_000040,,2020-12-18,2021,FY,4,CY2020Q4I,instant
period_000041,,2020-12-26,2022,Q1,1,,instant
period_000042,,2020-12-26,2022,Q1,1,CY2020Q4I,instant
period_000043,,2020-12-26,2022,Q2,2,CY2020Q4I,instant
period_000044,,2020-12-31,2021,FY,4,,instant
period_000045,,2020-12-31,2021,FY,4,CY2020Q4I,instant
period_000046,,2020-12-31,2022,FY,4,,instant
period_000047,,2020-12-31,2022,FY,4,CY2020Q4I,instant
period_000048,,2020-12-31,2022,Q1,1,,instant
period_000049,,2020-12-31,2022,Q2,2,,instant
period_000050,,2020-12-31,2022,Q2,2,CY2020Q4I,instant
period_000051,,2020-12-31,2022,Q3,3,,instant
period_000052,,2020-12-31,2022,Q3,3,CY2020Q4I,instant
period_000053,,2020-12-31,2023,FY,4,CY2020Q4I,instant
period_000054,,2021-01-01,2021,FY,4,,instant
period_000055,,2021-01-01,2022,FY,4,,instant
period_000056,,2021-01-03,2021,FY,4,,instant
period_000057,,2021-01-03,2021,FY,4,CY2020Q4I,instant
period_000058,,2021-01-03,2022,FY,4,,instant
period_000059,,2021-01-03,2022,FY,4,CY2020Q4I,instant
period_000060,,2021-01-03,2022,Q1,1,,instant
period_000061,,2021-01-03,2022,Q2,2,,instant
period_000062,,2021-01-03,2022,Q3,3,,instant
period_000063,,2021-01-03,2023,FY,4,CY2020Q4I,instant
period_000064,,2021-01-31,2022,FY,4,,instant
period_000065,,2021-01-31,2022,FY,4,CY2020Q4I,instant
period_000066,,2021-01-31,2023,FY,4,,instant
period_000067,,2021-01-31,2023,FY,4,CY2020Q4I,instant
period_000068,,2021-01-31,2023,Q1,1,,instant
period_000069,,2021-01-31,2023,Q2,2,,instant
period_000070,,2021-01-31,2023,Q3,3,,instant
period_000071,,2021-01-31,2024,FY,4,CY2020Q4I,instant
period_000072,,2021-03-27,2022,Q2,2,,instant
period_000073,,2021-03-27,2022,Q2,2,CY2021Q1I,instant
period_000074,,2021-03-27,2022,Q3,3,CY2021Q1I,instant
period_000075,,2021-03-31,2022,Q1,1,,instant
period_000076,,2021-03-31,2022,Q1,1,CY2021Q1I,instant
period_000077,,2021-03-31,2022,Q2,2,,instant
period_000078,,2021-03-31,2022,Q2,2,CY2021Q1I,instant
period_000079,,2021-03-31,2022,Q3,3,CY2021Q1I,instant
period_000080,,2021-03-31,2023,Q1,1,CY2021Q1I,instant
period_000081,,2021-04-01,2021,FY,4,CY2021Q1I,instant
period_000082,,2021-04-04,2022,Q1,1,,instant
period_000083,,2021-04-04,2022,Q1,1,CY2021Q1I,instant
period_000084,,2021-04-04,2022,Q2,2,CY2021Q1I,instant
period_000085,,2021-04-30,2023,Q1,1,,instant
period_000086,,2021-04-30,2023,Q1,1,CY2021Q1I,instant
period_000087,,2021-04-30,2023,Q2,2,,instant
period_000088,,2021-04-30,2023,Q3,3,CY2021Q1I,instant
period_000089,,2021-05-01,2022,FY,4,,instant
period_000090,,2021-05-01,2023,FY,4,CY2021Q1I,instant
period_000091,,2021-05-02,2023,Q1,1,,instant
period_000092,,2021-05-02,2023,Q1,1,CY2021Q1I,instant
period_000093,,2021-05-02,2023,Q2,2,CY2021Q1I,instant
period_000094,,2021-06-26,2022,Q3,3,CY2021Q2I,instant
period_000095,,2021-06-30,2021,FY,4,,instant
period_000096,,2021-06-30,2021,FY,4,CY2021Q2I,instant
period_000097,,2021-06-30,2022,FY,4,,instant
period_000098,,2021-06-30,2022,FY,4,CY2021Q2I,instant
period_000099,,2021-06-30,2022,Q2,2,,instant
period_000100,,2021-06-30,2022,Q2,2,CY2021Q2I,instant
period_000101,,2021-06-30,2022,Q3,3,,instant
period_000102,,2021-06-30,2022,Q3,3,CY2021Q2I,instant
period_000103,,2021-06-30,2023,FY,4,,instant
period_000104,,2021-06-30,2023,FY,4,CY2021Q2I,instant
period_000105,,2021-06-30,2023,Q1,1,,instant
period_000106,,2021-06-30,2023,Q2,2,,instant
period_000107,,2021-06-30,2023,Q2,2,CY2021Q2I,instant
period_000108,,2021-06-30,2023,Q3,3,,instant
period_000109,,2021-06-30,2024,FY,4,,instant
period_000110,,2021-07-04,2021,FY,4,CY2021Q2I,instant
period_000111,,2021-07-04,2022,Q2,2,,instant
period_000112,,2021-07-04,2022,Q2,2,CY2021Q2I,instant
period_000113,,2021-07-04,2022,Q3,3,CY2021Q2I,instant
period_000114,,2021-07-19,2022,FY,4,,instant
period_000115,,2021-07-19,2023,Q1,1,CY2021Q2I,instant
period_000116,,2021-07-30,2022,FY,4,CY2021Q2I,instant
period_000117,,2021-07-31,2023,Q2,2,,instant
period_000118,,2021-07-31,2023,Q2,2,CY2021Q2I,instant
period_000119,,2021-07-31,2023,Q3,3,CY2021Q2I,instant
period_000120,,2021-08-01,2023,Q2,2,,instant
period_000121,,2021-08-01,2023,Q2,2,CY2021Q2I,instant
period_000122,,2021-08-01,2023,Q3,3,CY2021Q2I,instant
period_000123,,2021-09-25,2022,FY,4,,instant
period_000124,,2021-09-25,2022,FY,4,CY2021Q3I,instant
period_000125,,2021-09-25,2022,Q1,1,,instant
period_000126,,2021-09-25,2022,Q2,2,,instant
period_000127,,2021-09-25,2022,Q3,3,,instant
period_000128,,2021-09-25,2022,Q3,3,CY2021Q3I,instant
period_000129,,2021-09-25,2023,FY,4,,instant
period_000130,,2021-09-25,2023,Q1,1,,instant
period_000131,,2021-09-25,2023,Q2,2,,instant
period_000132,,2021-09-25,2023,Q3,3,,instant
period_000133,,2021-09-25,2024,FY,4,CY2021Q3I,instant
period_000134,,2021-09-30,2021,FY,4,,instant
period_000135,,2021-09-30,2022,FY,4,CY2021Q3I,instant
period_000136,,2021-09-30,2022,Q2,2,,instant
period_000137,,2021-09-30,2022,Q3,3,,instant
period_000138,,2021-09-30,2022,Q3,3,CY2021Q3I,instant
period_000139,,2021-09-30,2023,Q1,1,,instant
period_000140,,2021-09-30,2023,Q1,1,CY2021Q3I,instant
period_000141,,2021-09-30,2023,Q2,2,CY2021Q3I,instant
period_000142,,2021-09-30,2023,Q3,3,CY2021Q3I,instant
period_000143,,2021-10-03,2022,Q3,3,CY2021Q3I,instant
period_000144,,2021-10-04,2021,FY,4,,instant
period_000145,,2021-10-04,2022,FY,4,,instant
period_000146,,2021-10-04,2022,Q1,1,,instant
period_000147,,2021-10-04,2022,Q2,2,,instant
period_000148,,2021-10-04,2022,Q3,3,,instant
period_000149,,2021-10-04,2023,FY,4,,instant
period_000150,,2021-10-04,2023,Q1,1,,instant
period_000151,,2021-10-04,2023,Q2,2,,instant
period_000152,,2021-10-04,2023,Q3,3,,instant
period_000153,,2021-10-04,2024,Q1,1,CY2021Q3I,instant
period_000154,,2021-10-31,2023,Q3,3,CY2021Q3I,instant
period_000155,,2021-12-25,2022,Q1,1,,instant
period_000156,,2021-12-25,2022,Q1,1,CY2021Q4I,instant
period_000157,,2021-12-25,2022,Q2,2,,instant
period_000158,,2021-12-25,2022,Q2,2,CY2021Q4I,instant
period_000159,,2021-12-25,2023,Q1,1,,instant
period_000160,,2021-12-25,2023,Q1,1,CY2021Q4I,instant
period_000161,,2021-12-25,2023,Q2,2,CY2021Q4I,instant
period_000162,,2021-12-30,2021,FY,4,,instant
period_000163,,2021-12-31,2021,FY,4,,instant
period_000164,,2021-12-31,2021,FY,4,CY2021Q4I,instant
period_000165,,2021-12-31,2022,FY,4,,instant
period_000166,,2021-12-31,2022,FY,4,CY2021Q4I,instant
period_000167,,2021-12-31,2022,Q1,1,,instant
period_000168,,2021-12-31,2022,Q1,1,CY2021Q4I,instant
period_000169,,2021-12-31,2022,Q2,2,,instant
period_000170,,2021-12-31,2022,Q2,2,CY2021Q4I,instant
period_000171,,2021-12-31,2022,Q3,3,,instant
period_000172,,2021-12-31,2022,Q3,3,CY2021Q4I,instant
period_000173,,2021-12-31,2023,FY,4,,instant
period_000174,,2021-12-31,2023,FY,4,CY2021Q4I,instant
period_000175,,2021-12-31,2023,Q1,1,,instant
period_000176,,2021-12-31,2023,Q2,2,,instant
period_000177,,2021-12-31,2023,Q2,2,CY2021Q4I,instant
period_000178,,2021-12-31,2023,Q3,3,,instant
period_000179,,2021-12-31,2023,Q3,3,CY2021Q4I,instant
period_000180,,2021-12-31,2024,FY,4,CY2021Q4I,instant
period_000181,,2022-01-02,2021,FY,4,,instant
period_000182,,2022-01-02,2021,FY,4,CY2021Q4I,instant
period_000183,,2022-01-02,2022,FY,4,,instant
period_000184,,2022-01-02,2022,FY,4,CY2021Q4I,instant
period_000185,,2022-01-02,2022,Q1,1,,instant
period_000186,,2022-01-02,2022,Q2,2,,instant
period_000187,,2022-01-02,2022,Q3,3,,instant
period_000188,,2022-01-02,2022,Q3,3,CY2021Q4I,instant
period_000189,,2022-01-02,2023,FY,4,,instant
period_000190,,2022-01-02,2023,FY,4,CY2021Q4I,instant
period_000191,,2022-01-02,2023,Q1,1,,instant
period_000192,,2022-01-02,2023,Q2,2,,instant
period_000193,,2022-01-02,2023,Q3,3,,instant
period_000194,,2022-01-02,2024,FY,4,CY2021Q4I,instant
period_000195,,2022-01-14,2022,Q1,1,CY2021Q4I,instant
period_000196,,2022-01-20,2022,Q2,2,CY2021Q4I,instant
period_000197,,2022-01-26,2021,FY,4,CY2021Q4I,instant
period_000198,,2022-01-30,2022,FY,4,,instant
period_000199,,2022-01-30,2022,FY,4,CY2021Q4I,instant
period_000200,,2022-01-30,2023,FY,4,,instant
period_000201,,2022-01-30,2023,FY,4,CY2021Q4I,instant
period_000202,,2022-01-30,2023,Q1,1,,instant
period_000203,,2022-01-30,2023,Q2,2,,instant
period_000204,,2022-01-30,2023,Q3,3,,instant
period_000205,,2022-01-30,2023,Q3,3,CY2021Q4I,instant
period_000206,,2022-01-30,2024,FY,4,,instant
period_000207,,2022-01-30,2024,FY,4,CY2021Q4I,instant
period_000208,,2022-01-30,2024,Q1,1,,instant
period_000209,,2022-01-30,2024,Q2,2,,instant
period_000210,,2022-01-30,2024,Q3,3,,instant
period_000211,,2022-01-30,2025,FY,4,CY2021Q4I,instant
period_000212,,2022-01-31,2021,FY,4,,instant
period_000213,,2022-01-31,2021,FY,4,CY2021Q4I,instant
period_000214,,2022-01-31,2022,FY,4,,instant
period_000215,,2022-01-31,2022,FY,4,CY2021Q4I,instant
period_000216,,2022-01-31,2023,FY,4,,instant
period_000217,,2022-01-31,2023,FY,4,CY2021Q4I,instant
period_000218,,2022-01-31,2023,Q1,1,,instant
period_000219,,2022-01-31,2023,Q2,2,,instant
period_000220,,2022-01-31,2023,Q3,3,,instant
period_000221,,2022-01-31,2023,Q3,3,CY2021Q4I,instant
period_000222,,2022-01-31,2024,FY,4,,instant
period_000223,,2022-01-31,2024,FY,4,CY2021Q4I,instant
period_000224,,2022-01-31,2024,Q1,1,,instant
period_000225,,2022-01-31,2024,Q2,2,,instant
period_000226,,2022-01-31,2024,Q3,3,,instant
period_000227,,2022-01-31,2025,FY,4,CY2021Q4I,instant
period_000228,,2022-02-01,2022,FY,4,CY2021Q4I,instant
period_000229,,2022-02-01,2022,Q1,1,,instant
period_000230,,2022-02-01,2022,Q2,2,,instant
period_000231,,2022-02-01,2022,Q3,3,,instant
period_000232,,2022-02-10,2021,FY,4,CY2021Q4I,instant
period_000233,,2022-03-11,2022,FY,4,CY2022Q1I,instant
period_000234,,2022-03-16,2022,FY,4,CY2022Q1I,instant
period_000235,,2022-03-25,2022,FY,4,CY2022Q1I,instant
period_000236,,2022-03-26,2022,Q2,2,,instant
period_000237,,2022-03-26,2022,Q2,2,CY2022Q1I,instant
period_000238,,2022-03-26,2022,Q3,3,,instant
period_000239,,2022-03-26,2022,Q3,3,CY2022Q1I,instant
period_000240,,2022-03-26,2023,Q2,2,,instant
