pdf_filename,paper_name,author,institute,topic,uses_knowledge_graph,reasoning_depth,baseline,retrieval_method,generator_model,uses_reranker,data_modality,evaluation_dataset,evaluation_metric,application_domain,use_agent,agent_framework,performance_on_hotpotqa,performance_on_NQ,multi_turn_retrieval,baseline_amount
2401.01511v1_Enhancing-Multilingual-Information-Retrieval-in-Mixed-Human-Resources-Environments-A-RAG-Model-Imple.pdf,Enhancing Multilingual Information Retrieval in Mixed Human Resources Environments: A RAG Model Implementation for Multicultural Enterprise,Rameel Ahmad,Interloop Limited,Retrieval-Augmented Generation,No,single-hop,GPT-3; GPT-4;LLaMA2; LAMBADA; PALM,Dense Retrieval,GPT-3; GPT-4; LLaMA2; LAMBADA; PALM,No,Text; Audio,Internal HR and QA documents,Coherence; Relevance; Hallucination; Calculation Efficacy; Response Time; Accuracy (%); Speed (ms); Cost ($); Context Retention; Processing Time (ms); Reduction in HR queries; User engagement; Number of complaints,General,No,,,,No,5
2401.06800v1_Reinforcement-Learning-for-Optimizing-RAG-for-Domain-Chatbots.pdf,Reinforcement Learning for Optimizing RAG for Domain Chatbots,Mandar Kulkarni; Praveen Tangarajan; Kyung Kim; Anusua Trivedi,"Flipkart Data Science Seattle, Washington, USA",Retrieval-Augmented Generation,No,multi-hop,e5-base-v2; gpt-2,Dense Retrieval,gpt-3.5-turbo-16k-0613,No,Text,FAQ dataset,top-1 accuracy; top-3 accuracy;Accuracy,Finance,Yes,Other,,,Yes,2
2401.08406v3_RAG-vs-Fine-tuning-Pipelines-Tradeoffs-and-a-Case-Study-on-Agriculture.pdf,RAG-vs-Fine-tuning-Pipelines-Tradeoffs-and-a-Case-Study-on-Agriculture,Angels Balaguer; Vinamra Benara; Renato Cunha; Roberto Estevão; Todd Hendry; Daniel Holstein; Jennifer Marsman; Nick Mecklenburg; Sara Malvar; Leonardo O. Nunes; Rafael Padilha; Morris Sharp; Bruno Silva; Swati Sharma; Vijay Aski; Ranveer Chandra,Microsoft,Retrieval-Augmented Generation,No,single-hop,Llama2-13B-chat; Vicuna-13B-v1.5-16k; GPT-4,Dense Retrieval,Llama2-13B-chat; Vicuna-13B-v1.5-16k; GPT-4; Llama2 13B,No,Text,"Custom Agriculture Dataset (USA, Brazil, India); Washington state benchmark dataset",Accuracy; Succinctness; Correctness; Recall,Other,No,,,,No,3
2401.11246v1_Prompt-RAG-Pioneering-Vector-Embedding-Free-Retrieval-Augmented-Generation-in-Niche-Domains-Exemplif.pdf,"Prompt-RAG: Pioneering Vector Embedding-Free Retrieval-Augmented Generation in Niche Domains, Exemplified by Korean Medicine",Bongsu Kang; Jundong Kim; Tae-Rim Yun; Chang-Eop Kim,"Department of Physiology, College of Korean Medicine, Gachon University, Seongnam, Gyeonggi, Republic of Korea; Department of Neurobiology, Stanford University School of Medicine, Stanford, California, USA",Retrieval-Augmented Generation,No,single-hop,ChatGPT-3.5; ChatGPT-4; C50-V300; C100-V150,Dense Retrieval,GPT-4-0613; GPT-3.5-turbo-16k-0613; GPT-4; GPT-3.5,Yes,Text,Custom Korean Medicine (KM) questions,relevance; readability; informativeness; Response time,Medical,No,,,,No,4
2401.15378v5_A-RAG-based-Question-Answering-System-Proposal-for-Understanding-Islam-MufassirQAS-LLM.pdf,Improving LLM Reliability with RAG in Religious Question-Answering: MufassirQAS,Ahmet Yusuf Alan; Enis Karaarslan; Omer Aydin,"Mugla Sitki Kocman University, Department of Computer Engineering, Türkiye; Manisa Celal Bayar University, Department of Electrical and Electronics Engineering, Türkiye; University of Waterloo, Management Science and Engineering, Canada",Retrieval-Augmented Generation,No,single-hop,ChatGPT,Hybrid Retrieval,ChatGPT-3.5 Turbo,Yes,Text,MufassirQAS,Accuracy,Education,No,,,,No,1
2402.07016v1_REALM-RAG-Driven-Enhancement-of-Multimodal-Electronic-Health-Records-Analysis-via-Large-Language-Mod.pdf,REALM: RAG-Driven Enhancement of Multimodal Electronic Health Records Analysis via Large Language Models,Yinghao Zhu; Changyu Ren; Shiyun Xie; Shukai Liu; Hangyuan Ji; Zixiang Wang; Tao Sun; Long He; Zhoujun Li; Xi Zhu; Chengwei Pan,"Institute of Artificial Intelligence, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Software, Beihang University, Beijing, China; China Mobile Research Institute, Beijing, China",Retrieval-Augmented Generation,Yes,single-hop,M3Care; MPIM; UMM; VecoCare; GRAM; KAME; CGL; KerPrint,Dense Retrieval,BERT、BGE-M3、Qwen-7B,No,Text; Table,MIMIC-III,"AUROC; AUPRC; min(+P, Se); F1",Medical,No,,,,Yes,8
2402.16893v1_The-Good-and-The-Bad-Exploring-Privacy-Issues-in-Retrieval-Augmented-Generation-RAG.pdf,The Good and The Bad: Exploring Privacy Issues in Retrieval-Augmented Generation (RAG),Shenglai Zeng; Jiankun Zhang; Pengfei He; Yue Xing; Yiding Liu; Han Xu; Jie Ren; Shuaiqiang Wang; Dawei Yin; Yi Chang; Jiliang Tang,"Michigan State University; Baidu, Inc.; School of Artificial Intelligence, Jilin University; International Center of Future Science, Jilin University; Engineering Research Center of Knowledge-Driven Human-Machine Intelligence, MOE, China",Retrieval-Augmented Generation,No,single-hop,Llama2-7b-Chat; GPT-3.5-turbo,Dense Retrieval,Llama-7b-chat; Llama13b-chat; GPT-3.5-turbo;,Yes,Text,Enron Email; HealthcareMagic-101;,ROUGE-L; Perplexity,Medical,No,,,,No,2
2403.01193v3_RAGged-Edges-The-Double-Edged-Sword-of-Retrieval-Augmented-Chatbots.pdf,RAGged Edges: The Double-Edged Sword of Retrieval-Augmented Chatbots,Philip Feldman; James R. Foulds; Shimei Pan,"ASRC Federal; University of Maryland, Baltimore County",Retrieval-Augmented Generation,No,single-hop,OpenAI models,Other,gpt-3.5-turbo-16k-0613,No,Text,Custom (Academic CVs),Accuracy; Partial; Hallucinations; Unhelpful,Academic,No,,,,No,1
2403.11413v1_Dynamic-Contexts-for-Generating-Suggestion-Questions-in-RAG-Based-Conversational-Systems.pdf,Dynamic Contexts for Generating Suggestion Questions in RAG Based Conversational Systems,Anuja Tayal; Aman Tyagi,"University of Illinois, Chicago; The Procter and Gamble Company",Retrieval-Augmented Generation,No,single-hop,Zero-Shot; Few-Shot; Dynamic Few-Shot,Dense Retrieval,ChatGPT; GPT-4; Claude2,No,Text,Pamper’s Baby Sleep Coach,Manual Evaluation (Correctness; Relevance; Soundness); Preference Benchmarking,Medical,Yes,Other,,,Yes,3
2403.14374v1_FIT-RAG-Black-Box-RAG-with-Factual-Information-and-Token-Reduction.pdf,FIT-RAG: Black-Box RAG with Factual Information and Token Reduction,YUREN MAO; XUEMEI DONG; WENYI XU; YUNJUN GAO; BIN WEI; YING ZHANG,Zhejiang University; Zhejiang Gongshang University,Retrieval-Augmented Generation,No,single-hop,Llama2-13B-Chat; ChatGPT; GenRead + Llama2-13B-Chat; REFEED + Llama2-13B-Chat; AAR+ Llama2-13B-Chat,Dense Retrieval,Llama2-13B-Chat,Yes,Text,TriviaQA; Natural Questions; PopQA,Accuracy; Recall@K,General,No,,,Acc (%): 54.0,No,5
