company_name,registered_office,exchange_code,principal_activities,board_members,executive_profiles,revenue,net_profit_or_loss,total_Debt,total_assets,cash_reserves,net_assets,earnings_per_share,dividend_per_share,largest_shareholder,the_highest_ownership_stake,major_equity_changes,major_events,bussiness_sales,bussiness_profit,bussiness_cost,business_segments_num,business_risks,remuneration_policy,auditor,id
Rectifier Technologies Ltd,"97 Highbury Road, Burwood, VIC 3125",RFT,Manufacturing||Technology,Ying Ming Wang|| Yanbin Wang || Valentino Vescovi || Nigel Machin,Yanbin Wang||Nigel Machin|| Nova Taylor,14761523.0,491955,8613673,22929553.0,7295534.0,9354707.0,0.0004,0.0,PUDU INVESTMENT (AUSTRALIA) PTY LTD,16.33,No,Major Contract||Leadership Change,14947185,739919,7352827,4.0,Market Risk||Credit Risk||Operational Risk,Mixed,Grant Thornton Audit Pty Ltd,1
Beazley plc,"22 Bishopsgate, London, EC2N 4BQ, United Kingdom",LSE,Finance,Christine LaSala || Clive Bannister || Adrian Cox || Sally Lake || Rajesh Agrawal || Pierre-Olivier Desaulle || Nicola Hodson || Fiona Muldoon || John Reizenstein || Cecilia Reyes Leuzinger || Robert Stuchbery,Adrian Cox||Sally Lake||Christine Oldridge||Paul Bantick||Beth Diamond||Bethany Greenwood||Lou Ann Layton||Richard Montminy||Bob Quane||Rachel Turk||Tim Turner||Pippa Vowles,3466600000.0,160800000,548000000,15099000000.0,652500000.0,2573500000.0,0.263,0.18,Fidelity Management & Research,9.1,Yes,Leadership Change|| Restructuring||Other,5268700000,230400000,3236200000,5.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Ernst & Young LLP,2
"Aurora Innovation, Inc.","1654 Smallman St., Pittsburgh, Pennsylvania 15222",NASDAQ,Technology||Transportation,Chris Urmson||Sterling Anderson||Brittany Bagley||Carl Eschenbach||Reid Hoffman||Claire Hughes Johnson||Dara Khosrowshahi||Michelangelo Volpi,Chris Urmson||Richard Tame,68000000.0,1723000000,217000000,2001000000.0,262000000.0,1784000000.0,1.51,0.0,Aurora Founders,49.1,Yes,Leadership Change||Other,68000000,1852000000,1920000000,3.0,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,KPMG LLP,3
NEW ZEALAND MEDIA AND ENTERTAINMENT,"2 Graham St, Auckland 1010, New Zealand",NZX||ASX,Media,Barbara Chapman||Carol Campbell||David Gibson||Sussan Turner||Guy Horrocks,Michael Boggs||Shayne Currie||Paul Hancox||Greg Hornblow||Carolyn Luey||David Mackrell||Katie Mills||Allison Whitney||Matthew Wilson||Jason Winstanley,355433000.0,22680000,168459000,306237000.0,5670000.0,137778000.0,0.1209,0.06,Citicorp Nominees Pty Limited,21.75,Yes,M&A||Leadership Change,365886000,64703000,334491000,3.0,Operational Risk||Legal/Compliance Risk||Market Risk||Strategic Risk,Mixed,PricewaterhouseCoopers,4
INMUNE BIO INC.,"225 NE Mizner Blvd, Suite 640, Boca Raton, FL 33432",NASDAQ,Healthcare,Raymond J. Tesi ||Timothy Schroeder||J. Kelly Ganjei||Scott Juda||Edgardo Baracchini||Marcia Allen,David J. Moss||Raymond J. Tesi||Mark Lowdell,374000.0,27299000,15000000,81795000.0,52153000.0,60104000.0,1.52,0.0,,,No,Other,374000,27299000,27673000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Marcum LLP,5
"CSG Systems International, Inc.","169 Inverness Dr W, Suite 300, Englewood, Colorado 80112",NASDAQ,Technology||Telecommunications||Media||Retail||Healthcare||Finance,RONALD H. COOPER||BRIAN A. SHEPHERD||HAI TRAN||DAVID N. SCHAAF||RACHEL A. BARGER||DAVID G. BARNES||GREGORY A. CONLEY||MARWAN H. FAWAZ||RAJAN NAIK||FRANK V. SICA||HAIYAN SONG||SILVIO TAVARES||TSE LI YANG,Brian A. Shepherd||Hal Tran||Kenneth M. Kennedy||Elizabeth A. Bauer||Rasmani Bhattacharya||Chad C. Dunavant||David N. Schaaf,1089752000.0,44060000,993304000,1348553000.0,150365000.0,355249000.0,1.42,1.06,,,No,M&A||Major Contract||Restructuring,1089752000,78747000,565168000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk,Mixed,KPMG LLP,6
Trinity Place Holdings Inc.,"340 Madison Avenue, Suite 3C, New York, New York, 10173",NYSE,Real Estate,Alexander Matina||Jeffrey Citrin||Alan Cohen||Joanne Minieri||Keith Pattiz||Matthew Messinger,Matthew Messinger||Steven Kahn||Richard Pyontek,42984000.0,20690000,258804000,306927000.0,22055000.0,27341000.0,0.56,0.0,,,No,M&A||Litigation||Restructuring,42984000,,51596000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,"BDO USA, LLP",7
Suncorp Group Limited,"Level 23 Heritage Lanes 80 Ann Street Brisbane, Qld 4000",ASX,Finance||Technology||Insurance,Christine McLoughlin||Sylvia Falzon||Elmer Funke Kupper||Ian Hammond||Sally Herman||Simon Machell||Douglas McTaggart||Lindsay Tanner||Duncan West||Steve Johnston,Steve Johnston||Christine McLoughlin,9250000000.0,681000000,21325000000,106000000000.0,38000000.0,6460000000.0,0.54,0.4,HSBC Custody Nominees (Australia) Limited,30.36,Yes,M&A||Restructuring||Leadership Change,10872000000,1102000000,10978000000,5.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk ,Mixed,KPMG,8
Poste Italiane S.p.A.,"Viale Europa, 190, 00144 Rome, Italy",MTA,Finance||Technology||Retail||Energy,Silvia Maria Rovere||Matteo Del Fante||Carlo D'Asaro Biondo||Valentina Gemignani||Paolo Marchioni||Matteo Petrella||Armando Ponzini||Vincenza Patrizia Rutigliano||Vanda Ternau,Matteo Del Fante||Maria Bianca Farina,13730962770.0,1745099230,119701564920,302160000000.0,5755016190.0,10321609410.0,1.34,0.75,Cassa Depositi e Prestiti SpA,35.0,Yes,M&A,13732117700,2644789700,11085018140,4.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Deloitte & Touche S.p.A.,9
"Guaranty Bancshares, Inc.","8343 Douglas Avenue, Suite 400, Dallas, Texas 75225",GNTY,Finance,Cappy Payne|| im Bunch||Jeff Brown||Kirk Lee||Chris Elliott||Ty Abston||Mike Nolan||Sondra Cunningham||Brad Drake||Ricky Baker||Carl Johnson Jr.||Josh Bray,Ty Abston||Cappy Payne||Sondra Cunningham||Brad Drake||Jim Bunch||Kirk Lee||Jeff Brown||Ricky Baker,107829000.0,40423000,,3351495000.0,2681154000.0,295558000.0,3.38,0.88,,,No,Other,131314000,40423000,82057000,4.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk,Not Disclosed,Whitley Penn,10
Incitec Pivot Limited,"Level 8, 28 Freshwater Place, Southbank Victoria 3006, Australia",IPL,Mining||Agriculture||Manufacturing||Energy||Technology,Brian Kruger||Jeanne Johns||Bruce Brook||Xiaoling Liu||George Biltz||Gregory Robinson||Tonianne Dwyer,Jeanne Johns||Paul Victor||Greg Hayne||Braden Lusk||Stephenie De Nichilo||Sunil Salhotra||Rob Mill||Robert Rounsley||Margot Sharapova,6315300000.0,1027000000,1778600000,9378600000.0,763500000.0,763500000.0,0.52,0.17,HSBC Custody Nominees (Australia) Limited,34.57,No,M&A||Other,6381100000,1535500000,4972300000,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Deloitte Touche Tohmatsu,11
Toshiba Corporation,"1-1, Shibaura 1-chome, Minato-ku, Tokyo, Japan",TSE,Manufacturing||Technology||Energy||Retail||Other,Taro SHIMADA||Goro YANASE||Akihiro WATANABE||Paul J. BROUGH||Ayako Hirota WEISSMAN||Jerome Thomas BLACK||George Raymond ZAGE III||Katsunori HASHIMOTO||Mikio MOCHIZUKI||Ayumi UZAWA||Eijiro IMAI||Nabeel BHANJI,,25003000000.0,1460000000,9070000000,29750000000.0,1880000000.0,9070000000.0,3.34,1.65,"The Master Trust Bank of Japan, Ltd.",11.6,No,M&A||Leadership Change||Restructuring,2236000000,106463000,2129327000,7.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,KPMG AZSA LLC,12
Swiss Water Decaffeinated Coffee Inc.,"7750 Beedie Way, Delta, British Columbia, V4G 0A5, Canada",SWP,Manufacturing||Agriculture||Other,Alan Wallace ||Frank Dennis,Taro Shimada||Akihiro Watanabe,176935000.0,2387000,164133000,219039000.0,37809000.0,54906000.0,,,Mill Road Capital LLC,6.6,No,Leadership Change,176940000,2387000,150800000,1.0,Market Risk||Operational Risk||Environmental Risk,Mixed,PricewaterhouseCoopers LLP,13
"Kiniksa Pharmaceuticals, Ltd.","Clarendon House, 2 Church Street, Hamilton HM11, Bermuda",KNSA,Healthcare,Sanj K. Patel|| Mark Ragosa|| Michael R. Megna|| Felix J. Baker|| Stephen R. Biggar|| G. Bradley Cole|| Richard S. Levy|| Thomas R. Malley|| Tracey L. McCain|| Kimberly J. Popovits|| Barry D. Quart,Sanj K. Patel|| Mark Ragosa,220180000.0,183363000,63523000,459672000.0,122715000.0,396149000.0,2.64,,,30.0,No,M&A,122500000,183400000,210400000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,PricewaterhouseCoopers LLP,14
NuCana plc,"77/78 Cannon Street, London EC4N 6AF, United Kingdom",NASDAQ,Healthcare,Hugh Griffith||Andrew Kay||Martin Mellish||Adam George||Cyrille Leperlier||Elliott Levy||Bali Muralidhar,Hugh Griffith||Donald Munoz||Jeffrey Bloss||David Harrison,0.0,-43452817,,79065000.0,56873000.0,52248000.0,-0.828,,Entities affiliated with Sofinnova Investments,15.3,No,Leadership Change,,,59298000,1.0,Market Risk||Credit Risk||Operational Risk,Mixed,Ernst & Young LLP,15
Westwater Resources Inc.,"6950 S. Potomac Street, Suite 300, Centennial, CO 80112",NYSE,Mining||Energy,Frank Bakker||Terence J. Cryan||Tracy D. Pagliara||Karli S. Anderson||Deborah A. Peacock,Frank Bakker||Steven M. Cates||John W. Lawrence,,-11121000,,168408000.0,75196000.0,141968000.0,-0.25,0.0,Not Disclosed,,Yes,Leadership Change||Major Contract,,,12125000,1.0,Market Risk||Credit Risk||Operational Risk,Mixed,Moss Adams LLP,16
Brave Bison Group plc,"The Varnish Works, 3 Bravingtons Walk, London N1 9AJ",AIM,Media||Technology,Oliver Green||Theodore Green||Matthew Law||Gordon Brough,Oliver Green||Theodore Green||Philippa Norridge,42963764.0,2823562,951413,27962361.0,8800000.0,13602000.0,0.0026,0.0,Oliver Green & Theodore Green (Greenspan Investments Ltd),22.34,No,M&A||Leadership Change,42963764,1983800,19956000,2.0,Market Risk||Credit Risk||Operational Risk,Mixed,Moore Kingston Smith LLP,17
Playtech plc,"Ground Floor, St George  s Court, Upper Church Street, Douglas, Isle of Man IM1 1EE",LSE,Technology||Media,Brian Mattingley||Mor Weizer||Chris McGinnis||Ian Penrose||Anna Massion||John Krumins||Linda Marston Weston||Samy Reeb,Mor Weizer||Chris McGinnis,1850197860.0,101356000,632890000,3491312000.0,492579000.0,1964298000.0,0.337,0.0,Gopher Investments,4.97,Yes,,1850197860,122600000,1403000000,2.0,Market Risk||Credit Risk||Operational Risk,Mixed,BDO LLP,18
"RumbleOn, Inc.","901 W Walnut Hill Lane, Irving, TX 75038",NASDAQ,Retail||Technology,Steven Pully||Mark Tkach||Marshall Chesrown||Adam Alexander||Melvin Flanigan||Shin Lee||Michael Marchlik||Rebecca Polak||Kevin Westfall,Mark Tkach||Blake Lawson||Michael Francis,1793368000.0,"261,513,000",635247000,1027210000.0,48579000.0,206015000.0,16.48,0.0,William Coulter,16.01,Yes,,1793368000,"180,565,000",1403000000,3.0,Market Risk||Credit Risk||Operational Risk,Mixed,Grant Thornton LLP,19
"Syndax Pharmaceuticals, Inc.","35 Gatehouse Drive, Building D Floor 3, Waltham, MA 02451",NASDAQ,Biopharmaceuticals||Technology,Michael A. Metzger||Dennis G. Podlesak||Martin H. Huber||Jennifer Jarrett||Keith A. Katkin||Pierre Legault||William Meury||Briggs W. Morrison,Michael A. Metzger||Keith Goldan||Briggs W. Morrison,,"149,338,000",,497236000.0,74356000.0,467449000.0,2.46,0.0,Not Disclosed,0.0,Yes,,0,"151,757,000",151757000,1.0,Market Risk||Credit Risk||Operational Risk,Mixed,Deloitte & Touche LLP,20
MGM Resorts International,"3799 Las Vegas Boulevard South, Las Vegas, Nevada 89109",NYSE,Other||Real Estate||Media,,Bill Hornbuckle||Jonathan Halkyard||Corey Sanders,13128000000.0,1467000000,23690000000,45869000000.0,2418000000.0,10192000000.0,3.4,0.0,,,Yes,M&A||Restructuring,10676000000,1925000000,8751000000,3.0,Market Risk||Operational Risk||Legal/Compliance Risk,Mixed,Deloitte & Touche LLP,21
AA Limited,"Fanum House, Basing View, Basingstoke, Hampshire, RG21 4EA, England",LSE,Finance||Transportation,Rick Haythornthwaite||Jakob Pfaudler||James O'Gara||Gordon Holmes||Adarsh Sarma||Joseph Knoll||Simon Breakwell||Jakob Pfaudler||Kory Sorenson,Rick Haythornthwaite||Jakob Pfaudler||James O'Gara||Gordon Holmes||Adarsh Sarma||Joseph Knoll||Simon Breakwell||Jakob Pfaudler||Kory Sorenson,989000000.0,-27000000,3031000000,2045000000.0,112000000.0,-986000000.0,,,Basing Bidco Limited ,,Yes,M&A,,,,2.0,Market Risk||Operational Risk||Other,Stock Option||Performance-based,PricewaterhouseCoopers LLP,22
