institution_name,institution_type,parent_organization,leadership,institution_country,institution_city,research_diseases,research_fields,key_technologies,key_achievements,international_collaboration,funding_sources,technology_application,id
Benha University||Benha University Hospital||Benha Faculty of Medicine,university-affiliated,Benha University,Nancy W. Mikhael||rehab M. Salem||Amira I. Mansour||Esraa M. Salah El Din||mohammed Hammad El Azab,Egypt,Benha,Acne Vulgaris,clinical_research||pathology||others,enzyme-linked immunosorbent assay (ELISA),,,,objective evaluation of psychosocial impact of acne vulgaris,500484
Microbiome Research Centre||MRC,university-affiliated,UNSW Sydney||St George and Sutherland Clinical School,Professor Emad El-Omar||Dr Bill Giannakopoulos,Australia,Sydney,systemic lupus erythematosus||antiphospholipid syndrome,immunology||microbiology||clinical_research,bioinformatics,,,,,223208
Center on Mindfulness and Integrative Health Intervention Development,university-affiliated,University of Utah,Eric Garland,USA,Salt Lake City,chronic pain||addiction||opioid misuse,neuroscience||clinical_research,EEG||Mindfulness-Oriented Recovery Enhancement (MORE),Largest neuroscience study of mindfulness for addiction||MORE shown to reduce opioid misuse by 45%,,government grant,mindfulness-based therapy for chronic pain and opioid misuse,473873
IGIMS || Indira Gandhi Institute of Medical Sciences,,,,India,Patna,Coronavirus Disease (COVID-19),,,,,,,631767
Henry Ford Kingswood Psychiatric Hospital,private,Henry Ford Health System,,USA,Ferndale,anxiety disorders||bipolar disorder||depression||post-traumatic stress disorder||psychosis||suicidal thoughts||suicide attempts||psychiatric illness combined with substance use,clinical_research||neuroscience,,,,,inpatient psychiatric treatment||individual counseling||group therapy||family counseling||intensive case management||medication management||electroconvulsive therapy (ECT),674631
National Veterinary Institute,public,,K Persson Waller,Sweden,Uppsala,Mastitis,microbiology||immunology||clinical_research,PCR analysis||bacteriological culture,,,,,351761
Premier Bone & Joint Centers,,,,USA,Casper,Tennis Elbow,clinical_research,,,,,,115219
Robert Jones & Agnes Hunt District Orthopaedic Hospital,public,,Mr Jayesh Trivedi,UK,Oswestry,Low Back Pain||spinal disorders||back pain||spinal deformity||disc herniations||spinal stenosis||trauma||tumours,clinical_research,3D model of the spine||navigation for insertion of screws||Minimally invasive surgery,Less than 1% perioperative infection and readmission rates following spinal surgery||Over the last 3 years no infections or neurological deficits in over 100 patients operated for scoliosis at the Alder Hey Children's Hospital,,,"Regular talks to GP forums on low back pain, cauda equina syndrome, cervical disc pathologies and tumours",88643
St. Jude Children's Research Hospital,public||university-affiliated,,James Downing||Tanja Gruber,USA,Memphis,acute lymphoblastic leukemia||childhood cancer||medulloblastoma||ependymoma||neuroblastoma||Ewing sarcoma||osteosarcoma,oncology||genomics||clinical_research,targeted drug treatments||ultraprecision radiation||immunotherapy||genome sequencing,high remission rates in MLL-rearranged acute lymphoblastic leukemia||Pediatric Cancer Genome Project discoveries,Washington University in St. Louis,philanthropy,experimental treatment for acute lymphoblastic leukemia||genome sequencing for pediatric cancer patients,600474
Johns Hopkins University Bloomberg School of Public Health,university-affiliated,Johns Hopkins University,Elizabeth Selvin||Alexandra K. Lee,USA,,Severe Hypoglycemia||diabetes,epidemiology||clinical_research,,,,government grant,,359742
