workload_id,kind,focus,n_queries,sql_manifest,nl_manifest,dataset,enabled,notes
player_agg20,baseline,single-table aggregations,20,case study/docetl_Player_v7/query_manifest.json,case study/docetl_Player_v7/query_manifest_nl.json,Player,1,original case-study workload
player_join20,pure,join depth 1-3,20,case study/workloads/player_join20/query_manifest.json,case study/workloads/player_join20/query_manifest_nl.json,Player,1,
player_groupby20,pure,GROUP BY variety,20,case study/workloads/player_groupby20/query_manifest.json,case study/workloads/player_groupby20/query_manifest_nl.json,Player,1,
player_multiagg20,pure,multiple aggregates + HAVING,20,case study/workloads/player_multiagg20/query_manifest.json,case study/workloads/player_multiagg20/query_manifest_nl.json,Player,1,
player_filterjoin20,pure,selective filters with light joins,20,case study/workloads/player_filterjoin20/query_manifest.json,case study/workloads/player_filterjoin20/query_manifest_nl.json,Player,1,
mix10_smoke,mixture,Mixture workload (mix10_smoke),10,case study/workloads/mixtures/mix10_smoke/query_manifest.json,case study/workloads/mixtures/mix10_smoke/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
mix15_spread,mixture,Mixture workload (mix15_spread),15,case study/workloads/mixtures/mix15_spread/query_manifest.json,case study/workloads/mixtures/mix15_spread/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
mix20_agg_heavy,mixture,Mixture workload (mix20_agg_heavy),20,case study/workloads/mixtures/mix20_agg_heavy/query_manifest.json,case study/workloads/mixtures/mix20_agg_heavy/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
mix20_balanced,mixture,Mixture workload (mix20_balanced),20,case study/workloads/mixtures/mix20_balanced/query_manifest.json,case study/workloads/mixtures/mix20_balanced/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
mix20_filter_heavy,mixture,Mixture workload (mix20_filter_heavy),20,case study/workloads/mixtures/mix20_filter_heavy/query_manifest.json,case study/workloads/mixtures/mix20_filter_heavy/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
mix20_groupby_filter,mixture,Mixture workload (mix20_groupby_filter),20,case study/workloads/mixtures/mix20_groupby_filter/query_manifest.json,case study/workloads/mixtures/mix20_groupby_filter/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
mix20_groupby_heavy,mixture,Mixture workload (mix20_groupby_heavy),20,case study/workloads/mixtures/mix20_groupby_heavy/query_manifest.json,case study/workloads/mixtures/mix20_groupby_heavy/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
