name,team,position,nationality,draft_year
Jay Vincent Jay Fletcher Vincent  ,Los Angeles Lakers,Frontcourt,American  ,1981.0
David Lattin  , New Orleans Jazz,Frontcourt,American  ,1967.0
Toby Kimball  , New Orleans Jazz,Frontcourt,American  ,0.0
Derek Grimm  ,Sacramento Kings  ,Frontcourt,American  ,0.0
Anthony Marshon Davis Jr.,Los Angeles Lakers,Frontcourt,American,2012.0
Philip Douglas Jackson  , Los Angeles Lakers,Frontcourt,American  ,1967.0
Anthony Avent  , PAOK Thessaloniki,Frontcourt,American  ,1991.0
Drew Edward Gordon  ,Philadelphia 76ers  ,Frontcourt,American  ,0.0
Dwayne Kenneth Schintzius  , Brevard Blue Ducks,Frontcourt,American  ,1990.0
Tim Duncan,San Antonio Spurs,Frontcourt,American,1997.0
Walter Berry , Panteras de Miranda,Frontcourt,American  ,1986.0
James Patrick Walsh  ,Philadelphia Warriors  ,Frontcourt,American  ,0.0
Calvin Ramsey  ,New York Knicks  ,Frontcourt,American  ,1959.0
Gene Dyker Eugene Walter Dyker  ,Milwaukee Hawks  ,Frontcourt,American  ,1953.0
Derrick Chievous  ,Cleveland Cavaliers  ,Frontcourt,American  ,1988.0
Rik Smits  ,Indiana Pacers  ,Frontcourt,Dutch  ,1988.0
"Harry Junior ""The Horse"" Gallatin  ",Detroit Pistons  ,Frontcourt,American  ,1949.0
Darnell Hillman  ,Golden State Warriors,Frontcourt,American,1971.0
Larry Robinson,Senior Consultant to Hockey Operations for the St. Louis Blues,Frontcourt,Canadian,0.0
Kurt Thomas  , New York Knicks,Frontcourt,American  ,1995.0
Kevin Wayne Durant,Phoenix Suns,Frontcourt,American,2007.0
Aaron Williams  , Los Angeles Clippers,Frontcourt,American  ,0.0
William Bedford  , Grand Rapids Hoops,Frontcourt,American  ,1986.0
Erazem Lorbek  , Petrol Olimpija,Frontcourt,Slovenian  ,2005.0
"Dewayne ""D. J."" White, Jr.",Piratas de Quebradillas,Frontcourt,American,2008.0
Steve Kerr  ,Golden State Warriors  ,Frontcourt,American  ,1988.0
Gregory Clinton Foster  ,Indiana Pacers  ,Frontcourt,American  ,1990.0
Bill Hewitt  ,Los Angeles Lakers,Frontcourt,American  ,0.0
Dino_Ra?a, Split,Frontcourt,Croatian  ,1989.0
Kostas Papanikolaou,Olympiacos,Frontcourt,Greek,2012.0
Dick Rosenthal  ,Fort Wayne Pistons  ,Frontcourt,American  ,1954.0
Kermit Washington  , Golden State Warriors,Frontcourt,American  ,1973.0
Wayne Lavern Robinson,Philadelphia Eagles,Frontcourt,American,1952.0
Greg Fillmore Gregory Paul Fillmore  ,New York Knicks  ,Frontcourt,American  ,1970.0
John Harding Lucas II  ,Houston Rockets  ,Frontcourt,American  ,1976.0
"Monti Davis DaMon William ""Monti"" Davis  ",Dallas Mavericks  ,Frontcourt,American  ,1980.0
Andre Jamal Drummond,Philadelphia 76ers,Frontcourt,American,2012.0
Caleb Martin,Philadelphia 76ers,Frontcourt,American,2019.0
Victor Wembanyama,San Antonio Spurs,Frontcourt,French,2023.0
Giannis Sina Ugo Antetokounmpo,Milwaukee Bucks,Frontcourt,Greek and Nigerian,2013.0
Alfred Joel Horford Reynoso,Boston Celtics,Frontcourt,Dominican,2007.0
Kevon Grant Looney,Golden State Warriors,Frontcourt,American,2015.0
Draymond Jamal Green,Golden State Warriors,Frontcourt,American,2012.0
Jonathan Malangu Kuminga,Golden State Warriors,Frontcourt,Congolese,2021.0
Shaquille Rashaun O'Neal,Boston Celtics,Frontcourt,American,1992.0
