name,position,nationality,team_name,ownership,founded_year
Alfred Joel Horford Reynoso,Frontcourt,Dominican,Boston Celtics,  ,1946
Andre Jamal Drummond,Frontcourt,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE)  ,1946
Andrew Christian Wiggins,,Canadian,Golden State Warriors,,1946
Anthony Edwards,Backcourt,American,Minnesota Timberwolves,Glen Taylor,1989
Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers,Jerry Buss (from 1979),1946
Ausar XLNC Thompson,,American,Detroit Pistons,,1937
Austin Tyler Reaves,,American,Los Angeles Lakers,Jerry Buss (from 1979),1946
Bill Hewitt  ,Frontcourt,American  ,Los Angeles Lakers,Jerry Buss (from 1979),1946
Cade Parker Cunningham,,American,Detroit Pistons,,1937
Caleb Martin,Frontcourt,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE)  ,1946
"Chavano Rainer ""Buddy"" Hield",,Bahamian,Golden State Warriors,,1946
Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs, ,1967
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,Jerry Buss (from 1979),1946
Dan Anderson,,American,Portland Trail Blazers,Paul Allen,1970
Darnell Hillman  ,Frontcourt,American,Golden State Warriors,,1946
Dennis Schr?der,,German,Brooklyn Nets,Joseph Tsai,1967
Devin Armani Booker,Backcourt,American,Phoenix Suns, ,1968
Draymond Jamal Green,Frontcourt,American,Golden State Warriors,,1946
Duncan McBryde Robinson,,American,Miami Heat,Micky Arison  ,1988
"Edrice Femi ""Bam"" Adebayo",,American,Miami Heat,Micky Arison  ,1988
Erick Strickland  ,,American  ,Milwaukee Bucks,Wes Edens and Marc Lasry  ,1968
Giannis Sina Ugo Antetokounmpo,Frontcourt,Greek and Nigerian,Milwaukee Bucks,Wes Edens and Marc Lasry  ,1968
Harrison Bryce Jordan Barnes,,American,San Antonio Spurs, ,1967
Jaden Edward Dhananjay Ivey,,American,Detroit Pistons,,1937
Jalen Marquis Brunson,,American,New York Knicks,James L. Dolan,1946
Jay Vincent Jay Fletcher Vincent  ,Frontcourt,American  ,Los Angeles Lakers,Jerry Buss (from 1979),1946
Jaylen Marselles Brown,Backcourt,American,Boston Celtics,  ,1946
Jayson Christopher Tatum,,American,Boston Celtics,  ,1946
Joel Hans Embiid,,Cameroonian-American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE)  ,1946
Jonathan Malangu Kuminga,Frontcourt,Congolese,Golden State Warriors,,1946
Kevin Wayne Durant,Frontcourt,American,Phoenix Suns, ,1968
Kevin Wesley Love,,American,Miami Heat,Micky Arison  ,1988
Kevon Grant Looney,Frontcourt,American,Golden State Warriors,,1946
Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers,Jerry Buss (from 1979),1946
Kyle Forman Anderson,,American-Chinese,Golden State Warriors,,1946
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE)  ,1946
Kyrie Andrew Irving,,American,Dallas Mavericks,Miriam Adelson and Patrick Dumont,1980
LeBron Raymone James Sr.,,American,Los Angeles Lakers,Jerry Buss (from 1979),1946
Lonzo Anderson Ball,Backcourt,American,Chicago Bulls,,1966
Magic Johnson  ,Backcourt,American  ,Los Angeles Lakers,Jerry Buss (from 1979),1946
Mark Price  ,Backcourt,American  ,Orlando Magic,,1989
Max Berning Fiedler,,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE)  ,1946
Paul Clifton Anthony George,,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE)  ,1946
Shaquille Rashaun O'Neal,Frontcourt,American,Boston Celtics,  ,1946
Tim Duncan,Frontcourt,American,San Antonio Spurs, ,1967
Tyler Christopher Herro,Backcourt,American,Miami Heat,Micky Arison  ,1988
Vernon Maxwell,Backcourt,American,Dallas Mavericks,Miriam Adelson and Patrick Dumont,1980
Victor Wembanyama,Frontcourt,French,San Antonio Spurs, ,1967
Zach Collins,,American,San Antonio Spurs, ,1967
Zachary Thomas LaVine,,American,Chicago Bulls,,1966
