company_name,principal_activities,revenue,net_profit_or_loss,total_assets,business_risks
Rectifier Technologies Ltd,Manufacturing||Technology,14761523.0,491955,22929553.0,Market Risk||Credit Risk||Operational Risk
Beazley plc,Finance,3466600000.0,160800000,15099000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"Aurora Innovation, Inc.",Technology||Transportation,68000000.0,1723000000,2001000000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
NEW ZEALAND MEDIA AND ENTERTAINMENT,Media,355433000.0,22680000,306237000.0,Operational Risk||Legal/Compliance Risk||Market Risk||Strategic Risk
INMUNE BIO INC.,Healthcare,374000.0,27299000,81795000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"CSG Systems International, Inc.",Technology||Telecommunications||Media||Retail||Healthcare||Finance,1089752000.0,44060000,1348553000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
Trinity Place Holdings Inc.,Real Estate,42984000.0,20690000,306927000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Suncorp Group Limited,Finance||Technology||Insurance,9250000000.0,681000000,106000000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk 
Poste Italiane S.p.A.,Finance||Technology||Retail||Energy,13730962770.0,1745099230,302160000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"Guaranty Bancshares, Inc.",Finance,107829000.0,40423000,3351495000.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
Incitec Pivot Limited,Mining||Agriculture||Manufacturing||Energy||Technology,6315300000.0,1027000000,9378600000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Toshiba Corporation,Manufacturing||Technology||Energy||Retail||Other,25003000000.0,1460000000,29750000000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Swiss Water Decaffeinated Coffee Inc.,Manufacturing||Agriculture||Other,176935000.0,2387000,219039000.0,Market Risk||Operational Risk||Environmental Risk
"Kiniksa Pharmaceuticals, Ltd.",Healthcare,220180000.0,183363000,459672000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
NuCana plc,Healthcare,0.0,-43452817,79065000.0,Market Risk||Credit Risk||Operational Risk
Westwater Resources Inc.,Mining||Energy,,-11121000,168408000.0,Market Risk||Credit Risk||Operational Risk
Brave Bison Group plc,Media||Technology,42963764.0,2823562,27962361.0,Market Risk||Credit Risk||Operational Risk
Playtech plc,Technology||Media,1850197860.0,101356000,3491312000.0,Market Risk||Credit Risk||Operational Risk
"RumbleOn, Inc.",Retail||Technology,1793368000.0,"261,513,000",1027210000.0,Market Risk||Credit Risk||Operational Risk
"Syndax Pharmaceuticals, Inc.",Biopharmaceuticals||Technology,,"149,338,000",497236000.0,Market Risk||Credit Risk||Operational Risk
MGM Resorts International,Other||Real Estate||Media,13128000000.0,1467000000,45869000000.0,Market Risk||Operational Risk||Legal/Compliance Risk
AA Limited,Finance||Transportation,989000000.0,-27000000,2045000000.0,Market Risk||Operational Risk||Other
Benjamin Hornigold Ltd,Finance,-171254.0,-1239019,7710615.0,Credit Risk||Market Risk
"BCB Bancorp, Inc.",Finance,118615000.0,45579000,3546193000.0,Market Risk||Operational Risk||Credit Risk||Strategic Risk
Kelly Partners Group Holdings Limited,Finance,67435877.0,13328745,106642496.0,Credit Risk||Market Risk
Nordic American Tankers Limited,Transportation,339340000.0,15101000,879883000.0,Credit Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Operational Risk
Franklin Covey Co.,Other,262841000.0,18430000,259155000.0,Market Risk||Strategic Risk||Other
Integra LifeSciences Holdings Corporation,Healthcare||Manufacturing||Technology,1557666000.0,180550000,3889758000.0,Market Risk||Operational Risk||Credit Risk||Strategic Risk
Mosaic Brands Limited,Retail,433755700.0,-8019200,239726000.0,Market Risk||Credit Risk
Albany International Corp.,Manufacturing||Technology,1034887000.0,95800000,1642255000.0,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk
