name,nationality,achievement_count,type
Anthony Marshon Davis Jr.,American,1.0,Championships
Philip Douglas Jackson  ,American  ,13.0,Championships
Magic Johnson  ,American  ,5.0,Championships
Isiah Thomas  ,American  ,2.0,Championships
Jahlil Okafor,Nigerian-American,1.0,Championships
Trent Tucker  ,American  ,1.0,Championships
Miles Julian Simon  ,American  ,1.0,Championships
Vernon Maxwell,American,2.0,Championships
Tim Duncan,American,5.0,Championships
Kevin Wayne Durant,American,2.0,Championships
William Bedford  ,American  ,1.0,Championships
Steve Smith,American,1.0,Championships
Steve Kerr  ,American  ,9.0,Championships
Gregory Clinton Foster  ,American  ,1.0,Championships
Kyrie Andrew Irving,American,1.0,Championships
Jayson Christopher Tatum,American,1.0,Championships
Andrew Christian Wiggins,Canadian,1.0,Championships
"Ogugua ""OG"" Anunoby Jr.",British,1.0,Championships
Jaylen Marselles Brown,American,1.0,Championships
Jrue Randall Holiday  ,American  ,2.0,Championships
Kevin Wesley Love,American,1.0,Championships
Giannis Sina Ugo Antetokounmpo,Greek and Nigerian,1.0,Championships
Wardell Stephen Curry II  ,American  ,4.0,Championships
Alfred Joel Horford Reynoso,Dominican,1.0,Championships
LeBron Raymone James Sr.,American,4.0,Championships
Kevon Grant Looney,American,3.0,Championships
Kyle Terrell Lowry,American,1.0,Championships
Michael Jeffrey Jordan,American,6.0,Championships
Draymond Jamal Green,American,4.0,Championships
Jonathan Malangu Kuminga,Congolese,1.0,Championships
Shaquille Rashaun O'Neal,American,4.0,Championships
Kobe Bean Bryant,American,5.0,Championships
Harrison Bryce Jordan Barnes,American,1.0,Championships
Anthony Marshon Davis Jr.,American,1.0,MVP Awards
Magic Johnson  ,American  ,3.0,MVP Awards
Isiah Thomas  ,American  ,1.0,MVP Awards
Tim Duncan,American,2.0,MVP Awards
Kevin Wayne Durant,American,1.0,MVP Awards
Nathaniel Thomas Huffman  ,American  ,1.0,MVP Awards
Joel Hans Embiid,Cameroonian-American,1.0,MVP Awards
Jayson Christopher Tatum,American,1.0,MVP Awards
Jaylen Marselles Brown,American,1.0,MVP Awards
Jrue Randall Holiday  ,American  ,1.0,MVP Awards
Giannis Sina Ugo Antetokounmpo,Greek and Nigerian,2.0,MVP Awards
Wardell Stephen Curry II  ,American  ,2.0,MVP Awards
LeBron Raymone James Sr.,American,4.0,MVP Awards
Michael Jeffrey Jordan,American,5.0,MVP Awards
Shaquille Rashaun O'Neal,American,1.0,MVP Awards
Kobe Bean Bryant,American,1.0,MVP Awards
Christopher Emmanuel Paul,American,1.0,MVP Awards
