principal_activities,revenue,net_profit_or_loss
Manufacturing||Technology,14761523.0,491955
Finance,3466600000.0,160800000
Technology||Transportation,68000000.0,1723000000
Media,355433000.0,22680000
Healthcare,374000.0,27299000
Technology||Telecommunications||Media||Retail||Healthcare||Finance,1089752000.0,44060000
Real Estate,42984000.0,20690000
Finance||Technology||Insurance,9250000000.0,681000000
Finance||Technology||Retail||Energy,13730962770.0,1745099230
Finance,107829000.0,40423000
Mining||Agriculture||Manufacturing||Energy||Technology,6315300000.0,1027000000
Manufacturing||Technology||Energy||Retail||Other,25003000000.0,1460000000
Manufacturing||Agriculture||Other,176935000.0,2387000
Healthcare,220180000.0,183363000
Healthcare,0.0,-43452817
Mining||Energy,,-11121000
Media||Technology,42963764.0,2823562
Technology||Media,1850197860.0,101356000
Retail||Technology,1793368000.0,"261,513,000"
Biopharmaceuticals||Technology,,"149,338,000"
Other||Real Estate||Media,13128000000.0,1467000000
Finance||Transportation,989000000.0,-27000000
Finance,-171254.0,-1239019
Finance,118615000.0,45579000
Finance,67435877.0,13328745
Transportation,339340000.0,15101000
Other,262841000.0,18430000
Healthcare||Manufacturing||Technology,1557666000.0,180550000
Retail,433755700.0,-8019200
Manufacturing||Technology,1034887000.0,95800000
Energy||Finance,5747505.0,-5961135
Finance,66785.0,-7337195
Energy||Utilities||Transportation,7588000000.0,945000000
Technology||Healthcare,27802000.0,-132596000
Technology,3926000.0,40116000
Healthcare,,-9926000
Mining,9071.0,-1692533
Energy,38926.0,-1981676
Technology,685083000.0,-124717000
Retail,2207885000.0,29610000
Retail,4695943000.0,125196000
Healthcare,509728000.0,-144250000
Transportation || Utilities || Telecommunications || Energy || Healthcare,7129223640.0,98611520
Technology||Manufacturing,17489000000.0,590000000
Healthcare||Manufacturing,0.0,-112300000
Finance,136030000.0,53392000
Healthcare,0.0,-13676000
Technology,198270000000.0,72738000000
Manufacturing||Retail,396056939.0,54725493
Technology||Manufacturing,1573242000.0,-76043000
Finance,5600200000.0,165500000
Finance,1733808000.0,417174000
Healthcare,,-97157000
Finance,1095046000.0,704157000
Mining,12451000000.0,-123000000
Healthcare,3394635000.0,340660000
Healthcare,60233000000.0,5643000000
Finance||Real Estate||Technology,83845000.0,26674000
Healthcare,9032000.0,-24487000
Real Estate||Retail,76645000.0,-8470000
Technology||Media,91682000.0,-57879979
Transportation||Finance||Other,6389940000.0,1252640000
Finance||Insurance||Real Estate||Other,326604000.0,87715000
Finance,5978838000.0,777168000
Other,5938818000.0,179350000
Technology,3368700.0,-6858000
Finance || Real Estate,75170000.0,10426000
Mining||Finance,0.0,-279544
Healthcare || Manufacturing,44351000000.0,3293000000
Finance,10926792730.0,1658085550
Technology||Other,2207841928.0,72993833.4
Healthcare,42796000.0,8027000
Retail,14001100000.0,88500000
Finance,62025000.0,20445000
Healthcare,0.0,-81351000
Energy,391926000.0,-49810000
Manufacturing||Technology||Retail,9231449000.0,754665000
Energy,44337071542.0,3139858817
Manufacturing||Technology||Retail||Transportation||Healthcare,757061500.0,34839779
Mining,11565941.0,-9538268
Technology||Healthcare||Cybersecurity||Marketing,1390997000.0,69549850
Technology,1284012000.0,-345404000
Finance,10812000.0,-28498000
Technology,2210529.0,-211295
Finance,2708592.0,-14416530
Finance,196621000.0,43840000
Telecommunications,975000000.0,1257000000
Manufacturing,1237680000.0,-41890000
Finance,102500000.0,15870000
Retail,458467000.0,-109733000
Technology,69765000.0,13881000
Real Estate||Retail,308860935.0,123517580
Manufacturing||Retail||Energy||Other,3172610000.0,21033655
Mining,1208.0,-716307
Retail||Real Estate,22202542600.0,548983400
Healthcare||Technology,4286000.0,-58210000
Mining,451754.0,2093291
Manufacturing||Retail||Other,725504000.0,20860800
Manufacturing||Technology,10185532.0,-2614503
Healthcare || Technology,,
