name,nationality,birth_date,field,genre
Nicolas Carone,American,1917/6/4,Painting||Sculpture,Abstract
Agustín Cárdenas Alfonso,Cuban,1927/4/10,Sculpture,
Twins Seven Seven,Nigerian,1944/5/3,Music||Painting||Sculpture,
Zao Wou-Ki,French||Chinese,1920/2/13,Painting,Abstract
Lidia Elena Prati,Argentinean,1905/4/4,Decorative||Graphic Design||Painting||Textile Art,Abstract
Alexander Bogen,,1916/1/24,Graphic Design||Illustration||Painting||Sculpture,
Jorge R. Camacho Lazo,French||Cuban,1934/1/5,Painting,
Emma Amos,American,1937/3/16,Painting||Printmaking||Textile Art,Figurative
Gunther Gerzso,Mexican,1915/6/17,Film||Graphic Design||Literature||Painting,
Eduardo Chillida Juantegui,Spanish,1924/1/10,Sculpture,Abstract
Laurel Burch,American,1945/12/31,Graphic Design||Others,
Christiaan Karel Appel,Dutch,1921/4/25,Literature||Painting||Sculpture,
Eduard Isabekyan,American,1914/11/14,Painting,Abstract||Illustration||Landscape||Other||Portrait
John Hoyland,British,1934/10/12,Painting,Abstract
Raoul De Keyser,Belgian,1930/8/29,Painting,Abstract
Esteban Vicente Pérez,Spain,1903/1/20,Painting,
Manuel Felguérez Barra,Mexico,1928/12/12,Conceptual||Sculpture,
Neil Gavin Welliver,American,1929/7/22,Painting,Landscape
Eyvind Earle,American,1916/4/26,Illustration||Painting,
Howard Finster,American,1916/12/2,Others||Spiritual,Fantasy||Portrait
Patrick Procktor,British||Irish,1936/3/12,Painting||Printmaking,Figurative||Pop Art
Mary Fedden,British,1915/8/14,Painting,Nature and Botanical||Still Life
Ronald Brooks Kitaj,American,1932/10/29,Painting,Figurative
Louise Joséphine Bourgeois,French||American,1911/12/25,Installation||Painting||Printmaking||Sculpture,
Avigdor Arikha,French||Jewish||Romanian||Israeli,1928/4/29,Drawing||Education||Painting||Printmaking,Landscape||Nude||Portrait||Still Life
Henry Pierre Villierme,American,1928/8/21,Painting||Sculpture,Landscape||Portrait||Still Life
Jean René Bazaine,French,1904/12/21,Graphic Design||Literature||Painting,Abstract
Edward Clark,American,1926/5/26,Painting,
Patrick Joseph Caulfield,British,1936/1/29,Painting||Printmaking,Figurative
Maqbool Fida Husain,Indian||Qatari,1915/9/17,Drawing||Film||Painting||Photography||Printmaking,Narrative
Lonny Wood,American,1955/8/2,Others,Pop Art
Leonora Carrington,British||Mexican,1917/4/6,Literature||Painting,Surrealist
Nassos Daphnis,American||Greek,1914/7/23,Painting||Sculpture,Abstract||Other
Frank Jeffrey Edson Smart,Australian,1905/4/4,Painting,Landscape
Afewerk Tekle,Ethiopians,1932/10/22,Architecture||Decorative||Painting||Sculpture,Cultural and Regional Themes||Religious
Richard Ernst Artschwager,American,1923/12/26,Illustration||Painting||Sculpture,
Dorothea Margaret Tanning,American,1910/8/25,Literature||Painting||Printmaking||Sculpture,Surrealist
Maurice Bernard Sendak,American,1928/6/10,Illustration||Literature,Illustration
Vilen Isaakovych Barskyi,Ukrainian||German||Jewish,1930/10/27,Graphic Design||Painting,Abstract||Avant Garde Experimental
Richard Smith,British,1931/10/27,Painting||Printmaking,Abstract
Jean-Paul Riopelle,Canadian,1923/10/7,Painting||Sculpture,Abstract
Albert Ràfols-Casamada,Spanish,1923/2/2,Literature||Painting,Abstract
David Alexander Colville,Canadian,1920/8/24,Painting||Printmaking,
Paolo Salvati,Italian,1939/2/22,Painting,Landscape||Portrait
Sir Terry Frost,British,1915/10/13,Painting,Abstract
"Solomon ""Sol"" LeWitt",American,1928/9/9,Drawing||Illustration||Installation||Painting||Photography||Printmaking,
Morris Graves,American,1910/8/28,Painting,Fantasy
George ?tef?nescu-Ramnic,Romanian,1914/4/20,Painting,
Manuel álvarez Bravo,Mexican,1902/2/4,Photography,Other||Surrealist
Jeremy Henderson,British,1952/12/25,Painting,
Hans Ruedi Giger,Swiss,1940/2/5,Graphic Design||Painting,Other||Surrealist
Tetsuya Ishida,Japanese,1973/6/16,Painting,Surrealist
Anton Heyboer,Dutch,1924/2/9,Painting||Printmaking,
Fred Sandback,American,1943/8/29,Drawing||Printmaking||Sculpture,
Kenneth Price,American,1935/2/16,Ceramics||Sculpture,Abstract
Nancy Holt,American,1938/4/5,Environment||Film||Installation||Literature||Photography||Sculpture||Social,Environmental||Other
Ken Danby,Canadian,1940/3/6,Painting,Other
Conrad Marca-Relli,American,1913/6/5,Collage||Painting,Architecture||Fantasy||Landscape||Still Life
Mirdidingkingathi Juwarnda Sally Gabori,Australian,1905/4/7,Music||Painting||Textile Art,Abstract||Cultural and Regional Themes
Marjorie Virginia Strider,American,1931/1/26,Painting||Performance||Sculpture,
"Alexander ""Skunder"" Boghossian",American||Armenians||Ethiopians,1937/7/22,Education||Painting,
Arman,French||American,1928/11/17,Painting,Abstract||Other
Balthasar Klossowski de Rola,French,1908/2/29,Painting,
Tove Marika Jansson,Finnish||Swedish,1914/8/9,Illustration||Literature||Painting,Narrative
J?rg Immendorff,German,1945/6/14,Painting||Performance||Sculpture,Political
Richard William Hamilton,British,1922/2/24,Collage||Painting,
Judith Scott,United States,1943/5/1,Sculpture,Abstract
Vivian Dorothy Maier,American,1926/2/1,Photography,Film
"Margareta Wechsler ""Medi"" Dinu",Romanian||Jewish,1908/12/22,Painting,Environmental||Landscape||Portrait
Piero Dorazio,Italian,1927/6/27,Painting,Abstract
James Rosenquist,American,1933/11/28,Painting,
Abdul Mati Klarwein,French||German,1932/4/9,Painting,Landscape||Portrait||Still Life||Surrealist
Gregoire Johannes Boonzaier,South African,1909/7/31,Painting,Landscape||Portrait||Still Life
Georges Mathieu,French,1921/1/27,Painting||Theory,Abstract
Clifford Possum Tjapaltjarri,Australian,1905/4/15,Painting,
Walter Joseph De Maria,American,1935/10/1,Illustration||Others||Sculpture,
David Robert Jones,British,1947/1/8,Music||Performance,Music||Other||Pop Art
Hedda Sterne,Romanian||Jewish||American,1910/8/4,Painting,
Andrew Newell Wyeth,American,1917/7/12,Painting,Other
"Bernhard ""Bernd"" Becher||Hilla Becher",German,1905/5/12,Graphic Design||Painting||Photography,Film
Karl Benjamin,American,1925/12/29,Painting,Abstract
John Angus Chamberlain,American,1927/4/16,Sculpture,Abstract||Avant Garde Experimental
William-Adolphe Bouguereau,French,1825/11/30,Painting,Mythological||Other
Frida Kahlo,Mexican,1907/7/6,Painting,Portrait
Mary Frances Pratt,Canadian,1935/3/15,Painting,Narrative||Still Life
Mark George Tobey,American,1890/12/11,Painting,
Romero Britto,Brazilian,1963/10/6,Painting||Printmaking||Sculpture,
Hito Steyerl,German,1966/1/1,Film||Literature,Narrative
Jenny Saville,British,1970/5/7,Painting,Nude
Alison Knowles,American,1905/4/16,Digital Art||Performance||Social||Visual,Avant Garde Experimental
Pat Steir,American,1905/4/23,Installation||Painting||Printmaking,Abstract
Alberto Burri,Italian,1915/3/12,Painting||Sculpture,
Olafur Eliasson,Icelandic||Danish,,Installation||Sculpture,
Richard Dean Tuttle,American,1941/7/12,Decorative||Drawing||Illustration||Installation||Painting||Printmaking||Sculpture,
Vasily Vasilyevich Vereshchagin,Russian,1842/10/26,Painting,War
László Mednyánszky,Hungarian,1852/4/23,Painting,
Balcomb Greene,,1904/5/22,Painting,Abstract||Figurative||Landscape
Wolfgang Tillmans,German,1968/8/16,Photography,Portrait
Julie Mehretu,,,Drawing||Painting||Printmaking,Abstract
Konstantin Yegorovich Makovsky,Russian,1839/6/20,Painting,History||Portrait
Gerhard Richter,German,1932/2/9,Decorative||Painting||Photography,Abstract||Illustration
Peter Dreher,German,1932/8/26,Painting,Architecture||Landscape||Still Life
Alfred Julio Jensen,Danish||German-Pole,1903/12/11,Painting,Abstract
Frederic Sackrider Remington,American,1861/10/4,Illustration||Literature||Painting||Sculpture,History
Simon St?lenhag,Swedish,1984/1/20,Graphic Design||Music||Others,History||Other||Surrealist
Henriette Theodora Markovitch || Dora Maar,French,1907/11/22,Literature||Painting||Photography,
Abidin Dino,Turkish,1913/3/23,Drawing||Literature||Painting||Sculpture,
