name,nationality,position
Antonius Cleveland  ,American  ,
Jay Vincent Jay Fletcher Vincent  ,American  ,Frontcourt
Nikola Radi?evi?  ,Serbian  ,Backcourt
Fran Curran Francis Hugh Curran Sr.,American,
Mark Price  ,American  ,Backcourt
David Michineau  ,French  ,Backcourt
Donta Hall  ,American-born naturalized Azerbaijani  ,
Erick Strickland  ,American  ,
David Lattin  ,American  ,Frontcourt
Toby Kimball  ,American  ,Frontcourt
Derek Grimm  ,American  ,Frontcourt
Anthony Marshon Davis Jr.,American,Frontcourt
Brandan Keith Wright  ,American  ,
Askia Rahman Jones  ,American-Venezuelan  ,Backcourt
Carrick Felix  ,American  ,Backcourt
Mychel Thompson  ,American  ,Backcourt
Marvin Roberts,American,
"Kenneth ""Apple"" Green  ",American  ,
Gerald Madkins Jr.,American,
Don Anielak  ,American  ,
Philip Douglas Jackson  ,American  ,Frontcourt
Anthony Avent  ,American  ,Frontcourt
Drew Edward Gordon  ,American  ,Frontcourt
Jarrett Jack  ,American  ,
Rick Hughes  ,American  ,
Lavoy Allen  ,American  ,
Ed Dahler Edward Dahler Jr.,American,
Magic Johnson  ,American  ,Backcourt
Stanley M. Noszka  , ,
Isiah Thomas  ,American  ,Backcourt
Dan Anderson,American,
Jahlil Okafor,Nigerian-American,
Trent Tucker  ,American  ,Backcourt
Dwayne Kenneth Schintzius  ,American  ,Frontcourt
Miles Julian Simon  ,American  ,Backcourt
Guy William Rodgers  ,American  ,
Vernon Maxwell,American,Backcourt
Tim Duncan,American,Frontcourt
Walter Berry ,American  ,Frontcourt
James Patrick Walsh  ,American  ,Frontcourt
Tony Lorenzo Delk  ,American  ,
Calvin Ramsey  ,American  ,Frontcourt
Gene Dyker Eugene Walter Dyker  ,American  ,Frontcourt
Derrick Chievous  ,American  ,Frontcourt
Rik Smits  ,Dutch  ,Frontcourt
Anthony Edwards,American,Backcourt
"Harry Junior ""The Horse"" Gallatin  ",American  ,Frontcourt
Jim Brasco  ,American  ,
Darnell Hillman  ,American,Frontcourt
Larry Robinson,Canadian,Frontcourt
Nicholas William Calathes ,Greek-American  ,Backcourt
Rod Derline  , ,Backcourt
Kurt Thomas  ,American  ,Frontcourt
Kevin Wayne Durant,American,Frontcourt
Aaron Williams  ,American  ,Frontcourt
Nathaniel Thomas Huffman  ,American  ,
Fred Boyd  ,American  ,
William Bedford  ,American  ,Frontcourt
Steve Smith,American,Backcourt
Shawn Christopher Respert  ,American  ,
Rodney Strickland  ,American  ,
Elmer H. Behnke  ,American  ,
Lamar Brandon Stevens  ,American  ,
Ronald Moore  ,American  ,Backcourt
Erazem Lorbek  ,Slovenian  ,Frontcourt
"Marvin ""Mickey"" Rottner  ",American  ,Backcourt
Hamidou Diallo  ,American  ,
"Dewayne ""D. J."" White, Jr.",American,Frontcourt
Steve Kerr  ,American  ,Frontcourt
Gregory Clinton Foster  ,American  ,Frontcourt
Bill Hewitt  ,American  ,Frontcourt
Joseph Xavier Forte  ,American  ,Backcourt
Dino_Ra?a,Croatian  ,Frontcourt
Mark Jeffrey Radford  ,American  ,
Kostas Papanikolaou,Greek,Frontcourt
Garry Witts Garrett David Witts  ,American  ,
Jabari Dominic Walker  ,American  ,
Devontae Cacok  ,American  ,
Brandon Goodwin  ,American  ,Backcourt
Dick Rosenthal  ,American  ,Frontcourt
Jamal Crawford  ,American  ,
Jordan Lee Crawford  ,American  ,
Tom Copa  ,American  ,
Kermit Washington  ,American  ,Frontcourt
Donyell Marshall  ,American  ,
Wayne Lavern Robinson,American,Frontcourt
Greg Fillmore Gregory Paul Fillmore  ,American  ,Frontcourt
John Harding Lucas II  ,American  ,Frontcourt
Dick Surhoff  ,American,
Garfield Smith  ,American  ,
Leroy Patrick Chollet  ,American  ,Backcourt
Michael Carter-Williams  ,American  ,
Dennis Schr?der,German,
Jack Parr  ,American  ,
"Monti Davis DaMon William ""Monti"" Davis  ",American  ,Frontcourt
Eric Johnson Jones  ,American-Spanish  ,
Sidney Harold Tanenbaum,American,Backcourt
Trayce Jackson-Davis  ,American  ,
Andre Jamal Drummond,American,Frontcourt
"Chavano Rainer ""Buddy"" Hield",Bahamian,
D'Angelo Russell,American,Backcourt
Joel Hans Embiid,Cameroonian-American,
Paul Clifton Anthony George,American,
Kyrie Andrew Irving,American,
Jayson Christopher Tatum,American,
Caleb Martin,American,Frontcourt
Andrew Christian Wiggins,Canadian,
Max Berning Fiedler,American,
"Ogugua ""OG"" Anunoby Jr.",British,
Jaylen Marselles Brown,American,Backcourt
Victor Wembanyama,French,Frontcourt
Jrue Randall Holiday  ,American  ,
Austin Tyler Reaves,American,
Kevin Wesley Love,American,
Giannis Sina Ugo Antetokounmpo,Greek and Nigerian,Frontcourt
Wardell Stephen Curry II  ,American  ,Backcourt
Alfred Joel Horford Reynoso,Dominican,Frontcourt
Tyler Christopher Herro,American,Backcourt
Duncan McBryde Robinson,American,
Kyle Forman Anderson,American-Chinese,
Cade Parker Cunningham,American,
LeBron Raymone James Sr.,American,
Jimmy Butler III  ,American  ,
Kevon Grant Looney,American,Frontcourt
Zachary Thomas LaVine,American,
Jaden Edward Dhananjay Ivey,American,
Kyle Terrell Lowry,American,Backcourt
Michael Jeffrey Jordan,American,Backcourt
Devin Armani Booker,American,Backcourt
Draymond Jamal Green,American,Frontcourt
Zach Collins,American,
Jonathan Malangu Kuminga,Congolese,Frontcourt
Lonzo Anderson Ball,American,Backcourt
Jaime Jaquez Jr.  ,Mexican-American  ,
Ausar XLNC Thompson,American,
Jalen Marquis Brunson,American,
Shaquille Rashaun O'Neal,American,Frontcourt
Kobe Bean Bryant,American,Backcourt
Christopher Emmanuel Paul,American,Backcourt
Harrison Bryce Jordan Barnes,American,
"Edrice Femi ""Bam"" Adebayo",American,
