generic_name,brand_name,disease_name,indication,active_ingredients,pharmaceutical_form,manufacturer,administration_route,recommended_usage,single_dose,dosage_frequency,mechanism_of_action,side_effects,activation_conditions,prescription_status,unsuitable_population,storage_conditions,"ID"
Pravastatin,APLACTIN,Hypercholesterolemia||Mixed dyslipidemia||Cardiovascular disease||Myocardial infarction||Unstable angina pectoris||Hyperlipidemia (post-transplant),high cholesterol||high blood fat||prevention of cardiovascular events||history of myocardial infarction||unstable angina||post-transplant hyperlipidemia,Pravastatin sodium salt,tablet,,oral,take with or without food||at fixed time,adults 10-40 mg once a day||cardiovascular prevention 40 mg per day||post-transplant (immunosuppressive therapy) 20 mg per day (up to 40 mg)||renal or hepatic insufficiency 10 mg per day,once daily,"competitive inhibition of HMG-CoA reductase, reduces cholesterol synthesis, increases LDL receptor expression, increases LDL catabolism, inhibits VLDL synthesis",muscle pain||joint pain||muscle cramps||muscle weakness||elevated creatine kinase||increased liver enzymes||dizziness||headache||sleep disturbances||insomnia||nightmares||vision disturbances||blurred vision||double vision||digestive disorders||abdominal pain||nausea||vomiting||constipation||diarrhea||bloating||itching||rash||hives||hair changes||hair loss||difficulty urinating||frequent urination||nocturia||peripheral polyneuropathy||paraesthesia||anaphylaxis||angioedema||lupus erythematosus-like syndrome||jaundice||hepatitis||fulminant hepatic necrosis||rhabdomyolysis||myopathy||interstitial lung disease||diabetes mellitus||dermatomyositis,no special condition,prescription_only,"children under 18||pregnant women||breastfeeding women||patients with active liver disease||patients with persistent elevated transaminases||patients with hereditary problems of galactose intolerance, Lapp lactase deficiency, or glucose-galactose malabsorption",store at room temperature,391379
Ropinirole,REQUIP||REQUIP XL,Parkinson's disease,signs and symptoms of idiopathic Parkinson's disease,Ropinirole hydrochloride,tablet,GlaxoSmithKline (GSK),oral,take with or without food,adults 2 mg,once daily,non-ergoline dopamine agonist,nausea||dizziness||drowsiness||sleepiness||headache||dyskinesia||increase or decrease in blood pressure||increase or decrease in heart rate||hallucinations||gambling urges||sexual urges||other intense urges,no special condition,prescription_only,,,75060
mepolizumab,Nucala,severe eosinophilic asthma||eosinophilic granulomatosis with polyangiitis||chronic obstructive pulmonary disease,severe asthma||eosinophilic phenotype||eosinophilic granulomatosis with polyangiitis,mepolizumab,injection,GSK,subcutaneous,,patients with severe asthma aged 12 years and older 100 mg || adult patients with EGPA 3x100 mg,,,,,prescription_only,,,52966
Psilocybin,,Major depressive disorder||Cancer-related anxiety||Cancer-related depression||Eating disorders||Headaches||Substance abuse||Alcohol abuse||Opioid abuse||Smoking||Cocaine abuse,depression||anxiety||substance abuse,Psilocybin,capsule||other,,oral||other,other,"adults 25 mg (oral capsule)||adults 1 mg (intravenous)||adults 10-20 mg (oral, equivalent to 1 mg IV)",single dose,,hallucinatory side effects||headache||slight increase in blood pressure,no special condition,,patients using antidepressants,,157229
Esomeprazole,Actipraz 40 Mg Tablet||Nexium,Gastroesophageal reflux disease||Peptic ulcer disease,acid reflux||heartburn||regurgitation||difficulty swallowing||upper abdominal pain||belching||weight loss||vomiting||poor appetite,Esomeprazole,tablet,Invision Medi Sciences Pvt Ltd.,oral,take without food||at fixed time||swallowed with water,adults 40 mg,,proton pump inhibitor; reduces stomach acid by irreversibly binding to ATPase enzyme,,,prescription_only,pregnant women,store at room temperature||keep in a dry place||protect from light,93220
Clomiphene,Androxal,Polycystic ovary syndrome||Infertility,ovulatory dysfunction||irregular menstrual periods||pregnancy failure,Clomiphene,tablet,,oral,at fixed time,,once daily,,,,,patients with cyst on the ovary||patients with fibroid tumor of the uterus||patients with inflamed veins due to blood clots||patients with endometriosis||patients with liver disease||patients with depression||patients with unusual vaginal bleeding||pregnant women,,184749
Milnacipran,Savella,Fibromyalgia,chronic pain||fatigue||morning stiffness||disordered sleep,Milnacipran,tablet,Forest/Cypress,oral,,adults 12.5 mg (Day 1)||adults 12.5 mg twice/d (for 2 days)||adults 25 mg twice/d (for 4 days)||adults 50 mg twice/d (for 7 days)||adults 100 mg twice/d (for 7 days),twice a day,serotonin and norepinephrine reuptake inhibitor,nausea||constipation||hot flushing||dizziness||palpitations||hyperhidrosis||hypertension||vomiting||tachycardia||migraine||dry mouth||headache,no special condition,prescription_only,patients with severe psychiatric illness,,183210
Ketamine Hydrochloride||Ketamine HCL,,anesthesia||depression,loss of consciousness||pain||depression,Ketamine Hydrochloride,injection||solution,Shanghai Chemicals,intramuscular||intravenous,other,,,induces loss of consciousness||produces relaxation to relieve pain,addiction||hallucinogenic effects||dissociative effects||physical health effects||mental health effects,,prescription_only||restricted,,,272889
Omeprazole,Omlek-D,Gastroesophageal reflux disease||Gastric acid-related disorders,heartburn||acid indigestion||chest pain||chest discomfort,Omeprazole||Domperidone,capsule,,oral,,adults 20 mg,,,,,,children under 18 years of age,,459517
Antihistamines,,Allergies||Common Cold||Flu||Sinusitis||Bronchitis,watery eyes||itchy eyes||itchy nose||itchy throat||runny nose||sneezing,Antihistamines,solution||tablet||capsule,,oral,take with or without food,,every 4 to 6 hours as needed,"relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing",drowsiness||dizziness||blurred vision||upset stomach||nausea||constipation||dry mouth||dry nose||dry throat||mental/mood changes||confusion||hallucinations||trouble urinating||fast heartbeat||irregular heartbeat||seizure||rash||itching||swelling||severe dizziness||trouble breathing,,,children under 6 years||children under 12 years (for some products)||patients with breathing problems||patients with diabetes||patients with glaucoma||patients with heart problems||patients with high blood pressure||patients with kidney problems||patients with liver disease||patients with seizures||patients with stomach/intestinal problems||patients with overactive thyroid||patients with urination problems||elderly,store at room temperature||keep tightly closed||protect from light||do not freeze liquid forms,475875
Linaclotide,LINZESS®||CONSTELLA®,Irritable Bowel Syndrome with Constipation||Chronic Idiopathic Constipation||Functional Constipation,constipation||abdominal pain,Linaclotide,,"Ironwood Pharmaceuticals, Inc.||AbbVie||Astellas||Astra Zeneca",oral,,children 2-5 years 9 mcg||children 2-5 years 18 mcg||children 2-5 years 36 mcg||children 2-5 years 72 mcg,,guanylate cyclase-C agonist; increases intestinal fluid secretion; accelerates transit; decreases pain-sensing nerve activity,,,,,,172790
Azathioprine,,ANCA-associated vasculitis||granulomatosis with polyangiitis||microscopic polyangiitis||renal limited vasculitis||inflammatory bowel disorders||autoimmune disorders,maintenance therapy after remission||lowering immune system activity,,,,,,,,broken down into 6-thioguanine nucleotides to exert immunosuppressive effects,gastrointestinal complaints||febrile hypersensitivity reaction||rash||toxicity to the bone marrow||reducing the amount of white blood cells||risk for infections||liver toxicity||intolerance,,,,,514564
azithromycin,Zithromax,pneumonia||Mycobacterium avium-intracellulare infection,croup||pneumonia||Mycobacterium avium-intracellulare infection,azithromycin,tablet||solution,,oral,take without food,adults 500 mg||children 12 mg per 2,once daily||twice a day,,abdominal pain||anorexia||diarrhea||nausea||hearing loss||ringing in the ears||severe diarrhea||stomach cramps||yellowing of the skin or eyes,,,children younger than 1||pediatric patients with pneumonia who are judged to be inappropriate for oral therapy,,391208
