ID,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards
1,Nicolas Carone,American,Abstract Expressionism,1917/6/4,2010/7/15,93,20th-21st,Gemini,United States,New York City,North America,United Kingdom,New York,Painting||Sculpture,Abstract,,National Academy of Design under Leon Kroll||Art Students League of New York||Hans Hofmann School of Fine Arts||Rome Academy of Fine Arts,1,2
2,Agustín Cárdenas Alfonso,Cuban,Surrealism,1927/4/10,2001/2/9,73,20th-21st,Aries,Cuba,Matanzas,North America,Cuba,Havana,Sculpture,,,Escuela Nacional de Bellas Artes “San Alejandro”,0,4
3,Twins Seven Seven,Nigerian,Osogbo School,1944/5/3,2001/6/16,57,20th-21st,Taurus,Nigeria,Ogidi,Africa,Nigeria,Ibadan,Music||Painting||Sculpture,,,,1,3
4,Zao Wou-Ki,French||Chinese,Abstract Expressionism||Impressionism,1920/2/13,2013/4/9,93,20th-21st,Aquarius,China,Beijing,Asia,Switzerland,Nyon,Painting,Abstract,Remarried,China Academy of Art,1,0
5,Lidia Elena Prati,Argentinean,Asociación Arte Concreto-Invención||Grupo de Artistas Modernos de la Argentina||Madí,1905/4/4,1905/6/30,0,20th,Aries,Argentina,"Resistencia, Chaco",South America,Argentina,Buenos Aires,Decorative||Graphic Design||Painting||Textile Art,Abstract,,,0,0
6,Alexander Bogen,,,1916/1/24,2010/10/20,94,20th-21st,Aquarius,Estonia,Tartu,Europe,Israel,Tel Aviv,Graphic Design||Illustration||Painting||Sculpture,,Married,Stefan Batory art academy affiliated with the Wilno University,1,0
7,Jorge R. Camacho Lazo,French||Cuban,Surrealism,1934/1/5,2011/3/30,77,20th-21st,,Cuba,Havana,North America,France,Paris,Painting,,,,1,0
8,Emma Amos,American,Postmodern,1937/3/16,2020/5/20,83,20th-21st,Pisces,United States,Atlanta,North America,,,Painting||Printmaking||Textile Art,Figurative,,"Antioch College in Yellow Springs, Ohio|| the Central School of Art and Design in London||New York University",1,0
9,Gunther Gerzso,Mexican,Abstract Art||Surrealism,1915/6/17,2000/4/21,84,20th-21st,Gemini,Mexico,Mexico City,North America,,,Film||Graphic Design||Literature||Painting,,Married,,0,7
10,Eduardo Chillida Juantegui,Spanish,Abstract Art,1924/1/10,2002/8/19,78,20th-21st,,Spain,San Sebastián De Los Reyes,Europe,Spain,San Sebastián,Sculpture,Abstract,Married,University of Madrid,0,0
11,Laurel Burch,American,,1945/12/31,2007/9/13,61,20th-21st,,United States,San Fernando Valley,North America,United States,Novato,Graphic Design||Others,,Remarried,,0,0
12,Christiaan Karel Appel,Dutch,CoBrA,1921/4/25,2006/5/3,85,20th-21st,Taurus,Netherlands,Amesterdam,Europe,Switzerland,Zurich,Literature||Painting||Sculpture,,,Rijksakademie van beeldende kunsten,0,0
13,Eduard Isabekyan,American,,1914/11/14,2007/8/17,92,20th-21st,Scorpio,Turkey,,Europe,Armenia,,Painting,Abstract||Illustration||Landscape||Other||Portrait,,Yerevan State Academy of Fine Arts,0,0
14,John Hoyland,British,Color Field painting||Lyrical Abstraction||Post-Painterly Abstraction,1934/10/12,2011/7/31,76,20th-21st,Libra,United Kingdom,Sheffield,Europe,United Kingdom,London,Painting,Abstract,,Sheffield School of Art||Royal Academy Schools,1,2
15,Raoul De Keyser,Belgian,New Vision,1930/8/29,2012/10/5,82,20th-21st,Virgo,Belgium,Deinze,Europe,Belgium,Deinze,Painting,Abstract,Widowed,Academy of Fine Arts,0,0
16,Esteban Vicente Pérez,Spain,Abstract Expressionism,1903/1/20,2001/1/10,97,20th-21st,Aquarius,Spain,Turégano,Europe,United States,New York,Painting,,Married,Real Academia de Bellas Artes de San Fernando,1,0
17,Manuel Felguérez Barra,Mexico,Abstract Art||Generación de la Ruptura,1928/12/12,2020/6/8,91,20th-21st,Sagittarius,Mexico,Valparaíso,North America,Mexico,Zacatecas,Conceptual||Sculpture,,,Academia de San Carlos||Académie de la Grande Chaumière||Académie Colarossi,0,0
18,Neil Gavin Welliver,American,Modern Art,1929/7/22,2005/4/5,75,20th-21st,Cancer,United States,Millville,North America,United States,Belfast,Painting,Landscape,,Philadelphia College of Art||Yale University,1,0
19,Eyvind Earle,American,,1916/4/26,2000/7/20,84,20th-21st,Taurus,United States,New York,North America,,,Illustration||Painting,,,Art Center College of Design,0,0
20,Howard Finster,American,Naïve art||Outsider art||Visionary art,1916/12/2,2001/10/20,84,20th-21st,Sagittarius,United States,Valley Head,North America,,,Others||Spiritual,Fantasy||Portrait,Married,,0,0
21,Patrick Procktor,British||Irish,Pop Art,1936/3/12,2003/8/29,67,20th-21st,Pisces,Ireland,Dublin,Europe,,,Painting||Printmaking,Figurative||Pop Art,,,0,0
22,Mary Fedden,British,,1915/8/14,2012/6/22,96,20th-21st,Leo,United Kingdom,Bristol,Europe,United Kingdom,London,Painting,Nature and Botanical||Still Life,Married,Slade School of Fine Art,1,2
23,Ronald Brooks Kitaj,American,,1932/10/29,2007/10/21,74,20th-21st,Scorpio,United States,Chagrin Falls||Ohio,North America,United States,Los Angeles,Painting,Figurative,,,1,2
24,Louise Joséphine Bourgeois,French||American,Abstract Expressionism||Feminist art||Surrealism,1911/12/25,2010/5/31,98,20th-21st,,France,Paris,Europe,United States,New York City,Installation||Painting||Printmaking||Sculpture,,Married,,0,1
25,Avigdor Arikha,French||Jewish||Romanian||Israeli,,1928/4/29,2010/4/30,82,20th-21st,Taurus,Romania,Raduq||Romania,Europe,France,Paris,Drawing||Education||Painting||Printmaking,Landscape||Nude||Portrait||Still Life,Married,Bezalel Academy of Arts and Design|| école Nationale Supérieure des Beaux-Arts,1,0
26,Henry Pierre Villierme,American,Abstract Expressionism||Bay Area Figurative Movement,1928/8/21,2013/3/13,84,20th-21st,Leo,United States,San Francisco||California,North America,United States,San Francisco,Painting||Sculpture,Landscape||Portrait||Still Life,,,0,0
27,Jean René Bazaine,French,Modern School of Paris,1904/12/21,2001/3/4,96,20th-21st,Sagittarius,France,Paris,Europe,France,Clamart,Graphic Design||Literature||Painting,Abstract,,,0,0
28,Edward Clark,American,Abstract Expressionism,1926/5/26,2019/10/18,93,20th-21st,Gemini,United States,New Orleans||Louisiana,North America,United States,Detroit,Painting,,,,0,1
29,Patrick Joseph Caulfield,British,Pop Art,1936/1/29,2005/9/29,69,20th-21st,Aquarius,United Kingdom,London,Europe,United Kingdom,London,Painting||Printmaking,Figurative,,,1,0
30,Maqbool Fida Husain,Indian||Qatari,Cubism||Indian Modernism,1915/9/17,2011/6/9,95,20th-21st,Virgo,India,Pandharpur||Maharashtra,Asia,United Kingdom,London,Drawing||Film||Painting||Photography||Printmaking,Narrative,,Art school in Bombay,0,0
31,Lonny Wood,American,Aerosol Art||Hip Hop,1955/8/2,2019/12/12,64,20th-21st,Leo,United States,New York City,North America,United States,New York City,Others,Pop Art,,,0,0
32,Leonora Carrington,British||Mexican,Surrealism,1917/4/6,2011/5/25,94,20th-21st,Aries,United Kingdom,Clayton-le-Woods,Europe,Mexico,Mexico City,Literature||Painting,Surrealist,Married,Mrs Penrose's Academy of Art||Chelsea School of Art||Ozenfant Academy,0,0
33,Nassos Daphnis,American||Greek,Abstract Art,1914/7/23,2010/11/23,96,20th-21st,Leo,United States,Krokeai,Europe,United States,Provincetown,Painting||Sculpture,Abstract||Other,,Art Students League of New York||Istituto Statale D'Arte,0,0
34,Frank Jeffrey Edson Smart,Australian,Precisionism,1905/4/4,2013/6/20,108,20th-21st,Aries,Australia,Adelaide,Oceania,Italy,Arezzo,Painting,Landscape,,Adelaide Teachers College||South Australian School of Arts and Crafts||Académie Montmartre,1,1
35,Afewerk Tekle,Ethiopians,,1932/10/22,2012/4/10,79,20th-21st,Libra,Ethiopia,Ankober,Africa,Ethiopia,Addis Ababa,Architecture||Decorative||Painting||Sculpture,Cultural and Regional Themes||Religious,,Central School of Arts and Crafts||Slade School of Art,0,0
36,Richard Ernst Artschwager,American,Conceptual art||Minimalism||Pop Art,1923/12/26,2013/2/9,89,20th-21st,,United States,"Washington, D.C.",North America,,,Illustration||Painting||Sculpture,,Married,Cornell University||Amédée Ozenfant's Studio,0,0
37,Dorothea Margaret Tanning,American,Surrealism,1910/8/25,2012/1/31,101,20th-21st,Virgo,United States,Galesburg,North America,United States,Manhattan,Literature||Painting||Printmaking||Sculpture,Surrealist,Remarried,Knox College||Chicago Academy of Fine Art,0,0
38,Maurice Bernard Sendak,American,,1928/6/10,2012/5/8,83,20th-21st,Gemini,United States,Brooklyn,North America,United States,Danbury,Illustration||Literature,Illustration,,Art Students League of New York,0,0
39,Vilen Isaakovych Barskyi,Ukrainian||German||Jewish,Conceptualism||Postmodernism,1930/10/27,2012/12/24,82,20th-21st,Scorpio,Ukraine,Kyiv,Europe,Germany,Dortmund,Graphic Design||Painting,Abstract||Avant Garde Experimental,Married,Kyiv Art School||Kyiv Art Institute,1,0
40,Richard Smith,British,Colour Field Painting||Pop Art,1931/10/27,2016/4/15,84,20th-21st,Scorpio,United Kingdom,Letchworth,Europe,United States,New York,Painting||Printmaking,Abstract,,St Albans School of Art||Royal College of Art,1,0
41,Jean-Paul Riopelle,Canadian,Automatism||Lyrical Abstraction||Surrealism,1923/10/7,2002/3/12,78,20th-21st,Libra,Canada,Montreal,North America,Canada,,Painting||Sculpture,Abstract,,,0,1
42,Albert Ràfols-Casamada,Spanish,Vanguard,1923/2/2,2009/12/17,86,20th-21st,Aquarius,Spain,Barcelona,Europe,Spain,Barcelona,Literature||Painting,Abstract,Married,,1,0
43,David Alexander Colville,Canadian,,1920/8/24,2013/7/16,92,20th-21st,Virgo,Canada,Toronto,North America,Canada,Wolfville,Painting||Printmaking,,Married,,1,0
44,Paolo Salvati,Italian,Expressionism,1939/2/22,2014/6/24,75,20th-21st,Pisces,Italy,Rome,Europe,Italy,Rome,Painting,Landscape||Portrait,,,0,3
45,Sir Terry Frost,British,Abstract Art,1915/10/13,2003/9/1,87,20th-21st,Libra,United Kingdom,Leamington Spa,Europe,,,Painting,Abstract,Married,Royal Academy of Arts (RA)||London||UK,1,2
46,"Solomon ""Sol"" LeWitt",American,Conceptual art||Minimalism,1928/9/9,2007/4/8,78,20th-21st,Virgo,United States,Hartford,North America,United States,New York,Drawing||Illustration||Installation||Painting||Photography||Printmaking,,Married,School of Visual Arts (SVA)||New York City||NY||US,1,0
47,Morris Graves,American,Modernism||Northwest School,1910/8/28,2001/5/5,90,20th-21st,Virgo,United States,Fox Valley,North America,United States,Loleta,Painting,Fantasy,Unmarried,,0,0
48,George ?tef?nescu-Ramnic,Romanian,,1914/4/20,2007/10/29,93,20th-21st,Taurus,Romania,Pl?ine?ti (Dumbr?veni),Europe,Germany,,Painting,,Married,,0,0
49,Manuel álvarez Bravo,Mexican,Mexican muralism,1902/2/4,2002/10/19,100,20th-21st,Aquarius,Mexico,Mexico City,North America,Mexico,Mexico City,Photography,Other||Surrealist,Remarried,,0,2
50,Jeremy Henderson,British,,1952/12/25,2009/4/28,56,20th-21st,,United Kingdom,Lisbellaw,Europe,United Kingdom,Lisbellaw,Painting,,Married,,1,0
51,Hans Ruedi Giger,Swiss,,1940/2/5,2014/5/12,74,20th-21st,Aquarius,Switzerland,Chur,Europe,Switzerland,,Graphic Design||Painting,Other||Surrealist,Remarried,,0,2
52,Tetsuya Ishida,Japanese,Surrealism,1973/6/16,2005/5/23,31,20th-21st,Gemini,Japan,Yaizu,Asia,Denmark,,Painting,Surrealist,,Musashino Art University,0,0
53,Anton Heyboer,Dutch,,1924/2/9,2005/4/9,81,20th-21st,Aquarius,Netherlands,,Europe,Netherlands,,Painting||Printmaking,,,,0,0
54,Fred Sandback,American,Minimalism,1943/8/29,2003/6/23,59,20th-21st,Virgo,United States,Bronxville||New York,North America,United States,New York City,Drawing||Printmaking||Sculpture,,,Yale School of Art （MFA）,0,0
55,Kenneth Price,American,,1935/2/16,2012/2/24,77,20th-21st,Aquarius,United States,Los Angeles,North America,United States,Arroyo Hondo,Ceramics||Sculpture,Abstract,,Santa Monica City College||Chouinard Art Institute ||Otis Art Institute (now Otis College of Art and Design)||University of Southern California|| Chouinard Art Institute||New York State College of Ceramics at Alfred University,0,1
56,Nancy Holt,American,Earthworks||Land Art,1938/4/5,2014/2/8,75,20th-21st,Aries,United States,Worcester,North America,,,Environment||Film||Installation||Literature||Photography||Sculpture||Social,Environmental||Other,Widowed,,0,6
57,Ken Danby,Canadian,Realism,1940/3/6,2007/9/23,67,20th-21st,Pisces,Canada,Sault Ste. Marie,North America,Canada,,Painting,Other,Married,Ontario College of Art|| Laurentian University,0,8
58,Conrad Marca-Relli,American,Abstract Expressionism,1913/6/5,2000/8/29,87,20th-21st,Gemini,United States,Boston,North America,Italy,Parma,Collage||Painting,Architecture||Fantasy||Landscape||Still Life,Married,Cooper Union,1,1
59,Mirdidingkingathi Juwarnda Sally Gabori,Australian,,1905/4/7,1905/7/7,0,20th,Aries,Australia,,Oceania,Australia,,Music||Painting||Textile Art,Abstract||Cultural and Regional Themes,Married,,0,0
60,Marjorie Virginia Strider,American,Avant-garde||Pop,1931/1/26,2014/8/27,83,20th-21st,Aquarius,United States,Oklahoma,North America,United States,Saugerties,Painting||Performance||Sculpture,,Married,Kansas City Art Institute,0,0
61,"Alexander ""Skunder"" Boghossian",American||Armenians||Ethiopians,,1937/7/22,2003/5/4,65,20th-21st,Cancer,Ethiopia,Addis Ababa,Africa,United States,"Washington, D.C.",Education||Painting,,,"Central Saint Martins (CSM), London, UK||UCL Slade School of Fine Art (University College London), London, UK||Academie de la Grande Chaumiere, Paris, France",1,1
62,Arman,French||American,,1928/11/17,2005/10/22,76,20th-21st,Scorpio,France,Nice,Europe,United States,New York,Painting,Abstract||Other,,,1,0
63,Balthasar Klossowski de Rola,French,Modern,1908/2/29,2001/2/18,92,20th-21st,Pisces,France,Paris,Europe,Switzerland,Rossiniere,Painting,,Remarried,Ecole de Paris,0,0
64,Tove Marika Jansson,Finnish||Swedish,,1914/8/9,2001/6/27,86,20th-21st,Leo,Finland,Helsinki,Europe,Finland,Helsinki,Illustration||Literature||Painting,Narrative,,"University College of Arts, Crafts and Design||Finnish Academy of Fine Arts||L'école des Beaux-Arts",0,1
65,J?rg Immendorff,German,Neue Wilde,1945/6/14,2007/5/28,61,20th-21st,Gemini,Germany,Bleckede,Europe,Germany,Düsseldorf,Painting||Performance||Sculpture,Political,,Kunstakademie Dusseldorf||Stadelschule Frankfurt,1,0
66,Richard William Hamilton,British,Pop Art,1922/2/24,2011/9/13,89,20th-21st,Pisces,United Kingdom,London,Europe,England,,Collage||Painting,,,Saint Martin's School of Art||Westminster School of Art||Royal Academy of Arts||Slade School of Art||University College London||Central School of Art and Design,1,0
67,Judith Scott,United States,,1943/5/1,2005/5/15,62,20th-21st,Taurus,United States,Cincinnati,North America,United States,Dutch Flat,Sculpture,Abstract,,Creative Growth Art Center,0,0
68,Vivian Dorothy Maier,American,,1926/2/1,2009/4/21,83,20th-21st,Aquarius,United States,New York,North America,United States,Chicago,Photography,Film,,,0,0
69,"Margareta Wechsler ""Medi"" Dinu",Romanian||Jewish,Classical,1908/12/22,2016/7/18,107,20th-21st,,Romania,Brezoi,Europe,Romania,Bucharest,Painting,Environmental||Landscape||Portrait,Married,"Academy of Belle Arte, Bucharest",1,1
70,Piero Dorazio,Italian,Abstract Art||Color field||Lyrical Abstraction,1927/6/27,2005/5/17,77,20th-21st,Cancer,Italy,Italy,Europe,Italy,Perugia,Painting,Abstract,Married,Ecole des Beaux-Arts||University of Pennsylvania School of Design,1,1
71,James Rosenquist,American,Pop Art,1933/11/28,2017/5/31,83,20th-21st,Sagittarius,United States,Grand Forks,North America,United States,New York,Painting,,,Minneapolis School of Art||University of Minnesota||Art Students League,0,1
72,Abdul Mati Klarwein,French||German,Surrealism,1932/4/9,2002/5/7,70,20th-21st,Aries,Germany,Hamburg,Europe,Spain,Deia,Painting,Landscape||Portrait||Still Life||Surrealist,Married,"Academie Julian, Paris, France||Ecole des Beaux-Arts, Paris, France",0,0
73,Gregoire Johannes Boonzaier,South African,Cape Impressionism,1909/7/31,2005/4/22,95,20th-21st,Leo,South Africa,Newlands,Africa,South Africa,Onrus,Painting,Landscape||Portrait||Still Life,Married,Heatherley School of Fine Art||Central School of Art and Design,1,0
