id,description.name,description.team,description.position
nba_0,Antonius Cleveland,,
nba_1,Jay Vincent Jay Fletcher Vincent,,Frontcourt
nba_2,Nikola Radi?evi?,,Backcourt
nba_3,Fran Curran Francis Hugh Curran Sr.,,
nba_4,Mark Price,,Backcourt
nba_5,David Michineau,,Backcourt
nba_6,Donta Hall,,Frontcourt
nba_7,Erick Strickland,,
nba_8,David Lattin,,Frontcourt
nba_9,Toby Kimball,,Frontcourt
nba_10,Derek Grimm,,Frontcourt
nba_11,Anthony Marshon Davis Jr.,,Frontcourt
nba_12,Brandan Keith Wright,,
nba_13,Askia Rahman Jones,,Backcourt
nba_14,Carrick Felix,,Backcourt
nba_15,Mychel Thompson,,Backcourt
nba_16,Marvin Roberts,,
nba_17,"Kenneth ""Apple"" Green",,
nba_18,Gerald Madkins Jr.,,
nba_19,Don Anielak,,
nba_20,Philip Douglas Jackson,,Frontcourt
nba_21,Anthony Avent,,Frontcourt
nba_22,Drew Edward Gordon,,Frontcourt
nba_23,Jarrett Jack,,Backcourt
nba_24,Rick Hughes,,
nba_25,Lavoy Allen,,Frontcourt
nba_26,Ed Dahler Edward Dahler Jr.,,
nba_27,Magic Johnson,,Backcourt
nba_28,Stanley M. Noszka,,
nba_29,Isiah Thomas,,Backcourt
nba_30,Dan Anderson,,
nba_31,Jahlil Okafor,,Frontcourt
nba_32,Trent Tucker,,Backcourt
nba_33,Dwayne Kenneth Schintzius,,Frontcourt
nba_34,Miles Julian Simon,,Backcourt
nba_35,Guy William Rodgers,,
nba_36,Vernon Maxwell,,Backcourt
nba_37,Tim Duncan,,Frontcourt
nba_38,Walter Berry,,Frontcourt
nba_39,James Patrick Walsh,,Frontcourt
nba_40,Tony Lorenzo Delk,,
nba_41,Calvin Ramsey,,Frontcourt
nba_42,Gene Dyker Eugene Walter Dyker,,Frontcourt
nba_43,Derrick Chievous,,Frontcourt
nba_44,Rik Smits,,Frontcourt
nba_45,Anthony Edwards,,Backcourt
nba_46,"Harry Junior ""The Horse"" Gallatin",,Frontcourt
nba_47,Jim Brasco,,
nba_48,Darnell Hillman,,Frontcourt
nba_49,Larry Robinson,,Frontcourt
nba_50,Nicholas William Calathes,,Backcourt
nba_51,Rod Derline,,Backcourt
nba_52,Kurt Thomas,,Frontcourt
nba_53,Kevin Wayne Durant,,Frontcourt
nba_54,Aaron Williams,,Frontcourt
nba_55,Nathaniel Thomas Huffman,,
nba_56,Fred Boyd,,
nba_57,William Bedford,,Frontcourt
nba_58,Steve Smith,,Backcourt
nba_59,Shawn Christopher Respert,,
nba_60,Rodney Strickland,,Backcourt
nba_61,Elmer H. Behnke,,
nba_62,Lamar Brandon Stevens,,Frontcourt
nba_63,Ronald Moore,,Backcourt
nba_64,Erazem Lorbek,,Frontcourt
nba_65,"Marvin ""Mickey"" Rottner",,Backcourt
nba_66,Hamidou Diallo,,Frontcourt
nba_67,"Dewayne ""D. J."" White, Jr.",,Frontcourt
nba_68,Steve Kerr,,Frontcourt
nba_69,Gregory Clinton Foster,,Frontcourt
nba_70,Bill Hewitt,,Frontcourt
nba_71,Joseph Xavier Forte,,Backcourt
nba_72,Dino_Ra?,,Frontcourt
