id,name,team,position,nationality,draft_year
nba_0,Antonius Cleveland  ,Lokomotiv Kuban  ,,American  ,0.0
nba_1,Jay Vincent Jay Fletcher Vincent  ,Los Angeles Lakers,Frontcourt,American  ,1981.0
nba_3,Fran Curran Francis Hugh Curran Sr.,Rochester Royals,,American,0.0
nba_4,Mark Price  ,Orlando Magic,Backcourt,American  ,1986.0
nba_7,Erick Strickland  ,Milwaukee Bucks,,American  ,0.0
nba_8,David Lattin  , New Orleans Jazz,Frontcourt,American  ,1967.0
nba_9,Toby Kimball  , New Orleans Jazz,Frontcourt,American  ,0.0
nba_10,Derek Grimm  ,Sacramento Kings  ,Frontcourt,American  ,0.0
nba_11,Anthony Marshon Davis Jr.,Los Angeles Lakers,Frontcourt,American,2012.0
nba_12,Brandan Keith Wright  ,Houston Rockets  ,,American  ,2007.0
nba_14,Carrick Felix  , Melbourne United,Backcourt,American  ,2013.0
nba_15,Mychel Thompson  , Santa Cruz Warriors,Backcourt,American  ,0.0
nba_16,Marvin Roberts,,,American,1971.0
nba_17,"Kenneth ""Apple"" Green  ",New York Knicks  ,,American  ,1981.0
nba_18,Gerald Madkins Jr.,Grand Rapids Hoops,,American,0.0
nba_19,Don Anielak  ,New York Knicks  ,,American  ,1954.0
nba_20,Philip Douglas Jackson  , Los Angeles Lakers,Frontcourt,American  ,1967.0
nba_21,Anthony Avent  , PAOK Thessaloniki,Frontcourt,American  ,1991.0
nba_22,Drew Edward Gordon  ,Philadelphia 76ers  ,Frontcourt,American  ,0.0
nba_23,Jarrett Jack  ,Detroit Pistons  ,,American  ,2005.0
nba_24,Rick Hughes  , HTV Basket,,American  ,0.0
nba_25,Lavoy Allen  ,Philadelphia 76ers  ,,American  ,2011.0
nba_26,Ed Dahler Edward Dahler Jr.,Philadelphia Warriors,,American,1950.0
nba_27,Magic Johnson  ,Los Angeles Lakers,Backcourt,American  ,1979.0
nba_29,Isiah Thomas  ,Detroit Pistons  ,Backcourt,American  ,1981.0
nba_30,Dan Anderson,Portland Trail Blazers,,American,1974.0
nba_32,Trent Tucker  ,Chicago Bulls  ,Backcourt,American  ,1982.0
nba_33,Dwayne Kenneth Schintzius  , Brevard Blue Ducks,Frontcourt,American  ,1990.0
nba_34,Miles Julian Simon  ,Phoenix Suns  ,Backcourt,American  ,0.0
nba_35,Guy William Rodgers  ,Milwaukee Bucks  ,,American  ,1958.0
nba_36,Vernon Maxwell,Dallas Mavericks,Backcourt,American,1988.0
nba_37,Tim Duncan,San Antonio Spurs,Frontcourt,American,1997.0
nba_38,Walter Berry , Panteras de Miranda,Frontcourt,American  ,1986.0
nba_39,James Patrick Walsh  ,Philadelphia Warriors  ,Frontcourt,American  ,0.0
nba_40,Tony Lorenzo Delk  ,New Mexico State,,American  ,1996.0
nba_41,Calvin Ramsey  ,New York Knicks  ,Frontcourt,American  ,1959.0
nba_42,Gene Dyker Eugene Walter Dyker  ,Milwaukee Hawks  ,Frontcourt,American  ,1953.0
nba_43,Derrick Chievous  ,Cleveland Cavaliers  ,Frontcourt,American  ,1988.0
nba_45,Anthony Edwards,Minnesota Timberwolves,Backcourt,American,2020.0
nba_46,"Harry Junior ""The Horse"" Gallatin  ",Detroit Pistons  ,Frontcourt,American  ,1949.0
nba_47,Jim Brasco  ,Milwaukee Hawks  ,,American  ,1952.0
nba_48,Darnell Hillman  ,Golden State Warriors,Frontcourt,American,1971.0
nba_52,Kurt Thomas  , New York Knicks,Frontcourt,American  ,1995.0
nba_53,Kevin Wayne Durant,Phoenix Suns,Frontcourt,American,2007.0
nba_54,Aaron Williams  , Los Angeles Clippers,Frontcourt,American  ,0.0
nba_55,Nathaniel Thomas Huffman  ,Toronto Raptors  ,,American  ,0.0
nba_56,Fred Boyd  ,New Orleans Jazz  ,,American  ,1972.0
nba_57,William Bedford  , Grand Rapids Hoops,Frontcourt,American  ,1986.0
nba_58,Steve Smith,Charlotte Bobcats,Backcourt,American,1991.0
nba_59,Shawn Christopher Respert  ,  ,,American  ,1995.0
nba_60,Rodney Strickland  , Houston Rockets,,American  ,1988.0
nba_61,Elmer H. Behnke  ,Milwaukee Hawks  ,,American  ,1951.0
nba_62,Lamar Brandon Stevens  ,Memphis Grizzlies  ,,American  ,0.0
nba_63,Ronald Moore  ,Debreceni EAC  ,Backcourt,American  ,2010.0
nba_65,"Marvin ""Mickey"" Rottner  ", Chicago Stags,Backcourt,American  ,0.0
