id,name,position,nationality,team
nba_0,Antonius Cleveland  ,,American  ,Lokomotiv Kuban  
nba_1,Jay Vincent Jay Fletcher Vincent  ,Frontcourt,American  ,Los Angeles Lakers
nba_2,Nikola Radi?evi?  ,Backcourt,Serbian  ,Cedevita Olimpija  
nba_3,Fran Curran Francis Hugh Curran Sr.,,American,Rochester Royals
nba_4,Mark Price  ,Backcourt,American  ,Orlando Magic
nba_5,David Michineau  ,Backcourt,French  ,Bursaspor Basketbol  
nba_6,Donta Hall  ,,American-born naturalized Azerbaijani  ,Saski Baskonia
nba_7,Erick Strickland  ,,American  ,Milwaukee Bucks
nba_8,David Lattin  ,Frontcourt,American  , New Orleans Jazz
nba_9,Toby Kimball  ,Frontcourt,American  , New Orleans Jazz
nba_10,Derek Grimm  ,Frontcourt,American  ,Sacramento Kings  
nba_11,Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers
nba_12,Brandan Keith Wright  ,,American  ,Houston Rockets  
nba_13,Askia Rahman Jones  ,Backcourt,American-Venezuelan  ,Guaros de Lara
nba_14,Carrick Felix  ,Backcourt,American  , Melbourne United
nba_15,Mychel Thompson  ,Backcourt,American  , Santa Cruz Warriors
nba_16,Marvin Roberts,,American,
nba_17,"Kenneth ""Apple"" Green  ",,American  ,New York Knicks  
nba_18,Gerald Madkins Jr.,,American,Grand Rapids Hoops
nba_19,Don Anielak  ,,American  ,New York Knicks  
nba_20,Philip Douglas Jackson  ,Frontcourt,American  , Los Angeles Lakers
nba_21,Anthony Avent  ,Frontcourt,American  , PAOK Thessaloniki
nba_22,Drew Edward Gordon  ,Frontcourt,American  ,Philadelphia 76ers  
nba_23,Jarrett Jack  ,,American  ,Detroit Pistons  
nba_24,Rick Hughes  ,,American  , HTV Basket
nba_25,Lavoy Allen  ,,American  ,Philadelphia 76ers  
nba_26,Ed Dahler Edward Dahler Jr.,,American,Philadelphia Warriors
nba_27,Magic Johnson  ,Backcourt,American  ,Los Angeles Lakers
nba_28,Stanley M. Noszka  ,, , Boston Celtics
nba_29,Isiah Thomas  ,Backcourt,American  ,Detroit Pistons  
nba_30,Dan Anderson,,American,Portland Trail Blazers
nba_31,Jahlil Okafor,,Nigerian-American,Capitanes de Arecibo
nba_32,Trent Tucker  ,Backcourt,American  ,Chicago Bulls  
nba_33,Dwayne Kenneth Schintzius  ,Frontcourt,American  , Brevard Blue Ducks
nba_34,Miles Julian Simon  ,Backcourt,American  ,Phoenix Suns  
nba_35,Guy William Rodgers  ,,American  ,Milwaukee Bucks  
nba_36,Vernon Maxwell,Backcourt,American,Dallas Mavericks
nba_37,Tim Duncan,Frontcourt,American,San Antonio Spurs
nba_38,Walter Berry ,Frontcourt,American  , Panteras de Miranda
nba_39,James Patrick Walsh  ,Frontcourt,American  ,Philadelphia Warriors  
nba_40,Tony Lorenzo Delk  ,,American  ,New Mexico State
nba_41,Calvin Ramsey  ,Frontcourt,American  ,New York Knicks  
nba_42,Gene Dyker Eugene Walter Dyker  ,Frontcourt,American  ,Milwaukee Hawks  
nba_43,Derrick Chievous  ,Frontcourt,American  ,Cleveland Cavaliers  
nba_44,Rik Smits  ,Frontcourt,Dutch  ,Indiana Pacers  
nba_45,Anthony Edwards,Backcourt,American,Minnesota Timberwolves
nba_46,"Harry Junior ""The Horse"" Gallatin  ",Frontcourt,American  ,Detroit Pistons  
nba_47,Jim Brasco  ,,American  ,Milwaukee Hawks  
nba_48,Darnell Hillman  ,Frontcourt,American,Golden State Warriors
nba_49,Larry Robinson,Frontcourt,Canadian,Senior Consultant to Hockey Operations for the St. Louis Blues
nba_50,Nicholas William Calathes ,Backcourt,Greek-American  ,AS Monaco  
nba_51,Rod Derline  ,Backcourt, ,Seattle SuperSonics  
