id,company_name,principal_activities,revenue,net_profit_or_loss,total_assets,business_risks
Finance_0,Rectifier Technologies Ltd,Manufacturing||Technology,14761523.0,491955,22929553.0,Market Risk||Credit Risk||Operational Risk
Finance_1,Beazley plc,Finance,3466600000.0,160800000,15099000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_2,"Aurora Innovation, Inc.",Technology||Transportation,68000000.0,1723000000,2001000000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_3,NEW ZEALAND MEDIA AND ENTERTAINMENT,Media,355433000.0,22680000,306237000.0,Operational Risk||Legal/Compliance Risk||Market Risk||Strategic Risk
Finance_4,INMUNE BIO INC.,Healthcare,374000.0,27299000,81795000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_5,"CSG Systems International, Inc.",Technology||Telecommunications||Media||Retail||Healthcare||Finance,1089752000.0,44060000,1348553000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
Finance_6,Trinity Place Holdings Inc.,Real Estate,42984000.0,20690000,306927000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_7,Suncorp Group Limited,Finance||Technology||Insurance,9250000000.0,681000000,106000000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk 
Finance_8,Poste Italiane S.p.A.,Finance||Technology||Retail||Energy,13730962770.0,1745099230,302160000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_9,"Guaranty Bancshares, Inc.",Finance,107829000.0,40423000,3351495000.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
Finance_10,Incitec Pivot Limited,Mining||Agriculture||Manufacturing||Energy||Technology,6315300000.0,1027000000,9378600000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_11,Toshiba Corporation,Manufacturing||Technology||Energy||Retail||Other,25003000000.0,1460000000,29750000000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_12,Swiss Water Decaffeinated Coffee Inc.,Manufacturing||Agriculture||Other,176935000.0,2387000,219039000.0,Market Risk||Operational Risk||Environmental Risk
Finance_13,"Kiniksa Pharmaceuticals, Ltd.",Healthcare,220180000.0,183363000,459672000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_14,NuCana plc,Healthcare,0.0,-43452817,79065000.0,Market Risk||Credit Risk||Operational Risk
Finance_15,Westwater Resources Inc.,Mining||Energy,,-11121000,168408000.0,Market Risk||Credit Risk||Operational Risk
Finance_16,Brave Bison Group plc,Media||Technology,42963764.0,2823562,27962361.0,Market Risk||Credit Risk||Operational Risk
Finance_17,Playtech plc,Technology||Media,1850197860.0,101356000,3491312000.0,Market Risk||Credit Risk||Operational Risk
Finance_18,"RumbleOn, Inc.",Retail||Technology,1793368000.0,"261,513,000",1027210000.0,Market Risk||Credit Risk||Operational Risk
Finance_19,"Syndax Pharmaceuticals, Inc.",Biopharmaceuticals||Technology,,"149,338,000",497236000.0,Market Risk||Credit Risk||Operational Risk
Finance_20,MGM Resorts International,Other||Real Estate||Media,13128000000.0,1467000000,45869000000.0,Market Risk||Operational Risk||Legal/Compliance Risk
Finance_21,AA Limited,Finance||Transportation,989000000.0,-27000000,2045000000.0,Market Risk||Operational Risk||Other
Finance_22,Benjamin Hornigold Ltd,Finance,-171254.0,-1239019,7710615.0,Credit Risk||Market Risk
Finance_23,"BCB Bancorp, Inc.",Finance,118615000.0,45579000,3546193000.0,Market Risk||Operational Risk||Credit Risk||Strategic Risk
Finance_24,Kelly Partners Group Holdings Limited,Finance,67435877.0,13328745,106642496.0,Credit Risk||Market Risk
Finance_25,Nordic American Tankers Limited,Transportation,339340000.0,15101000,879883000.0,Credit Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Operational Risk
Finance_26,Franklin Covey Co.,Other,262841000.0,18430000,259155000.0,Market Risk||Strategic Risk||Other
Finance_27,Integra LifeSciences Holdings Corporation,Healthcare||Manufacturing||Technology,1557666000.0,180550000,3889758000.0,Market Risk||Operational Risk||Credit Risk||Strategic Risk
Finance_28,Mosaic Brands Limited,Retail,433755700.0,-8019200,239726000.0,Market Risk||Credit Risk
Finance_29,Albany International Corp.,Manufacturing||Technology,1034887000.0,95800000,1642255000.0,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk
Finance_30,EPI (Holdings) Limited,Energy||Finance,5747505.0,-5961135,55271348.0,Market Risk||Credit Risk||Operational Risk||Environmental Risk
Finance_31,Starvest plc,Finance,66785.0,-7337195,8299629.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
Finance_32,Emera Incorporated,Energy||Utilities||Transportation,7588000000.0,945000000,39742000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_33,"Bionano Genomics, Inc.",Technology||Healthcare,27802000.0,-132596000,307502000.0,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk
Finance_34,NextNav Inc.,Technology,3926000.0,40116000,123788000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_35,"ARCA biopharma, Inc.",Healthcare,,-9926000,43085000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_36,Arcadia Minerals Limited,Mining,9071.0,-1692533,8995734.0,Market Risk||Credit Risk||Operational Risk
Finance_37,Elixir Energy Limited,Energy,38926.0,-1981676,44125647.0,Market Risk||Credit Risk||Operational Risk||Environmental Risk
Finance_38,"Rapid7, Inc.",Technology,685083000.0,-124717000,1358991000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_39,"1-800-FLOWERS.COM, Inc.",Retail,2207885000.0,29610000,1094891000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_40,"WEIS MARKETS, INC.",Retail,4695943000.0,125196000,1959150000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_41,"NeoGenomics, Inc.",Healthcare,509728000.0,-144250000,1740034000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_42,Downer EDI Limited,Transportation || Utilities || Telecommunications || Energy || Healthcare,7129223640.0,98611520,4840398360.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other
Finance_43,Aptiv PLC,Technology||Manufacturing,17489000000.0,590000000,21884000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_44,"Celldex Therapeutics, Inc.",Healthcare||Manufacturing,0.0,-112300000,,Market Risk||Strategic Risk||Operational Risk
Finance_45,"Bridgewater Bancshares, Inc.",Finance,136030000.0,53392000,4345662000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_46,DiaMedica Therapeutics Inc.,Healthcare,0.0,-13676000,,Market Risk||Strategic Risk||Legal/Compliance Risk
Finance_47,Microsoft Corporation,Technology,198270000000.0,72738000000,364840000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_48,James Halstead plc,Manufacturing||Retail,396056939.0,54725493,365951672.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk ||Environmental Risk||Strategic Risk
Finance_49,Infinera Corporation,Technology||Manufacturing,1573242000.0,-76043000,1669138000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_50,"Odyssey Group Holdings, Inc.",Finance,5600200000.0,165500000,19325900000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_51,Ritchie Bros. Auctioneers Incorporated,Finance,1733808000.0,417174000,2863727000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_52,"Atreca, Inc.",Healthcare,,-97157000,155030000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_53,"Enact Holdings, Inc.",Finance,1095046000.0,704157000,5709149000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_54,Alcoa Corporation,Mining,12451000000.0,-123000000,14756000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_55,Incyte Corporation,Healthcare,3394635000.0,340660000,3372641000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_56,"HCA Healthcare, Inc.",Healthcare,60233000000.0,5643000000,52438000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_57,"MainStreet Bancshares, Inc.",Finance||Real Estate||Technology,83845000.0,26674000,1925751000.0,Credit Risk||Operational Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_58,Verrica Pharmaceuticals Inc.,Healthcare,9032000.0,-24487000,44721000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
