principal_activities,count(*)
Biopharmaceuticals||Technology,1
Energy,3
Energy||Finance,1
Energy||Utilities||Transportation,1
Finance,17
Finance || Real Estate,1
Finance||Insurance||Real Estate||Other,1
Finance||Real Estate||Technology,1
Finance||Technology||Insurance,1
Finance||Technology||Retail||Energy,1
Finance||Transportation,1
Healthcare,12
Healthcare || Manufacturing,1
Healthcare || Technology,1
Healthcare||Manufacturing,1
Healthcare||Manufacturing||Technology,1
Healthcare||Technology,1
Manufacturing,1
Manufacturing||Agriculture||Other,1
Manufacturing||Retail,1
Manufacturing||Retail||Energy||Other,1
Manufacturing||Retail||Other,1
Manufacturing||Technology,3
Manufacturing||Technology||Energy||Retail||Other,1
Manufacturing||Technology||Retail,1
Manufacturing||Technology||Retail||Transportation||Healthcare,1
Media,1
Media||Technology,1
Mining,5
Mining||Agriculture||Manufacturing||Energy||Technology,1
Mining||Energy,1
Mining||Finance,1
Other,2
Other||Real Estate||Media,1
Real Estate,1
Real Estate||Retail,2
Retail,5
Retail||Real Estate,1
Retail||Technology,1
Technology,7
Technology||Healthcare,1
Technology||Healthcare||Cybersecurity||Marketing,1
Technology||Manufacturing,2
Technology||Media,2
Technology||Other,1
Technology||Telecommunications||Media||Retail||Healthcare||Finance,1
Technology||Transportation,1
Telecommunications,1
Transportation,1
Transportation || Utilities || Telecommunications || Energy || Healthcare,1
Transportation||Finance||Other,1
