name,birth_date,nationality,age,team,position,draft_pick,draft_year,college,nba_championships,mvp_awards,olympic_gold_medals,fiba_world_cup,ID
Jay Vincent Jay Fletcher Vincent  ,1959/6/10,American  ,66,Los Angeles Lakers,Frontcourt,24.0,1981.0,Michigan State Spartans  ,0.0,0,0.0,0.0,2
David Lattin  ,1943/12/23,American  ,81, New Orleans Jazz,Frontcourt,10.0,1967.0,Texas Western College  ,0.0,0,0.0,0.0,9
Toby Kimball  ,1942/9/7,American  ,83, New Orleans Jazz,Frontcourt,0.0,0.0,University of Connecticut  ,0.0,0,0.0,0.0,10
Derek Grimm  ,1974/8/3,American  ,51,Sacramento Kings  ,Frontcourt,0.0,0.0,University of Missouri  ,0.0,0,0.0,0.0,11
Anthony Marshon Davis Jr.,1993/3/11,American,32,Los Angeles Lakers,Frontcourt,1.0,2012.0,Kentucky,1.0,1,2.0,1.0,12
Philip Douglas Jackson  ,1945/9/17,American  ,80, Los Angeles Lakers,Frontcourt,2.0,1967.0,University of North Dakota  ,13.0,0,0.0,0.0,21
Anthony Avent  ,1969/10/18,American  ,56, PAOK Thessaloniki,Frontcourt,15.0,1991.0,Seton Hall University  ,0.0,0,0.0,0.0,22
Drew Edward Gordon  ,1990/7/12,American  ,33,Philadelphia 76ers  ,Frontcourt,0.0,0.0,UCLA  ,0.0,0,0.0,0.0,23
Dwayne Kenneth Schintzius  ,1968/10/14,American  ,57, Brevard Blue Ducks,Frontcourt,24.0,1990.0,University of Florida  ,0.0,0,0.0,0.0,34
Tim Duncan,1976/4/25,American,50,San Antonio Spurs,Frontcourt,1.0,1997.0,Wake Forest University,5.0,2,0.0,0.0,38
Walter Berry ,1964/5/14,American  ,61, Panteras de Miranda,Frontcourt,14.0,1986.0,St. John's University  ,0.0,0,0.0,0.0,39
James Patrick Walsh  ,1930/8/29,American  ,95,Philadelphia Warriors  ,Frontcourt,0.0,0.0,Stanford University  ,0.0,0,1.0,0.0,40
Calvin Ramsey  ,1937/7/13,American  ,88,New York Knicks  ,Frontcourt,13.0,1959.0,NYU  ,0.0,0,0.0,0.0,42
Gene Dyker Eugene Walter Dyker  ,1930/2/17,American  ,95,Milwaukee Hawks  ,Frontcourt,0.0,1953.0,  ,0.0,0,0.0,0.0,43
Derrick Chievous  ,1967/7/3,American  ,58,Cleveland Cavaliers  ,Frontcourt,16.0,1988.0,University of Missouri  ,0.0,0,0.0,0.0,44
Rik Smits  ,1966/8/23,Dutch  ,59,Indiana Pacers  ,Frontcourt,2.0,1988.0,Marist College  ,0.0,0,0.0,1.0,45
"Harry Junior ""The Horse"" Gallatin  ",1927/4/26,American  ,98,Detroit Pistons  ,Frontcourt,20.0,1949.0,Northeast Missouri State Teachers' College  ,0.0,0,0.0,0.0,47
Darnell Hillman  ,1949/8/29,American,76,Golden State Warriors,Frontcourt,8.0,1971.0,San Jose State University  ,0.0,0,0.0,1.0,49
Larry Robinson,1951/6/2,Canadian,74,Senior Consultant to Hockey Operations for the St. Louis Blues,Frontcourt,0.0,0.0,,0.0,0,0.0,0.0,50
Kurt Thomas  ,1972/10/4,American  ,53, New York Knicks,Frontcourt,0.0,1995.0,Texas Christian University  ,0.0,0,0.0,0.0,53
