disease_type,count(disease_name)
allergic,1
allergic||toxic,1
autoimmune||allergic,1
autoimmune||endocrine,1
autoimmune||inflammatory,2
degenerative,1
degenerative||nutritional||endocrine||inflammatory,1
degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others,1
degenerative||vascular||others,1
functional,1
genetic,3
genetic||autoimmune,1
genetic||congenital||nutritional||inflammatory||toxic||others,1
genetic||degenerative,1
genetic||degenerative||psychiatric,1
genetic||metabolic,1
iatrogenic,1
iatrogenic||infectious,1
iatrogenic||infectious||nutritional||others,1
iatrogenic||inflammatory,1
iatrogenic||vascular,1
idiopathic,1
idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others,1
idiopathic||inflammatory||infectious_viral,1
idiopathic||inflammatory||psychiatric||others,1
infectious,7
infectious||genetic,1
infectious||inflammatory,9
infectious||inflammatory||iatrogenic,1
infectious||inflammatory||vascular,1
infectious||parasitic,3
inflammatory,7
inflammatory||idiopathic||others,1
inflammatory||infectious||vascular||others,1
metabolic||degenerative||inflammatory||traumatic||vascular||idiopathic,1
metabolic||endocrine,2
metabolic||inflammatory,1
metabolic||vascular,1
neoplastic,7
neoplastic||inflammatory,1
neurological||metabolic||chronic,1
psychiatric,7
psychiatric||infectious_viral||idiopathic,1
psychiatric||toxic,1
traumatic,1
traumatic||vascular||congenital||others,1
vascular,1
vascular||degenerative,2
vascular||iatrogenic,2
vascular||inflammatory||idiopathic,1
