principal_activities,avg(revenue),sum(net_profit_or_loss),count(company_name)
Biopharmaceuticals||Technology,,"149,338,000",1
Energy,14909678822.666666,-1981676-498100003139858817,3
Energy||Finance,5747505.0,-5961135,1
Energy||Utilities||Transportation,7588000000.0,945000000,1
Finance,1741515101.764706,16080000040423000-12390194557900013328745-733719553392000165500000417174000704157000777168000165808555020445000-28498000-144165304384000015870000,17
Finance || Real Estate,75170000.0,10426000,1
Finance||Insurance||Real Estate||Other,326604000.0,87715000,1
Finance||Real Estate||Technology,83845000.0,26674000,1
Finance||Technology||Insurance,9250000000.0,681000000,1
Finance||Technology||Retail||Energy,13730962770.0,1745099230,1
Finance||Transportation,989000000.0,-27000000,1
Healthcare,6440974500.0,27299000183363000-43452817-9926000-144250000-13676000-971570003406600005643000000-244870008027000-81351000,12
Healthcare || Manufacturing,44351000000.0,3293000000,1
Healthcare || Technology,,0,1
Healthcare||Manufacturing,0.0,-112300000,1
Healthcare||Manufacturing||Technology,1557666000.0,180550000,1
Healthcare||Technology,4286000.0,-58210000,1
Manufacturing,1237680000.0,-41890000,1
Manufacturing||Agriculture||Other,176935000.0,2387000,1
Manufacturing||Retail,396056939.0,54725493,1
Manufacturing||Retail||Energy||Other,3172610000.0,21033655,1
Manufacturing||Retail||Other,725504000.0,20860800,1
Manufacturing||Technology,353278018.3333333,49195595800000-2614503,3
Manufacturing||Technology||Energy||Retail||Other,25003000000.0,1460000000,1
Manufacturing||Technology||Retail,9231449000.0,754665000,1
Manufacturing||Technology||Retail||Transportation||Healthcare,757061500.0,34839779,1
Media,355433000.0,22680000,1
Media||Technology,42963764.0,2823562,1
Mining,2492605594.8,-1692533-123000000-9538268-7163072093291,5
Mining||Agriculture||Manufacturing||Energy||Technology,6315300000.0,1027000000,1
Mining||Energy,,-11121000,1
Mining||Finance,0.0,-279544,1
Other,3100829500.0,18430000179350000,2
Other||Real Estate||Media,13128000000.0,1467000000,1
Real Estate,42984000.0,20690000,1
Real Estate||Retail,192752967.5,-8470000123517580,2
Retail,4359430140.0,-80192002961000012519600088500000-109733000,5
Retail||Real Estate,22202542600.0,548983400,1
Retail||Technology,1793368000.0,"261,513,000",1
Technology,28616909318.42857,40116000-12471700072738000000-6858000-345404000-21129513881000,7
Technology||Healthcare,27802000.0,-132596000,1
Technology||Healthcare||Cybersecurity||Marketing,1390997000.0,69549850,1
Technology||Manufacturing,9531121000.0,590000000-76043000,2
Technology||Media,970939930.0,101356000-57879979,2
Technology||Other,2207841928.0,72993833.4,1
Technology||Telecommunications||Media||Retail||Healthcare||Finance,1089752000.0,44060000,1
Technology||Transportation,68000000.0,1723000000,1
Telecommunications,975000000.0,1257000000,1
Transportation,339340000.0,15101000,1
Transportation || Utilities || Telecommunications || Energy || Healthcare,7129223640.0,98611520,1
Transportation||Finance||Other,6389940000.0,1252640000,1
