id,name,team,position
nba_0,Antonius Cleveland  ,Lokomotiv Kuban  ,
nba_1,Jay Vincent Jay Fletcher Vincent  ,Los Angeles Lakers,Frontcourt
nba_2,Nikola Radi?evi?  ,Cedevita Olimpija  ,Backcourt
nba_3,Fran Curran Francis Hugh Curran Sr.,Rochester Royals,
nba_4,Mark Price  ,Orlando Magic,Backcourt
nba_5,David Michineau  ,Bursaspor Basketbol  ,Backcourt
nba_6,Donta Hall  ,Saski Baskonia,
nba_7,Erick Strickland  ,Milwaukee Bucks,
nba_8,David Lattin  , New Orleans Jazz,Frontcourt
nba_9,Toby Kimball  , New Orleans Jazz,Frontcourt
nba_10,Derek Grimm  ,Sacramento Kings  ,Frontcourt
nba_11,Anthony Marshon Davis Jr.,Los Angeles Lakers,Frontcourt
nba_12,Brandan Keith Wright  ,Houston Rockets  ,
nba_13,Askia Rahman Jones  ,Guaros de Lara,Backcourt
nba_14,Carrick Felix  , Melbourne United,Backcourt
nba_15,Mychel Thompson  , Santa Cruz Warriors,Backcourt
nba_16,Marvin Roberts,,
nba_17,"Kenneth ""Apple"" Green  ",New York Knicks  ,
nba_18,Gerald Madkins Jr.,Grand Rapids Hoops,
nba_19,Don Anielak  ,New York Knicks  ,
nba_20,Philip Douglas Jackson  , Los Angeles Lakers,Frontcourt
nba_21,Anthony Avent  , PAOK Thessaloniki,Frontcourt
nba_22,Drew Edward Gordon  ,Philadelphia 76ers  ,Frontcourt
nba_23,Jarrett Jack  ,Detroit Pistons  ,
nba_24,Rick Hughes  , HTV Basket,
nba_25,Lavoy Allen  ,Philadelphia 76ers  ,
nba_26,Ed Dahler Edward Dahler Jr.,Philadelphia Warriors,
nba_27,Magic Johnson  ,Los Angeles Lakers,Backcourt
nba_28,Stanley M. Noszka  , Boston Celtics,
nba_29,Isiah Thomas  ,Detroit Pistons  ,Backcourt
nba_30,Dan Anderson,Portland Trail Blazers,
nba_31,Jahlil Okafor,Capitanes de Arecibo,
