id,company_name,bussiness_cost,bussiness_profit,bussiness_sales,business_segments_num,business_risks
Finance_0,Rectifier Technologies Ltd,7352827,739919,14947185,4.0,Market Risk||Credit Risk||Operational Risk
Finance_1,Beazley plc,3236200000,230400000,5268700000,5.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_2,"Aurora Innovation, Inc.",1920000000,1852000000,68000000,3.0,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_3,NEW ZEALAND MEDIA AND ENTERTAINMENT,334491000,64703000,365886000,3.0,Operational Risk||Legal/Compliance Risk||Market Risk||Strategic Risk
Finance_4,INMUNE BIO INC.,27673000,27299000,374000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_5,"CSG Systems International, Inc.",565168000,78747000,1089752000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
Finance_6,Trinity Place Holdings Inc.,51596000,,42984000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_7,Suncorp Group Limited,10978000000,1102000000,10872000000,5.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk 
Finance_8,Poste Italiane S.p.A.,11085018140,2644789700,13732117700,4.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_9,"Guaranty Bancshares, Inc.",82057000,40423000,131314000,4.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
Finance_10,Incitec Pivot Limited,4972300000,1535500000,6381100000,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_11,Toshiba Corporation,2129327000,106463000,2236000000,7.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_12,Swiss Water Decaffeinated Coffee Inc.,150800000,2387000,176940000,1.0,Market Risk||Operational Risk||Environmental Risk
Finance_13,"Kiniksa Pharmaceuticals, Ltd.",210400000,183400000,122500000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_14,NuCana plc,59298000,,,1.0,Market Risk||Credit Risk||Operational Risk
Finance_15,Westwater Resources Inc.,12125000,,,1.0,Market Risk||Credit Risk||Operational Risk
Finance_16,Brave Bison Group plc,19956000,1983800,42963764,2.0,Market Risk||Credit Risk||Operational Risk
