name,team,position,nationality,draft_year
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Paul George,Philadelphia 76ers,Frontcourt,American,2010
Jayson Tatum,Boston Celtics,Frontcourt,American,2017
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
OG Anunoby,New York Knicks,Frontcourt,British,2017
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Giannis Antetokounmpo,Milwaukee Bucks,Frontcourt,Greek,2013
Stephen Curry,Golden State Warriors,Frontcourt,American,2009
Al Horford,Atlanta Hawks,Frontcourt,American,2006
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jonathan Kuminga,Golden State Warriors,Frontcourt,Congolese,2021
Lonzo Ball,UCLA Bruins,Frontcourt,American,2017
Jalen Brunson,Villanova,Frontcourt,American,2015
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Don Anielak,New York Knicks,Frontcourt,American,1954
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jahlil Okafor,Capitanes de Arecibo,Frontcourt,Nigerian-American,2015
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Tim Duncan,San Antonio Spurs,Frontcourt,American,1997
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Kevin Durant,Brooklyn Nets,Frontcourt,American,2007
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Rod Strickland,New York Knicks,Frontcourt,American,1988
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Ronald Moore,Debreceni EAC,Frontcourt,American,2010
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
