name,position,nationality,team,college,nba_championships,mvp_awards,olympic_gold_medals
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Buddy Hield,Backcourt,Bahamian,Golden State Warriors,Oklahoma Sooners,0,0,1
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,Ohio State Buckeyes,0,0,0
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Kyrie Irving,Backcourt,American,Dallas Mavericks,Duke University,1,1,2
Jayson Tatum,Backcourt,American,Boston Celtics,Duke University,0,0,0
Caleb Martin,Backcourt,American,Miami Heat,Marquette University,1,0,0
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
"Ogugua ""OG"" Anunoby Jr.",Frontcourt,British,New York Knicks,Indiana Hoosiers,1,0,0
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Jaylen Brown,Backcourt,American,Boston Celtics,California Golden Bears,1,0,1
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Austin Reaves,Backcourt,American,Not specified in the chunk,Wichita State,0,0,1
Kevin Love,Frontcourt,American,Los Angeles Lakers,UCLA,2,0,0
Giannis Antetokounmpo,Frontcourt,Greek,Milwaukee Bucks,None,2,3,1
Stephen Curry,Backcourt,American,Golden State Warriors,Davidson College,4,2,4
Horford,Frontcourt,American,Atlanta Hawks,Georgia Tech,0,0,0
Tyler Herro,Backcourt,American,Miami Heat,Marquette University,0,1,0
Robinson,Backcourt,American,Miami Heat,None,2,0,0
,,,,,,,
Kyle Anderson,Backcourt,American,San Antonio Spurs,UCLA,0,0,1
Cunningham,Backcourt,American,Detroit Pistons,Texas,0,0,0
,,,,,,,
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Zach LaVine,Backcourt,American,Minnesota Timberwolves,,0,0,0
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Michael Jordan,Frontcourt,American,Chicago Bulls,North Carolina,6,5,2
Devin,Backcourt,American,Phoenix Suns,Kentucky,0,0,1
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Jonathan Malangu Kuminga,Frontcourt,Congolese,Golden State Warriors,None,1,0,0
Lonzo Ball,Backcourt,American,Chicago Bulls,UCLA Bruins,0,,
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Ausar XLNC Thompson,Backcourt,American,Detroit Pistons,Pine Crest School,0,0,0
Jalen Brunson,Backcourt,American,Villanova,Villanova,0,0,0
Shaquille Rashaun O'Neal,Frontcourt,American,Miami Heat,,4,2,
Kobe Bryant,Backcourt,American,Los Angeles Lakers,Duke University,5,1,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Bam Adebayo,Frontcourt,Nigerian,Miami Heat,Kentucky,0,0,1
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Gerald Madkins Jr.,Backcourt,American,New York Knicks,,0,0,0
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
LeBron James,Backcourt,American,Los Angeles Lakers,St. Vincent-St. Mary High School,4,4,2
Phil Jackson,Backcourt,American,Los Angeles Lakers,Loyola Marymount University,11,0,0
