player.team,player.file_name,team.team_name,team.file_name,_match_confidence,_match_method
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
NONE,,NONE,,1.0,priority_fusion(exact_match)
