name,position,nationality,team_name,ownership,founded_year
Chavano Rainer 'Buddy' Hield,Backcourt,Bahamian,Golden State Warriors,,1946
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Joel Embiid,Frontcourt,Cameroonian-American,Philadelphia 76ers,,1946
Paul Clifton Anthony George,Frontcourt,American,Philadelphia 76ers,,1946
Kyrie Irving,Backcourt,American,Dallas Mavericks,,1980
Jayson Christopher Tatum,Frontcourt,American,Boston Celtics,,1946
Jayson Tatum,Frontcourt,American,Boston Celtics,,1946
Caleb Martin,Frontcourt,American,Philadelphia 76ers,,1946
Andrew Wiggins,Backcourt,Canadian,Golden State Warriors,,1946
Max Fiedler,Frontcourt,American,Philadelphia 76ers,,1946
Ogugua 'OG' Anunoby Jr.,Backcourt,British,New York Knicks,,1946
Jaylen Marselles Brown,Frontcourt,American,Boston Celtics,,1946
Jaylen Brown,Frontcourt,American,Boston Celtics,,1946
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1967
Jrue Holiday,Backcourt,American,Boston Celtics,,1946
Austin Tyler Reaves,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Kevin Wesley Love,Frontcourt,American,Miami Heat,,1988
Kevin Love,Frontcourt,American,Minnesota Timberwolves,Glen Taylor,1989
Giannis Antetokounmpo,Frontcourt,"Greek, Nigerian",Milwaukee Bucks,,1968
Wardell Stephen Curry II,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Tyler Christopher Herro,Backcourt,American,Miami Heat,,1988
Duncan McBryde Robinson,Backcourt,American,Miami Heat,,1988
Duncan Robinson,Backcourt,,Miami Heat,,1988
Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Anthony Davis,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Kyle Anderson,Backcourt,American-Chinese,Golden State Warriors,,1946
Cade Cunningham,Backcourt,American,Detroit Pistons,,1941
LeBron Raymone James Sr.,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron James,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Jimmy Butler,Backcourt,American,Miami Heat,,1988
Kevon Looney,Frontcourt,American,Golden State Warriors,,1946
Draymond Green,Backcourt,American,Golden State Warriors,,1946
Zach LaVine,Backcourt,American,Chicago Bulls,,1966
Jaden Edward Dhananjay Ivey,Frontcourt,American,Detroit Pistons,,1941
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,,1946
Kyle Lowry,Backcourt,,Toronto Raptors,,1995
Michael Jeffrey Jordan,Frontcourt,American,Washington Wizards,,1974
Devin Booker,Backcourt,American,Phoenix Suns,,1968
Draymond Jamal Green,Frontcourt,American,Golden State Warriors,,1946
Zach Collins,Frontcourt,American,San Antonio Spurs,,1967
Jonathan Malangu Kuminga,Frontcourt,Congolese,Golden State Warriors,,1946
Lonzo Anderson Ball,Backcourt,American,Chicago Bulls,,1966
Lonzo Ball,Backcourt,American,New Orleans Pelicans,,2002
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Ausar XLNC Thompson,Backcourt,American,Detroit Pistons,,1941
Jalen Marquis Brunson,Backcourt,American,New York Knicks,,1946
Julius Randle Brunson,Backcourt,American,New York Knicks,,1946
Jalen Brunson,Backcourt,,New York Knicks,,1946
Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs,,1967
Chris Paul,Backcourt,American,Phoenix Suns,,1968
Harrison Bryce Jordan Barnes,Frontcourt,American,San Antonio Spurs,,1967
Bam Adebayo,Frontcourt,American,Miami Heat,,1988
"Kenneth ""Apple"" Green",Frontcourt,American,New York Knicks,,1946
Jay Fletcher Vincent,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Donald Robert Anielak,Frontcourt,American,New York Knicks,,1946
Anthony Avent,Frontcourt,American,Milwaukee Bucks,,1968
Jarrett Matthew Jack,Backcourt,American,Detroit Pistons,,1941
Earvin 'Magic' Johnson,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Magic Johnson,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Isiah Thomas,Backcourt,American,Detroit Pistons,,1941
Daniel Edward Anderson,Frontcourt,American,Portland Trail Blazers,,1970
