name,team,position,nationality,draft_year,_doc_id
Antonius Cleveland,Lokomotiv Kuban,,American,2017,1.txt
Thomas Kimball,"['Boston Celtics', 'San Diego Rockets', 'Milwaukee Bucks', 'Kansas City Kings', 'Philadelphia 76ers', 'New Orleans Jazz']",power forward/center,American,,10.txt
Buddy Hield,Philadelphia 76ers,Guard,American,2017,100.txt
D'Angelo Russell,Brooklyn Nets,Point Guard,American,2015,101.txt
Joel Embiid,Philadelphia 76ers,Center,Cameroon,2014,102.txt
Paul George,Los Angeles Clippers,Small Forward,American,,103.txt
Kyrie Irving,Brooklyn Nets,Point Guard,American,2011,104.txt
Jayson Tatum,Boston Celtics,Forward,American,2017,105.txt
Caleb Martin,Philadelphia 76ers,small forward,American,2019,106.txt
Andrew Wiggins,"['Minnesota Timberwolves', 'Golden State Warriors']",,Canadian,2014,107.txt
Max Fiedler,Philadelphia 76ers,basketball,American,,108.txt
OG Anunoby,New York Knicks,Forward,British,2017,109.txt
William Derek Grimm,Sacramento Kings,forward,American,1997,11.txt
Jaylen Brown,Boston Celtics,Small Forward,American,,110.txt
Victor Wembanyama,San Antonio Spurs,Center,French,,111.txt
Jrue Holiday,Boston Celtics,Point Guard,American,2010,112.txt
Austin Reaves,Los Angeles Lakers,Guard,American,,113.txt
Kevin Love,Cleveland Cavaliers,Forward,American,2010,114.txt
Giannis Antetokounmpo,Milwaukee Bucks,Forward,Greek,,115.txt
Stephen Curry,Golden State Warriors,Guard,American,2009,116.txt
Al Horford,Boston Celtics,Center/Forward,Dominican Republic,,117.txt
Tyler Herro,Miami Heat,Guard,,2019,118.txt
Duncan Robinson,Miami Heat,Guard,American,,119.txt
Anthony Davis,Los Angeles Lakers,Center/Forward,American,2012,12.txt
Kyle Anderson,UCLA Bruins,Point Guard/Forward,American,,120.txt
Cade Cunningham,Detroit Pistons,Point Guard,American,2021,121.txt
LeBron James,Cleveland Cavaliers,Forward,American,2003,122.txt
Jimmy Butler,Miami Heat,Forward,American,2011,123.txt
Kevon Looney,Golden State Warriors,Center,American,2015,124.txt
Zach LaVine,Bulls,Guard,American,2014,125.txt
Jaden Ivey,Detroit Pistons,,American,2022,126.txt
Kyle Lowry,Toronto Raptors,Point Guard,Canadian,,127.txt
Michael Jordan,Chicago Bulls,Guard/Forward,American,,128.txt
Devin Booker,Phoenix Suns,Guard,American,2015,129.txt
Brandan Keith Wright,"['Charlotte Bobcats', 'Golden State Warriors', 'New Jersey Nets', 'Dallas Mavericks', 'Boston Celtics', 'Phoenix Suns', 'Memphis Grizzlies', 'Houston Rockets']",power forward,American,2007,13.txt
Draymond Green,Golden State Warriors,Power Forward/Center,American,,130.txt
Zach Collins,San Antonio Spurs,Center,American,2017,131.txt
Jonathan Kuminga,Golden State Warriors,Small forward,Congolese,2021,132.txt
Lonzo Ball,Los Angeles Lakers,Point Guard,American,2017,133.txt
Jaime Jaquez Jr.,Miami Heat,Guard/Forward,Mexican-American,,134.txt
Ausar Thompson,Detroit Pistons,Wing,American,2023,135.txt
Jalen Brunson,New York Knicks,Guard,American,2016,136.txt
Shaquille O'Neal,Detroit Pistons,Center,American,1992,137.txt
Kobe Bryant,Los Angeles Lakers,Shooting Guard,American,,138.txt
