name,team,position,nationality,draft_year
Antonius Cleveland,Lokomotiv Kuban,Frontcourt,American,
Thomas Kimball,New Orleans Jazz,Frontcourt,American,
Joel Embiid,Philadelphia 76ers,Frontcourt,Cameroonian-American,2014.0
Paul Clifton Anthony George,Philadelphia 76ers,Frontcourt,American,2010.0
Jayson Christopher Tatum,Boston Celtics,Frontcourt,American,2017.0
Jayson Tatum,Boston Celtics,Frontcourt,American,
Caleb Martin,Philadelphia 76ers,Frontcourt,American,
Max Fiedler,Philadelphia 76ers,Frontcourt,American,
Jaylen Marselles Brown,Boston Celtics,Frontcourt,American,2016.0
Jaylen Brown,Boston Celtics,Frontcourt,American,2014.0
Victor Wembanyama,San Antonio Spurs,Frontcourt,French,2023.0
Kevin Wesley Love,Miami Heat,Frontcourt,American,2008.0
Kevin Love,Minnesota Timberwolves,Frontcourt,American,2008.0
Giannis Antetokounmpo,Milwaukee Bucks,Frontcourt,"Greek, Nigerian",2013.0
Al Horford,Boston Celtics,Frontcourt,Dominican Republic,2007.0
Anthony Marshon Davis Jr.,Los Angeles Lakers,Frontcourt,American,2012.0
Anthony Davis,Los Angeles Lakers,Frontcourt,American,2012.0
LeBron Raymone James Sr.,Los Angeles Lakers,Frontcourt,American,2003.0
LeBron James,Los Angeles Lakers,Frontcourt,American,2003.0
Kevon Looney,Golden State Warriors,Frontcourt,American,2015.0
Jaden Edward Dhananjay Ivey,Detroit Pistons,Frontcourt,American,2022.0
Michael Jeffrey Jordan,Washington Wizards,Frontcourt,American,1984.0
Michael Jordan,,Frontcourt,American,1984.0
Brandan Keith Wright,,Frontcourt,American,2007.0
Draymond Jamal Green,Golden State Warriors,Frontcourt,American,2012.0
Zach Collins,San Antonio Spurs,Frontcourt,American,2017.0
Jonathan Malangu Kuminga,Golden State Warriors,Frontcourt,Congolese,2021.0
Jaime Jaquez Jr.,Miami Heat,Frontcourt,Mexican-American,2023.0
Shaquille O'Neal,Not currently active,Frontcourt,American,1992.0
Kobe Bryant,Retired,Frontcourt,American,1996.0
Harrison Bryce Jordan Barnes,San Antonio Spurs,Frontcourt,American,2012.0
Bam Adebayo,Miami Heat,Frontcourt,American,2017.0
Carrick Felix,,Frontcourt,American,2013.0
"Kenneth ""Apple"" Green",New York Knicks,Frontcourt,American,1981.0
Jay Fletcher Vincent,Los Angeles Lakers,Frontcourt,American,1981.0
Donald Robert Anielak,New York Knicks,Frontcourt,American,1954.0
Anthony Avent,Milwaukee Bucks,Frontcourt,American,1991.0
Drew Edward Gordon,Not currently active,Frontcourt,American,
Lavoy Allen,Not currently active,Frontcourt,American,2011.0
Daniel Edward Anderson,Portland Trail Blazers,Frontcourt,American,1974.0
Jahlil Okafor,Capitanes de Arecibo,Frontcourt,Nigerian-American,2015.0
Maurice E. Harkless Okafor,Brooklyn Nets,Frontcourt,American,2015.0
Dwayne Kenneth Schintzius,,Frontcourt,American,1990.0
Timothy Theodore Duncan,San Antonio Spurs,Frontcourt,American,1997.0
Tim Duncan,San Antonio Spurs,Frontcourt,American,1997.0
Walter Berry,Various European teams,Frontcourt,American,1986.0
Francis Hugh Curran Sr.,Rochester Royals,Frontcourt,American,
James Patrick Walsh,Philadelphia Warriors,Frontcourt,American,
Calvin Ramsey,New York Knicks,Frontcourt,American,1959.0
Eugene Walter Dyker,Milwaukee Hawks,Frontcourt,American,1953.0
Derrick Joseph Chievous,"Houston Rockets, Cleveland Cavaliers",Frontcourt,American,1988.0
Rik Smits,Indiana Pacers,Frontcourt,Dutch,1988.0
Harry Junior 'The Horse' Gallatin,New York Knicks,Frontcourt,American,1947.0
James J. Brasco,Milwaukee Hawks,Frontcourt,American,1952.0
Darnell Hillman,Indiana Pacers,Frontcourt,American,1971.0
Kurt Vincent Thomas,New York Knicks,Frontcourt,American,1995.0
Kevin Durant,Phoenix Suns,Frontcourt,American,2007.0
Aaron Williams,New Orleans/Oklahoma City Hornets,Frontcourt,American,
Nathaniel Thomas Huffman,Maccabi Tel Aviv,Frontcourt,American,
Fred Boyd,New Orleans Jazz,Frontcourt,American,1972.0
William Bedford,Detroit Pistons,Frontcourt,American,1986.0
David Michineau,Bursaspor Basketbol,Frontcourt,French,2016.0
Elmer H. Behnke,Milwaukee Hawks,Frontcourt,American,1951.0
Lamar Brandon Stevens,Memphis Grizzlies,Frontcourt,American,
Erazem Lorbek,Not currently active,Frontcourt,Slovenian,2005.0
Hamidou Diallo,Capital City Go-Go,Frontcourt,American,
Donta Hall,AS Monaco,Frontcourt,Azerbaijan (naturalized),
William Severlyn Hewitt,"Los Angeles Lakers, Detroit Pistons, Buffalo Braves, Chicago Bulls",Frontcourt,American,0.0
Dino Rađa,Boston Celtics (briefly),Frontcourt,Croatian,1989.0
Konstantinos Papanikolaou,Olympiacos,Frontcourt,Greek,2012.0
Jabari Dominic Walker,Portland Trail Blazers,Frontcourt,American,2022.0
Devontae Cacok,Virtus Bologna,Frontcourt,American,2019.0
Demerick Montae 'Erick' Strickland,Milwaukee Bucks,Frontcourt,American,1996.0
Thomas James Copa,Saski Baskonia,Frontcourt,American,1987.0
Kermit Alan Washington,,Frontcourt,American,1973.0
Gregory Paul Fillmore,New York Knicks,Frontcourt,American,1970.0
David Lattin,,Frontcourt,American,1967.0
Garfield Smith,Boston Celtics,Frontcourt,American,1968.0
Jack Parr,Cincinnati Royals,Frontcourt,American,1958.0
DaMon William Davis,Philadelphia 76ers,Frontcourt,American,1980.0
Trayce Jackson-Davis,Golden State Warriors,Frontcourt,American,2023.0
Andre Drummond,Philadelphia 76ers,Frontcourt,American,2012.0
