city_name,state_name,team_name,name,college
boston,Massachusetts,Boston Celtics,Stanley M. Noszka,
boston,Massachusetts,Boston Celtics,Garfield Smith,
boston,Massachusetts,Boston Celtics,Jayson Christopher Tatum,Duke University
chicago,Illinois,Chicago Bulls,Trent Tucker,University of Minnesota
chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine,UCLA
cleveland,Ohio,Cleveland Cavaliers,Derrick Chievous,University of Missouri
dallas,Texas,Dallas Mavericks,Vernon Maxwell,University of Florida
houston,Texas,Houston Rockets,Brandan Keith Wright,University of North Carolina at Chapel Hill
indianapolis,Indiana,Indiana Pacers,Rik Smits,Marist College
los angeles,California,Los Angeles Lakers,Jay Vincent Jay Fletcher Vincent,Michigan State Spartans
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky
los angeles,California,Los Angeles Lakers,Philip Douglas Jackson,University of North Dakota
los angeles,California,Los Angeles Lakers,Magic Johnson,Michigan State
memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens,Penn State Nittany Lions
miami,Florida,Miami Heat,Kevin Wesley Love,UCLA
miami,Florida,Miami Heat,Tyler Christopher Herro,University of Kentucky
miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College, University of Michigan"
miami,Florida,Miami Heat,Jimmy Butler III,Marquette University
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA
milwaukee,Wisconsin,Milwaukee Bucks,Erick Strickland,University of Nebraska
new york city,New York,New York Knicks,"Kenneth ""Apple"" Green",Pan American University
new york city,New York,New York Knicks,Don Anielak,Southwest Missouri State University
philadelphia,Pennsylvania,Philadelphia 76ers,Drew Edward Gordon,UCLA
philadelphia,Pennsylvania,Philadelphia 76ers,Lavoy Allen,Temple University
philadelphia,Pennsylvania,Philadelphia 76ers,Andre Jamal Drummond,University of Connecticut
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Hans Embiid,University of Kansas
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,Fresno State
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack"
philadelphia,Pennsylvania,Philadelphia 76ers,Max Berning Fiedler,Rice Owls
philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Terrell Lowry,Villanova Wildcats
phoenix,Arizona,Phoenix Suns,Miles Julian Simon,University of Arizona
phoenix,Arizona,Phoenix Suns,Kevin Wayne Durant,University of Texas at Austin
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,Kentucky Wildcats
san antonio,Texas,San Antonio Spurs,Tim Duncan,Wake Forest University
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,
san antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga Bulldogs
san francisco,California,Golden State Warriors,Darnell Hillman,San Jose State University
san francisco,California,Golden State Warriors,Steve Kerr,University of Arizona
san francisco,California,Golden State Warriors,Kermit Washington,American University
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers
san francisco,California,Golden State Warriors,"Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,Kansas Jayhawks
san francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson
