name,draft_pick,college,team_name
andre jamal drummond,9.0,University of Connecticut,Philadelphia 76ers
andrew christian wiggins,1.0,Kansas Jayhawks,Golden State Warriors
anthony edwards,1.0,Georgia,Minnesota Timberwolves
ausar xlnc thompson,5.0,,Detroit Pistons
cade parker cunningham,1.0,Oklahoma State,Detroit Pistons
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs
d'angelo russell,2.0,Ohio State,Los Angeles Lakers
derek grimm,0.0,University of Missouri,Sacramento Kings
devin armani booker,13.0,Kentucky Wildcats,Phoenix Suns
draymond jamal green,35.0,Michigan State University,Golden State Warriors
giannis sina ugo antetokounmpo,15.0,,Milwaukee Bucks
harrison bryce jordan barnes,7.0,North Carolina Tar Heels,San Antonio Spurs
isiah thomas,2.0,Indiana Hoosiers,Detroit Pistons
jabari dominic walker,57.0,Colorado,Portland Trail Blazers
jaden edward dhananjay ivey,5.0,Purdue,Detroit Pistons
jalen marquis brunson,33.0,Villanova University,New York Knicks
jamal crawford,8.0,University of Michigan,Brooklyn Nets
jaylen marselles brown,3.0,"University of California, Berkeley",Boston Celtics
jayson christopher tatum,3.0,Duke University,Boston Celtics
jimmy butler,30.0,Marquette University,Miami Heat
joel hans embiid,3.0,University of Kansas,Philadelphia 76ers
jonathan malangu kuminga,7.0,,Golden State Warriors
jrue randall holiday,17.0,UCLA,Boston Celtics
kevin wesley love,5.0,UCLA,Miami Heat
kevon grant looney,30.0,UCLA,Golden State Warriors
kyle forman anderson,30.0,UCLA,Golden State Warriors
kyle terrell lowry,24.0,Villanova Wildcats,Philadelphia 76ers
kyrie andrew irving,1.0,Duke University,Dallas Mavericks
lebron raymone james,1.0,,Los Angeles Lakers
lonzo anderson ball,2.0,UCLA,Chicago Bulls
"ogugua ""og"" anunoby",23.0,Indiana University,New York Knicks
paul clifton anthony george,10.0,Fresno State,Philadelphia 76ers
trent tucker,6.0,University of Minnesota,Chicago Bulls
tyler christopher herro,13.0,University of Kentucky,Miami Heat
vernon maxwell,2.0,University of Florida,Dallas Mavericks
wardell stephen curry,7.0,Davidson,Golden State Warriors
zach collins,10.0,Gonzaga Bulldogs,San Antonio Spurs
zachary thomas lavine,13.0,UCLA,Chicago Bulls
