team_name,location,city_name,state_name,city.id,id,team.id
boston celtics,Boston,Boston,,,,
chicago bulls,Chicago,Chicago,,,,
denver nuggets,Denver,Denver,Colorado,,,
golden state warriors,San Francisco,San Francisco,,,,
houston rockets,Houston,Houston,,,,
indiana pacers,Indianapolis,Indianapolis,,,,
los angeles clippers,Los Angeles,Los Angeles,,,,
los angeles lakers,Los Angeles,Los Angeles,,,,
memphis grizzlies,Memphis,Memphis,,,,
miami heat,Miami,Miami,,,,
oklahoma city thunder,Oklahoma City,Oklahoma City,Oklahoma,,,
orlando magic,Orlando,Orlando,,,,
phoenix suns,Phoenix,Phoenix,Arizona,,,
san antonio spurs,San Antonio,San Antonio,,,,
toronto raptors,Toronto,Toronto,,,,
