name,team_name,city_name,state_name,city.id,id,player.id,team.id
austin tyler reaves,Los Angeles Lakers,Los Angeles,,,,,
christopher emmanuel paul,Phoenix Suns,Phoenix,Arizona,,,,
d'angelo russell,Los Angeles Lakers,Los Angeles,,,,,
devin armani booker,Phoenix Suns,Phoenix,Arizona,,,,
draymond jamal green,Golden State Warriors,San Francisco,,,,,
duncan mcbryde robinson,Miami Heat,Miami,,,,,
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,,,,,
jaylen marselles brown,Boston Celtics,Boston,,,,,
jayson christopher tatum,Boston Celtics,Boston,,,,,
jimmy butler,Miami Heat,Miami,,,,,
jonathan malangu kuminga,Golden State Warriors,San Francisco,,,,,
kermit washington,Los Angeles Lakers,Los Angeles,,,,,
kevin wesley love,Miami Heat,Miami,,,,,
kobe bean bryant,Lakers,Los Angeles,,,,,
kyle forman anderson,Golden State Warriors,San Francisco,,,,,
kyle terrell lowry,Miami Heat,Miami,,,,,
lamar brandon stevens,Memphis Grizzlies,Memphis,,,,,
paul clifton anthony george,Indiana Pacers,Indianapolis,,,,,
rik smits,Indiana Pacers,Indianapolis,,,,,
steve kerr,Golden State Warriors,San Francisco,,,,,
tim duncan,San Antonio Spurs,San Antonio,,,,,
tyler christopher herro,Miami Heat,Miami,,,,,
vernon maxwell,Houston Rockets,Houston,,,,,
wardell stephen curry,Golden State Warriors,San Francisco,,,,,
zach collins,San Antonio Spurs,San Antonio,,,,,
zachary thomas lavine,Chicago Bulls,Chicago,,,,,
