name,position,city_name,population,city.id,id,player.id,team.id
austin tyler reaves,,Los Angeles,3979576.0,,,,
d'angelo russell,Point guard,Los Angeles,3979576.0,,,,
devin armani booker,Sophomore guard,Phoenix,48118.0,,,,
duncan mcbryde robinson,,Miami,442241.0,,,,
jaylen marselles brown,,Boston,691531.0,,,,
jayson christopher tatum,,Boston,691531.0,,,,
jonathan malangu kuminga,,San Francisco,808988.0,,,,
kyle forman anderson,,San Francisco,808988.0,,,,
lamar brandon stevens,,Memphis,71000.0,,,,
tyler christopher herro,Shooting guard,Miami,442241.0,,,,
zachary thomas lavine,Point guard,Chicago,501700000.0,,,,
