name,college,team_name,gdp,city.id,id,player.id,team.id
christopher emmanuel paul,Wake Forest University,Phoenix Suns,36200000000.0,,,,
d'angelo russell,Ohio State Buckeyes,Los Angeles Lakers,1000000.0,,,,
devin armani booker,Kentucky,Phoenix Suns,36200000000.0,,,,
draymond jamal green,Michigan State University,Golden State Warriors,375862.0,,,,
giannis sina ugo antetokounmpo,,Bucks,"{""value"": ""over $102\u00a0billion in 2020"", ""span"": ""with a regional GDP of over $102\u00a0billion in 2020""}",,,,
harrison bryce jordan barnes,University of North Carolina,Sacramento Kings,,,,,
jalen marquis brunson,Villanova,Dallas Mavericks,,,,,
jaylen marselles brown,California,Boston Celtics,,,,,
jayson christopher tatum,Duke University,Boston Celtics,,,,,
jimmy butler,Marquette University,Miami Heat,344900000000.0,,,,
joel hans embiid,Kansas Jayhawks,Philadelphia 76ers,US$518.5 billion,,,,
jonathan malangu kuminga,,Golden State Warriors,375862.0,,,,
jrue randall holiday,UCLA,Philadelphia 76ers,US$518.5 billion,,,,
kevin wesley love,UCLA,Miami Heat,344900000000.0,,,,
kyle forman anderson,UCLA Bruins,Golden State Warriors,375862.0,,,,
kyle terrell lowry,Villanova,Miami Heat,344900000000.0,,,,
kyrie andrew irving,Boston University,Brooklyn Nets,,,,,
lebron raymone james,,Cleveland Cavaliers,,,,,
lonzo anderson ball,UCLA Bruins,Pelicans,,,,,
"ogugua ""og"" anunoby",Indiana University,New York Knicks,,,,,
paul clifton anthony george,Fresno State Bulldogs,Indiana Pacers,184400000000.0,,,,
trent tucker,University of Minnesota,New York Knicks,,,,,
tyler christopher herro,University of Kentucky,Miami Heat,344900000000.0,,,,
vernon maxwell,University of Florida,Houston Rockets,633000000000.0,,,,
wardell stephen curry,Davidson College,Golden State Warriors,375862.0,,,,
zach collins,Gonzaga,San Antonio Spurs,12100000000.0,,,,
zachary thomas lavine,UCLA Bruins,Chicago Bulls,13700000000.0,,,,
