name,birth_date,team_name,area,city.id,id,player.id,team.id
anthony marshon davis,"March 11, 1993",Pelicans,350 square miles (910 km2),,,,
austin tyler reaves,"May 29, 1998",Los Angeles Lakers,502.7,,,,
christopher emmanuel paul,,Phoenix Suns,517.9,,,,
d'angelo russell,"February 23, 1996",Los Angeles Lakers,502.7,,,,
devin armani booker,,Phoenix Suns,517.9,,,,
draymond jamal green,,Golden State Warriors,232.0,,,,
eric johnson jones,,Utah Jazz,350 square miles (910 km2),,,,
harrison bryce jordan barnes,"May 30, 1992",San Antonio Spurs,465.4,,,,
jaylen marselles brown,,Boston Celtics,4.8,,,,
jayson christopher tatum,"March 3, 1998",Boston Celtics,4.8,,,,
jonathan malangu kuminga,,Golden State Warriors,232.0,,,,
jrue randall holiday,"June 12, 1990",Philadelphia 76ers,142.71 square miles (369.62 km2),,,,
kermit washington,"September 17, 1951",Los Angeles Lakers,502.7,,,,
kobe bean bryant,,Lakers,502.7,,,,
kyle forman anderson,"September 20, 1993",Golden State Warriors,232.0,,,,
rik smits,,Indiana Pacers,367.9,,,,
steve kerr,,Golden State Warriors,232.0,,,,
tim duncan,,San Antonio Spurs,465.4,,,,
vernon maxwell,"September 12, 1965",Houston Rockets,637.4,,,,
wardell stephen curry,1988,Golden State Warriors,232.0,,,,
zach collins,"November 19, 1997",San Antonio Spurs,465.4,,,,
