city_name,state_name,team_name,name
Boston,Massachusetts,Boston Celtics,Alfred Joel Horford Reynoso
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball
Dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving
Detroit,Michigan,Detroit Pistons,Ausar XLNC Thompson
San Francisco,California,Golden State Warriors,Jonathan Malangu Kuminga
Houston,Texas,Houston Rockets,Brandan Keith Wright
Los Angeles,California,Los Angeles Lakers,Austin Tyler Reaves
Memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens
Miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo"
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards
New York City,New York,New York Knicks,Jalen Marquis Brunson
Philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Terrell Lowry
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker
Portland,Oregon,Portland Trail Blazers,Jabari Dominic Walker
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
Boston,Massachusetts,Boston Celtics,Jrue Randall Holiday
Chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine
Detroit,Michigan,Detroit Pistons,Jaden Edward Dhananjay Ivey
San Francisco,California,Golden State Warriors,Draymond Jamal Green
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell
Miami,Florida,Miami Heat,Jaime Jaquez Jr.
New York City,New York,New York Knicks,"Ogugua ""OG"" Anunoby Jr."
Philadelphia,Pennsylvania,Philadelphia 76ers,Max Berning Fiedler
Phoenix,Arizona,Phoenix Suns,Kevin Wayne Durant
San Antonio,Texas,San Antonio Spurs,Zach Collins
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown
Detroit,Michigan,Detroit Pistons,Cade Parker Cunningham
San Francisco,California,Golden State Warriors,Kevon Grant Looney
Los Angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.
Miami,Florida,Miami Heat,Jimmy Butler III
Philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama
Boston,Massachusetts,Boston Celtics,Jayson Christopher Tatum
San Francisco,California,Golden State Warriors,Kyle Forman Anderson
Miami,Florida,Miami Heat,Duncan McBryde Robinson
Philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George
San Francisco,California,Golden State Warriors,Wardell Stephen Curry II
Miami,Florida,Miami Heat,Tyler Christopher Herro
Philadelphia,Pennsylvania,Philadelphia 76ers,Joel Hans Embiid
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins
Miami,Florida,Miami Heat,Kevin Wesley Love
Philadelphia,Pennsylvania,Philadelphia 76ers,Andre Jamal Drummond
San Francisco,California,Golden State Warriors,"Chavano Rainer ""Buddy"" Hield"
Philadelphia,Pennsylvania,Philadelphia 76ers,Lavoy Allen
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis
Philadelphia,Pennsylvania,Philadelphia 76ers,Drew Edward Gordon
