city_name,state_name,team_name,name
boston,Massachusetts,Boston Celtics,Alfred Joel Horford Reynoso
boston,Massachusetts,Boston Celtics,Jrue Randall Holiday
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball
dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving
los angeles,California,Los Angeles Lakers,Austin Tyler Reaves
los angeles,California,Los Angeles Lakers,D'Angelo Russell
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.
memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens
miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo"
miami,Florida,Miami Heat,Jaime Jaquez Jr.
miami,Florida,Miami Heat,Jimmy Butler III
miami,Florida,Miami Heat,Duncan McBryde Robinson
miami,Florida,Miami Heat,Tyler Christopher Herro
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo
new york city,New York,New York Knicks,Jalen Marquis Brunson
philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Terrell Lowry
philadelphia,Pennsylvania,Philadelphia 76ers,Max Berning Fiedler
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Hans Embiid
philadelphia,Pennsylvania,Philadelphia 76ers,Andre Jamal Drummond
philadelphia,Pennsylvania,Philadelphia 76ers,Lavoy Allen
philadelphia,Pennsylvania,Philadelphia 76ers,Drew Edward Gordon
phoenix,Arizona,Phoenix Suns,Devin Armani Booker
phoenix,Arizona,Phoenix Suns,Kevin Wayne Durant
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
san antonio,Texas,San Antonio Spurs,Zach Collins
san francisco,California,Golden State Warriors,Jonathan Malangu Kuminga
san francisco,California,Golden State Warriors,Draymond Jamal Green
san francisco,California,Golden State Warriors,Kevon Grant Looney
san francisco,California,Golden State Warriors,Kyle Forman Anderson
san francisco,California,Golden State Warriors,Wardell Stephen Curry II
san francisco,California,Golden State Warriors,Andrew Christian Wiggins
