city_name,state_name,team_name,name,city.id,id,player.id,team.id
boston,,Boston Celtics,Jayson Tatum,,,,
boston,,Boston Celtics,Jaylen Brown,,,,
boston,,Boston Celtics,Dino Rađa,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,,,,
dallas,Texas,Dallas Mavericks,Jalen Brunson,,,,
los angeles,California,Los Angeles Lakers,D'Angelo Russell,,,,
los angeles,California,Los Angeles Lakers,Austin Tyler Reaves,,,,
los angeles,California,Lakers,Bryant,,,,
memphis,Tennessee,Memphis Grizzlies,Lamar Stevens,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,,,,
miami,Florida,Miami Heat,Jimmy Butler,,,,
miami,Florida,Miami Heat,Kyle Lowry,,,,
miami,Florida,Miami Heat,Tyler Herro,,,,
miami,Florida,Miami Heat,Kevin Love,,,,
milwaukee,,Bucks,Giannis Antetokounmpo,,,,
new york city,,New York Knicks,OG Anunoby,,,,
philadelphia,,Philadelphia 76ers,Jrue Holiday,,,,
philadelphia,,Philadelphia 76ers,Jrue Holiday,,,,
philadelphia,,Philadelphia 76ers,Jrue Holiday,,,,
philadelphia,,Philadelphia 76ers,Al Horford,,,,
philadelphia,,Philadelphia 76ers,Al Horford,,,,
philadelphia,,Philadelphia 76ers,Al Horford,,,,
philadelphia,,Philadelphia 76ers,Drew Gordon,,,,
philadelphia,,Philadelphia 76ers,Drew Gordon,,,,
phoenix,Arizona,Phoenix Suns,Chris Paul,,,,
phoenix,Arizona,Phoenix Suns,Devin Booker,,,,
san antonio,Texas,San Antonio Spurs,Tim Duncan,,,,
san antonio,Texas,San Antonio Spurs,Maxwell,,,,
san francisco,California,Golden State Warriors,Kyle Forman Anderson,,,,
san francisco,California,Golden State Warriors,Draymond Jamal Green,,,,
san francisco,California,Golden State Warriors,Stephen Curry,,,,
san francisco,California,Golden State Warriors,Jonathan Malangu Kuminga,,,,
san francisco,California,Golden State Warriors,Steve Kerr,,,,
san francisco,California,Golden State Warriors,Shaun Livingston,,,,
