name,nationality,age,team_name,location
Paul George,American,32.5,Indiana Pacers,Indianapolis
Duncan McBryde Robinson,,32.0,Miami Heat,Miami
Jayson Tatum,American,29.0,Boston Celtics,Boston
Chris Paul,American  ,38.0,Phoenix Suns,Phoenix
Harrison Barnes,,,Sacramento Kings,Cincinnati
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minnesota
Jalen Brunson,American,29.0,Dallas Mavericks,Dallas
Jrue Holiday,,,Philadelphia 76ers,Philadelphia
Kyrie Irving,American and Australian,31.0,Brooklyn Nets,Brooklyn
Steve Smith,,32.5,Portland Trail Blazers,"Portland, Oregon"
Zach LaVine,,28.0,Chicago Bulls,Chicago
Kyle Forman Anderson,American-Chinese  ,29.5,Golden State Warriors,San Francisco
D'Angelo Russell,American,25.0,Los Angeles Lakers,Los Angeles
Al Horford,Dominican  ,36.0,Philadelphia 76ers,Philadelphia
Jimmy Butler,American,34.0,Miami Heat,Miami
Michael Jordan,American,40.0,Chicago Bulls,Chicago
Devin Booker,American,28.0,Phoenix Suns,Phoenix
Tim Duncan,,26.0,San Antonio Spurs,San Antonio
Draymond Jamal Green,American,25.0,Golden State Warriors,San Francisco
Jaylen Brown,African-American,27.0,Boston Celtics,Boston
Stephen Curry,American,34.0,Golden State Warriors,San Francisco
Isiah Thomas,American,61.0,Detroit Pistons,Fort Wayne
Andre Drummond,American  ,27.839285714285715,Detroit Pistons,Fort Wayne
Kyle Lowry,,32.5,Miami Heat,Miami
Austin Tyler Reaves,American,25.0,Los Angeles Lakers,Los Angeles
Jonathan Malangu Kuminga,Congolese,21.958333333333336,Golden State Warriors,San Francisco
Joel Embiid,Cameroonian-American,31.0,Philadelphia 76ers,Philadelphia
Tyler Herro,,21.0,Miami Heat,Miami
Kevin Love,American  ,32.0,Miami Heat,Miami
Dennis Schröder,,,Atlanta Hawks,Atlanta
Dino Rađa,Croatian,22.0,Boston Celtics,Boston
Steve Kerr,American,38.5,Golden State Warriors,San Francisco
Andrew Wiggins,Canadian,23.58,Minnesota Timberwolves,Minnesota
Kermit Washington,American,43.5,Los Angeles Lakers,Los Angeles
Dwayne Schintzius,American  ,1968.0,San Antonio Spurs,San Antonio
Derek Grimm,American,,Sacramento Kings,Cincinnati
Rik Smits,Dutch  ,,Indiana Pacers,Indianapolis
Jaden Ivey,American,,Detroit Pistons,Fort Wayne
Aaron Jamal Crawford,American,39.0,Phoenix Suns,Phoenix
Devontae Calvin Cacok,,,Los Angeles Lakers,Los Angeles
Max Berning Fiedler,American,23.0,Philadelphia 76ers,Philadelphia
Eric Johnson,American-Spanish,56.0,Utah Jazz,New Orleans
