city_name,state_name,team_name,name,college
Indianapolis,Indiana,Indiana Pacers,Paul George,Fresno State Bulldogs
Miami,Florida,Miami Heat,Duncan McBryde Robinson,Williams College
Boston,,Boston Celtics,Jayson Tatum,Duke University
Phoenix,Arizona,Phoenix Suns,Chris Paul,Wake Forest University
Houston,Texas,Houston Rockets,Vernon Maxwell,University of Florida
Dallas,Texas,Dallas Mavericks,Jalen Brunson,Villanova
Philadelphia,,Philadelphia 76ers,Jrue Holiday,UCLA
Philadelphia,,Philadelphia 76ers,Jrue Holiday,UCLA
Philadelphia,,Philadelphia 76ers,Jrue Holiday,UCLA
Brooklyn,,Brooklyn Nets,Kyrie Irving,Boston University
Chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA Bruins
New Orleans,Louisiana,Pelicans,Anthony Marshon Davis Jr.,Kentucky
San Francisco,California,Golden State Warriors,Kyle Forman Anderson,UCLA Bruins
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State Buckeyes
Philadelphia,,Philadelphia 76ers,Al Horford,University of Florida
Philadelphia,,Philadelphia 76ers,Al Horford,University of Florida
Philadelphia,,Philadelphia 76ers,Al Horford,University of Florida
Miami,Florida,Miami Heat,Jimmy Butler,Marquette University
Chicago,Illinois,Chicago Bulls,Michael Jordan,University of North Carolina at Chapel Hill
Phoenix,Arizona,Phoenix Suns,Devin Booker,Kentucky
Philadelphia,,Philadelphia 76ers,Drew Gordon,UCLA
Philadelphia,,Philadelphia 76ers,Drew Gordon,UCLA
Philadelphia,,Philadelphia 76ers,Drew Gordon,UCLA
Charlotte,North Carolina,Charlotte Hornets,Caleb Martin,NC State Wolfpack and the Nevada Wolf Pack
San Antonio,Texas,San Antonio Spurs,Tim Duncan,
San Francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State University
Boston,,Boston Celtics,Jaylen Brown,"University of California, Berkeley"
San Francisco,California,Golden State Warriors,Stephen Curry,Davidson College
New York,,New York Knicks,Trent Tucker,University of Minnesota
Miami,Florida,Miami Heat,Kyle Lowry,Villanova
Los Angeles,California,Los Angeles Lakers,Austin Tyler Reaves,Wichita State  
San Francisco,California,Golden State Warriors,Jonathan Malangu Kuminga,
Philadelphia,,Philadelphia 76ers,Joel Embiid,Kansas Jayhawks
Philadelphia,,Philadelphia 76ers,Joel Embiid,Kansas Jayhawks
Philadelphia,,Philadelphia 76ers,Joel Embiid,Kansas Jayhawks
New Orleans,Louisiana,Pelicans,Lonzo Ball,UCLA Bruins
Miami,Florida,Miami Heat,Tyler Herro,University of Kentucky
Miami,Florida,Miami Heat,Kevin Love,UCLA
Philadelphia,,Philadelphia 76ers,Fred Boyd,Oregon State University
Philadelphia,,Philadelphia 76ers,Fred Boyd,Oregon State University
Philadelphia,,Philadelphia 76ers,Fred Boyd,Oregon State University
Atlanta,Georgia,Atlanta Hawks,Dennis Schröder,
Boston,,Boston Celtics,Dino Rađa,
San Francisco,California,Golden State Warriors,Steve Kerr,Arizona Wildcats
Los Angeles,California,Los Angeles Lakers,Kermit Washington,American University
San Antonio,Texas,San Antonio Spurs,Dwayne Schintzius,University of Florida
Phoenix,Arizona,Phoenix Suns,Aaron Jamal Crawford,University of Michigan
New York,,New York Knicks,OG Anunoby,Indiana University
Cincinnati,,Sacramento Kings,Buddy Hield,Oklahoma Sooners
Philadelphia,,Philadelphia 76ers,Max Berning Fiedler,Rice
Philadelphia,,Philadelphia 76ers,Max Berning Fiedler,Rice
Philadelphia,,Philadelphia 76ers,Max Berning Fiedler,Rice
New Orleans,Louisiana,Utah Jazz,Eric Johnson,
Los Angeles,California,Lakers,Bryant,
Cleveland,Ohio,Cavaliers,James,
Brooklyn,,Cleveland Cavaliers,LeBron James,
Milwaukee,,Bucks,Giannis Antetokounmpo,
Memphis,Tennessee,Memphis Grizzlies,Lamar Stevens,
Philadelphia,,Philadelphia 76ers,Max Fiedler,Rice
Philadelphia,,Philadelphia 76ers,Max Fiedler,Rice
Philadelphia,,Philadelphia 76ers,Max Fiedler,Rice
Cincinnati,,Cincinnati Royals,Jack Parr,
New Orleans,Louisiana,Utah Jazz,Eric Johnson Jones,
San Francisco,California,Golden State Warriors,Kuminga,
San Francisco,California,Golden State Warriors,Shaun Livingston,
San Antonio,Texas,San Antonio Spurs,Maxwell,
