name,draft_pick,college,team_name
Paul George,10,Fresno State Bulldogs,Indiana Pacers
Jayson Tatum,No. 3 overall,Duke University,Boston Celtics
Chris Paul,2005 NBA Draft,Wake Forest University,Phoenix Suns
Harrison Barnes,7th,University of North Carolina,Sacramento Kings
Vernon Maxwell,second round of the 1988 NBA draft,University of Florida,Houston Rockets
Anthony Edwards,first overall pick,University of Georgia,Minnesota Timberwolves
Jalen Brunson,33,Villanova,Dallas Mavericks
Jrue Holiday,17,UCLA,Philadelphia 76ers
Jrue Holiday,17,UCLA,Philadelphia 76ers
Zach LaVine,13,UCLA Bruins,Chicago Bulls
Kyle Forman Anderson,30,UCLA Bruins,Golden State Warriors
D'Angelo Russell,27,Ohio State Buckeyes,Los Angeles Lakers
Jimmy Butler,30,Marquette University,Miami Heat
Michael Jordan,30,University of North Carolina at Chapel Hill,Chicago Bulls
Devin Booker,13th pick,Kentucky,Phoenix Suns
Draymond Jamal Green,35,Michigan State University,Golden State Warriors
Stephen Curry,17th overall by the Philadelphia 76ers in the 2009 NBA draft,Davidson College,Golden State Warriors
Trent Tucker,6th overall pick of the 1982 NBA draft,University of Minnesota,New York Knicks
Isiah Thomas,4th round (35th pick overall) of the 1951 NBA draft,Indiana University,Detroit Pistons
Andre Drummond,first round of the 2012 NBA draft with the ninth overall pick,University of Connecticut,Detroit Pistons
Kevon Looney,30,UCLA  ,Warriors
Kyle Lowry,24th overall pick,Villanova,Miami Heat
Cade Cunningham,first overall by the Pistons,Oklahoma State,Detroit Pistons
Joel Embiid,third overall by the 76ers in the 2014 NBA draft,Kansas Jayhawks,Philadelphia 76ers
Joel Embiid,third overall by the 76ers in the 2014 NBA draft,Kansas Jayhawks,Philadelphia 76ers
Lonzo Ball,second overall pick of the 2017 NBA draft,UCLA Bruins,Pelicans
Tyler Herro,13,University of Kentucky,Miami Heat
Kevin Love,fifth overall by the Memphis Grizzlies,UCLA,Miami Heat
Fred Boyd,5th pick overall,Oregon State University,Philadelphia 76ers
Fred Boyd,5th pick overall,Oregon State University,Philadelphia 76ers
Dennis Schröder,17,,Atlanta Hawks
Dino Rađa,40,,Boston Celtics
Mark Radford,53rd overall,Oregon State University,Seattle SuperSonics
Andrew Wiggins,first overall pick in the 2014 NBA draft by the Cleveland Cavaliers,University of Kansas,Minnesota Timberwolves
Dwayne Schintzius,24,University of Florida,San Antonio Spurs
Derek Grimm,50th overall in the 1997 CBA Draft,University of Missouri,Sacramento Kings
