city_name,state_name,team_name,name
Indianapolis,Indiana,Indiana Pacers,Paul George
Miami,Florida,Miami Heat,Duncan McBryde Robinson
Boston,,Boston Celtics,Jayson Tatum
Phoenix,Arizona,Phoenix Suns,Chris Paul
Dallas,Texas,Dallas Mavericks,Jalen Brunson
Philadelphia,,Philadelphia 76ers,Jrue Holiday
Philadelphia,,Philadelphia 76ers,Jrue Holiday
Philadelphia,,Philadelphia 76ers,Jrue Holiday
Brooklyn,,Brooklyn Nets,Kyrie Irving
Chicago,Illinois,Chicago Bulls,Zach LaVine
New Orleans,Louisiana,Pelicans,Anthony Marshon Davis Jr.
San Francisco,California,Golden State Warriors,Kyle Forman Anderson
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell
Philadelphia,,Philadelphia 76ers,Al Horford
Philadelphia,,Philadelphia 76ers,Al Horford
Philadelphia,,Philadelphia 76ers,Al Horford
Miami,Florida,Miami Heat,Jimmy Butler
Phoenix,Arizona,Phoenix Suns,Devin Booker
Philadelphia,,Philadelphia 76ers,Drew Gordon
Philadelphia,,Philadelphia 76ers,Drew Gordon
Philadelphia,,Philadelphia 76ers,Drew Gordon
Charlotte,North Carolina,Charlotte Hornets,Caleb Martin
San Antonio,Texas,San Antonio Spurs,Tim Duncan
San Francisco,California,Golden State Warriors,Draymond Jamal Green
Boston,,Boston Celtics,Jaylen Brown
San Francisco,California,Golden State Warriors,Stephen Curry
Miami,Florida,Miami Heat,Kyle Lowry
Los Angeles,California,Los Angeles Lakers,Austin Tyler Reaves
San Francisco,California,Golden State Warriors,Jonathan Malangu Kuminga
Philadelphia,,Philadelphia 76ers,Joel Embiid
Philadelphia,,Philadelphia 76ers,Joel Embiid
Philadelphia,,Philadelphia 76ers,Joel Embiid
New Orleans,Louisiana,Pelicans,Lonzo Ball
Miami,Florida,Miami Heat,Tyler Herro
Miami,Florida,Miami Heat,Kevin Love
Atlanta,Georgia,Atlanta Hawks,Dennis Schröder
Boston,,Boston Celtics,Dino Rađa
San Francisco,California,Golden State Warriors,Steve Kerr
Phoenix,Arizona,Phoenix Suns,Aaron Jamal Crawford
New York,,New York Knicks,OG Anunoby
Cincinnati,,Sacramento Kings,Buddy Hield
Philadelphia,,Philadelphia 76ers,Max Berning Fiedler
Philadelphia,,Philadelphia 76ers,Max Berning Fiedler
Philadelphia,,Philadelphia 76ers,Max Berning Fiedler
Los Angeles,California,Lakers,Bryant
Brooklyn,,Cleveland Cavaliers,LeBron James
Milwaukee,,Bucks,Giannis Antetokounmpo
Memphis,Tennessee,Memphis Grizzlies,Lamar Stevens
Philadelphia,,Philadelphia 76ers,Max Fiedler
Philadelphia,,Philadelphia 76ers,Max Fiedler
Philadelphia,,Philadelphia 76ers,Max Fiedler
San Francisco,California,Golden State Warriors,Shaun Livingston
San Antonio,Texas,San Antonio Spurs,Maxwell
