name,position,team_name,founded_year
andre jamal drummond,Frontcourt,Philadelphia 76ers,1946
christopher emmanuel paul,Backcourt,San Antonio Spurs,1967
devin armani booker,Backcourt,Phoenix Suns,1968
duncan mcbryde robinson,,Miami Heat,1988
eric johnson jones,,Utah Jazz,1974
isiah thomas,Backcourt,Detroit Pistons,1937
jalen marquis brunson,,New York Knicks,1946
jamal crawford,,Brooklyn Nets,1967
jaylen marselles brown,Backcourt,Boston Celtics,1946
jayson christopher tatum,,Boston Celtics,1946
jimmy butler,,Miami Heat,1988
joel hans embiid,,Philadelphia 76ers,1946
kermit washington,Frontcourt,Golden State Warriors,1946
kevin wesley love,,Miami Heat,1988
kyle forman anderson,,Golden State Warriors,1946
kyle terrell lowry,Backcourt,Philadelphia 76ers,1946
kyrie andrew irving,,Dallas Mavericks,1980
paul clifton anthony george,,Philadelphia 76ers,1946
steve kerr,Frontcourt,Golden State Warriors,1946
tim duncan,Frontcourt,San Antonio Spurs,1967
wardell stephen curry,Backcourt,Golden State Warriors,1946
zachary thomas lavine,,Chicago Bulls,1966
