name,position,city_name,population,city.id,id,player.id,team.id
anthony marshon davis,power forward and center,Los Angeles,3792621.0,,,,
caleb martin,small forward,Philadelphia,1603797.0,,,,
devin armani booker,Backcourt,Phoenix,1608139.0,,,,
duncan mcbryde robinson,Backcourt,Miami,442241.0,,,,
giannis sina ugo antetokounmpo,Backcourt,Milwaukee,577222.0,,,,
harrison bryce jordan barnes,Backcourt,San Antonio,1434625.0,,,,
jaime jaquez,,Miami,442241.0,,,,
jalen marquis brunson,,New York,8258035.0,,,,
kyrie andrew irving,Backcourt,Dallas,,,,,
lamar brandon stevens,,Memphis,633104.0,,,,
max berning fiedler,,Philadelphia,1603797.0,,,,
victor wembanyama,,San Antonio,1434625.0,,,,
