city_name,state_name,team_name,name
dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving
los angeles,California,Los Angeles Lakers,Austin Tyler Reaves
los angeles,California,Los Angeles Lakers,D'Angelo Russell
memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens
miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo"
miami,Florida,Miami Heat,Jaime Jaquez Jr.
miami,Florida,Miami Heat,Jimmy Butler III
miami,Florida,Miami Heat,Duncan McBryde Robinson
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo
new york city,New York,New York Knicks,Jalen Marquis Brunson
new york city,New York,New York Knicks,"Ogugua ""OG"" Anunoby Jr."
philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Terrell Lowry
philadelphia,Pennsylvania,Philadelphia 76ers,Max Berning Fiedler
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Hans Embiid
philadelphia,Pennsylvania,Philadelphia 76ers,Andre Jamal Drummond
philadelphia,Pennsylvania,Philadelphia 76ers,Lavoy Allen
philadelphia,Pennsylvania,Philadelphia 76ers,Drew Edward Gordon
phoenix,Arizona,Phoenix Suns,Devin Armani Booker
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
san antonio,Texas,San Antonio Spurs,Zach Collins
san antonio,Texas,San Antonio Spurs,Victor Wembanyama
