city_name,state_name,team_name,name,college
Philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,Fresno State
Philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,Fresno State
Dallas,Texas,Dallas Mavericks,Kyrie Irving,Duke University  
Philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack"
Philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack"
Philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,Rice Owls
Philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,Rice Owls
Miami,Florida,Miami Heat,Kevin Love,UCLA 
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,
Miami,Florida,Miami Heat,Duncan McBryde Robinson,University of Michigan
Miami,Florida,Miami Heat,Jimmy Butler,Marquette University
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker,Kentucky Wildcats
New York,New York,New York Knicks,Jalen Marquis Brunson,Villanova University
San Antonio,Texas,San Antonio Spurs,Chris Paul,Wake Forest University
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,University of North Carolina at Chapel Hill
New York,New York,New York Knicks,Kenneth 'Apple' Green,
Los Angeles,California,Los Angeles Lakers,Earvin Johnson,
New York,New York,New York Knicks,Kelvin Trent Tucker,University of Minnesota
Miami,Florida,Miami Heat,Kurt Vincent Thomas,Texas Christian University
Memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens,Penn State Nittany Lions
New York,New York,New York Knicks,Gregory Paul Fillmore,Cheyney University of Pennsylvania
Philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,
Philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,
Boston,Massachusetts,Celtics,Jayson Tatum,
Detroit,Michigan,Detroit Pistons,Jaden Ivey,Purdue Boilermakers
Miami,Florida,Miami Heat,Tyler Herro,Kentucky
Los Angeles,California,Lakers,LeBron James,
Los Angeles,California,Los Angeles Lakers,LeBron Raymone James Sr.,
Los Angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky Wildcats
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo,
San Antonio,Texas,San Antonio Spurs,Harrison Barnes,
Miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins
San Antonio,Texas,Spurs,Duncan,
Detroit,Michigan,Detroit Pistons,Ausar XLNC Thompson,
Denver,Colorado,Denver Nuggets,Nikola Jokić,
