name,position,city_name,population
Paul Clifton Anthony George,,Philadelphia,1603797.0
Kyrie Irving,Backcourt,Dallas,
Caleb Martin,small forward,Philadelphia,1603797.0
Max Fiedler,,Philadelphia,1603797.0
Victor Wembanyama,,San Antonio,1434625.0
Giannis Antetokounmpo,Backcourt,Milwaukee,577222.0
Duncan McBryde Robinson,Backcourt,Miami,442241.0
Jimmy Butler,,Miami,442241.0
Devin Armani Booker,Backcourt,Phoenix,1608139.0
Jalen Marquis Brunson,,New York,8258035.0
Harrison Bryce Jordan Barnes,Backcourt,San Antonio,1434625.0
Kenneth 'Apple' Green,,New York,8258035.0
Earvin Johnson,Backcourt,Los Angeles,3792621.0
Kelvin Trent Tucker,Shooting guard,New York,8258035.0
Lamar Brandon Stevens,,Memphis,633104.0
Gregory Paul Fillmore,center,New York,8258035.0
Anthony Marshon Davis Jr.,power forward and center,Los Angeles,3792621.0
Jaime Jaquez Jr.,,Miami,442241.0
