name,team_name,city_name,state_name
aaron williams,Los Angeles Clippers,Los Angeles,California
andrew christian wiggins,Golden State Warriors,San Francisco,California
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota
anthony marshon davis,Los Angeles Lakers,Los Angeles,California
austin tyler reaves,Los Angeles Lakers,Los Angeles,California
brandan keith wright,Houston Rockets,Houston,Texas
caleb martin,Philadelphia 76ers,Philadelphia,Pennsylvania
"chavano rainer ""buddy"" hield",Golden State Warriors,San Francisco,California
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas
d'angelo russell,Los Angeles Lakers,Los Angeles,California
darnell hillman,Golden State Warriors,San Francisco,California
derrick chievous,Cleveland Cavaliers,Cleveland,Ohio
devin armani booker,Phoenix Suns,Phoenix,Arizona
draymond jamal green,Golden State Warriors,San Francisco,California
drew edward gordon,Philadelphia 76ers,Philadelphia,Pennsylvania
duncan mcbryde robinson,Miami Heat,Miami,Florida
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida
eric johnson jones,Utah Jazz,Salt Lake City,Utah
erick strickland,Milwaukee Bucks,Milwaukee,Wisconsin
garfield smith,Boston Celtics,Boston,Massachusetts
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas
jaime jaquez,Miami Heat,Miami,Florida
jay vincent jay fletcher vincent,Los Angeles Lakers,Los Angeles,California
jaylen marselles brown,Boston Celtics,Boston,Massachusetts
jayson christopher tatum,Boston Celtics,Boston,Massachusetts
jimmy butler,Miami Heat,Miami,Florida
joel hans embiid,Philadelphia 76ers,Philadelphia,Pennsylvania
john harding lucas,Houston Rockets,Houston,Texas
jonathan malangu kuminga,Golden State Warriors,San Francisco,California
jrue randall holiday,Boston Celtics,Boston,Massachusetts
kermit washington,Golden State Warriors,San Francisco,California
kevin wayne durant,Phoenix Suns,Phoenix,Arizona
kevin wesley love,Miami Heat,Miami,Florida
kevon grant looney,Golden State Warriors,San Francisco,California
kobe bean bryant,Los Angeles Lakers,Los Angeles,California
kurt thomas,New York Knicks,New York City,New York
kyle forman anderson,Golden State Warriors,San Francisco,California
kyle terrell lowry,Philadelphia 76ers,Philadelphia,Pennsylvania
kyrie andrew irving,Dallas Mavericks,Dallas,Texas
lebron raymone james,Los Angeles Lakers,Los Angeles,California
lonzo anderson ball,Chicago Bulls,Chicago,Illinois
magic johnson,Los Angeles Lakers,Los Angeles,California
paul clifton anthony george,Philadelphia 76ers,Philadelphia,Pennsylvania
rik smits,Indiana Pacers,Indianapolis,Indiana
shaquille rashaun o'neal,Boston Celtics,Boston,Massachusetts
tim duncan,San Antonio Spurs,San Antonio,Texas
trayce jackson-davis,Golden State Warriors,San Francisco,California
trent tucker,Chicago Bulls,Chicago,Illinois
tyler christopher herro,Miami Heat,Miami,Florida
vernon maxwell,Dallas Mavericks,Dallas,Texas
victor wembanyama,San Antonio Spurs,San Antonio,Texas
wardell stephen curry,Golden State Warriors,San Francisco,California
zach collins,San Antonio Spurs,San Antonio,Texas
zachary thomas lavine,Chicago Bulls,Chicago,Illinois
