name,nationality,age,team_name,location
Buddy Hield Chavano Rainer 'Buddy' Hield,Bahamian,24.0,Golden State Warriors,San Francisco
D'Angelo Russell D'Angelo Russell,American,27.0,Los Angeles Lakers,Los Angeles
Joel Hans Embiid,Cameroonian-American,30.0,Philadelphia 76ers,"Camden, New Jersey"
Paul Clifton Anthony George,American,23.0,Philadelphia 76ers,"Camden, New Jersey"
Kyrie Andrew Irving,American,32.0,Dallas Mavericks,Dallas
Jayson Tatum,American,27.0,Boston Celtics,Boston
Caleb Martin,American,28.0,Miami Heat,Miami
Andrew Christian Wiggins,Canadian,28.0,Golden State Warriors,San Francisco
Max Fiedler,American,23.0,Philadelphia 76ers,"Camden, New Jersey"
Jaylen Marselles Brown,African-American,28.0,Boston Celtics,Boston
Victor Wembanyama,French,19.0,San Antonio Spurs,San Antonio
Jrue Holiday Jrue Randall Holiday,American,,Boston Celtics,Boston
Austin Tyler Reaves,American,24.0,Los Angeles Lakers,Los Angeles
Kevin Wesley Love,American,25.0,Miami Heat,Miami
Al Horford,Dominican,31.0,Boston Celtics,Boston
Tyler Herro,American,23.0,Miami Heat,Miami
Duncan McBryde Robinson,American,29.0,Miami Heat,Miami
Kyle Anderson,American-Chinese,,Golden State Warriors,San Francisco
LeBron Raymone James Sr.,American,39.0,Los Angeles Lakers,Los Angeles
Jimmy Butler III,American,34.0,Miami Heat,Miami
Kevon Looney Kevon Grant Looney,American,27.0,Golden State Warriors,San Francisco
Zach LaVine,American,22.0,Chicago Bulls,Chicago
Kyle Lowry,American,,Charlotte Hornets,Charlotte
Michael Jeffrey Jordan,American,,Chicago Bulls,Chicago
Devin Armani Booker,American,26.0,Phoenix Suns,Phoenix
Draymond Jamal Green,American,22.0,Golden State Warriors,San Francisco
Zach Collins,American,25.0,San Antonio Spurs,San Antonio
Jonathan Kuminga,Congolese,21.0,Golden State Warriors,San Francisco
Lonzo Anderson Ball,American,26.0,New Orleans Pelicans,New Orleans
Jaime Jaquez Jr.,Mexican-American,21.0,Miami Heat,Miami
Shaquille Rashaun O'Neal,American,,Orlando Magic,Orlando
Kobe Bean Bryant,American,,Los Angeles Lakers,Los Angeles
Christopher Emmanuel Paul,American,,San Antonio Spurs,San Antonio
Harrison Bryce Jordan Barnes,American,,San Antonio Spurs,San Antonio
Bam Adebayo Edrice Femi Adebayo,American,26.0,Miami Heat,Miami
Carrick Felix,American,,Cleveland Cavaliers,Independence
Jay Fletcher Vincent,American,,Dallas Mavericks,Dallas
Anthony Avent,American,,Milwaukee Bucks,Milwaukee
Drew Edward Gordon,,33.0,Dallas Mavericks,Dallas
Earvin 'Magic' Johnson Jr.,American,42.0,Los Angeles Lakers,Los Angeles
Daniel Edward Anderson,American,,Portland Trail Blazers,"Portland, Oregon"
Trent Tucker,American,,Chicago Bulls,Chicago
Dwayne Schintzius Dwayne Kenneth Schintzius,American,,San Antonio Spurs,San Antonio
Vernon Maxwell,American,,Houston Rockets,Houston
Timothy Theodore Duncan,American,34.0,San Antonio Spurs,San Antonio
Walter Berry,American,,Portland Trail Blazers,"Portland, Oregon"
Tony Delk,American,,Charlotte Hornets,Charlotte
Derrick Joseph Chievous,American,,Houston Rockets,Houston
Rik Smits,Dutch,,Indiana Pacers,Indianapolis
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
Darnell Hillman,American,,Golden State Warriors,San Francisco
Mark Price William Mark Price,American,,Cleveland Cavaliers,Independence
Kurt Vincent Thomas,American,,Chicago Bulls,Chicago
Aaron Williams,American,51.0,Utah Jazz,Salt Lake City
William Bedford,American,,Phoenix Suns,Phoenix
Steve Smith,American,,Atlanta Hawks,Atlanta
Shawn Respert Shawn Christopher Respert,American,,Portland Trail Blazers,"Portland, Oregon"
,,,Portland Trail Blazers,"Portland, Oregon"
Lamar Brandon Stevens,American,25.0,Cleveland Cavaliers,Independence
Stephen Douglas Kerr,American,,Golden State Warriors,San Francisco
William Severlyn Hewitt,American,,Los Angeles Lakers,Los Angeles
Dino Rađa,Croatian,23.0,Boston Celtics,Boston
Jabari Dominic Walker,American,21.0,Portland Trail Blazers,"Portland, Oregon"
Erick Strickland,American,,Dallas Mavericks,Dallas
,,39.0,Phoenix Suns,Phoenix
Kermit Alan Washington,American,,Los Angeles Lakers,Los Angeles
Donyell Lamar Marshall,American,,Minnesota Timberwolves,Minneapolis
John Harding Lucas II,American,,Houston Rockets,Houston
Garfield Smith,American,,Boston Celtics,Boston
Michael Carter-Williams,American,22.0,Philadelphia 76ers,"Camden, New Jersey"
Dennis Schröder,German,24.0,Brooklyn Nets,New York City
"DaMon William ""Monti"" Davis",American,,Philadelphia 76ers,"Camden, New Jersey"
Trayce Jackson-Davis,American,23.0,Golden State Warriors,San Francisco
