name,draft_pick,college,team_name
Buddy Hield Chavano Rainer 'Buddy' Hield,6,Sunrise Christian Academy,Golden State Warriors
D'Angelo Russell D'Angelo Russell,2,Ohio State Buckeyes,Los Angeles Lakers
Joel Hans Embiid,3,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10,Fresno State Bulldogs,Philadelphia 76ers
Kyrie Andrew Irving,1,Duke University,Dallas Mavericks
Jayson Tatum,3,Duke Blue Devils,Boston Celtics
Caleb Martin,17,NC State Wolfpack,Miami Heat
Andrew Christian Wiggins,1,University of Kansas,Golden State Warriors
OG Anunoby Ogugua,23rd,Indiana University,New York Knicks
William Derek Grimm,"50th overall (CBA Draft, 1997)",University of Missouri,Sacramento Kings
Jaylen Marselles Brown,3,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1,Duke,San Antonio Spurs
Jrue Holiday Jrue Randall Holiday,17,UCLA Bruins,Boston Celtics
Austin Tyler Reaves,17,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,17,UCLA Bruins,Miami Heat
Wardell Stephen Curry II,7,Davidson Wildcats,USA Basketball
Al Horford,3,University of Florida,Boston Celtics
Tyler Herro,13,University of Kentucky,Miami Heat
Duncan McBryde Robinson,17,"Williams College, University of Michigan",Miami Heat
Anthony Marshon Davis Jr.,1,Kentucky Wildcats,Lakers
Kyle Anderson,30,UCLA Bruins,Golden State Warriors
LeBron Raymone James Sr.,1,,Los Angeles Lakers
Jimmy Butler III,30,"Tyler Junior College, Marquette University",Miami Heat
Kevon Looney Kevon Grant Looney,30,UCLA Bruins,Golden State Warriors
Zach LaVine,13,UCLA Bruins,Chicago Bulls
Kyle Lowry,24,Villanova University,Charlotte Hornets
Michael Jeffrey Jordan,17,North Carolina Tar Heels,Chicago Bulls
Devin Armani Booker,13,University of Kentucky,Phoenix Suns
Brandan Keith Wright,8,University of North Carolina at Chapel Hill,Charlotte Bobcats
Draymond Jamal Green,35,Michigan State Spartans,Golden State Warriors
Zach Collins,10,Gonzaga University,San Antonio Spurs
Jonathan Kuminga,7,UNLV,Golden State Warriors
Lonzo Anderson Ball,2,UCLA Bruins,New Orleans Pelicans
Jaime Jaquez Jr.,18,UCLA Bruins,Miami Heat
Jalen Marquis Brunson,33,Villanova University,New York Knicks
Shaquille Rashaun O'Neal,1,LSU Tigers,Orlando Magic
Kobe Bean Bryant,17,,Los Angeles Lakers
Christopher Emmanuel Paul,4,Wake Forest University,San Antonio Spurs
Harrison Bryce Jordan Barnes,7,University of North Carolina,San Antonio Spurs
Bam Adebayo Edrice Femi Adebayo,14,University of Kentucky,Miami Heat
Carrick Felix,33,Arizona State University,Cleveland Cavaliers
Kenneth Apple Green,11,Pan American University,New York Knicks
Jay Fletcher Vincent,24,Michigan State University,Dallas Mavericks
Anthony Avent,15,Seton Hall University,Milwaukee Bucks
Drew Edward Gordon,17,UCLA Bruins,Dallas Mavericks
Earvin 'Magic' Johnson Jr.,1,Michigan State University,Los Angeles Lakers
Daniel Edward Anderson,2,,Portland Trail Blazers
Trent Tucker,6,University of Minnesota,Chicago Bulls
Dwayne Schintzius Dwayne Kenneth Schintzius,24th overall,University of Florida,San Antonio Spurs
Vernon Maxwell,"2nd round, 37th overall",University of Florida,Houston Rockets
Timothy Theodore Duncan,1,Wake Forest University,San Antonio Spurs
Walter Berry,14,St. John's University,Portland Trail Blazers
Tony Delk,16,University of Kentucky,Charlotte Hornets
Derrick Joseph Chievous,16,University of Missouri,Houston Rockets
Rik Smits,2,Marist College,Indiana Pacers
Anthony Edwards,1,University of Georgia,Minnesota Timberwolves
,20th pick,,New York Knicks
Darnell Hillman,8,San Jose State University,Golden State Warriors
Mark Price William Mark Price,25th overall,Georgia Tech,Cleveland Cavaliers
Rod Derline,169th,Seattle University,Seattle SuperSonics
William Bedford,6,Memphis State University,Phoenix Suns
Steve Smith,5,Michigan State,Atlanta Hawks
Shawn Respert Shawn Christopher Respert,8,Michigan State,Portland Trail Blazers
Erazem Lorbek,17,Michigan State University,FC Barcelona
Stephen Douglas Kerr,50th overall,Arizona Wildcats,Golden State Warriors
Mark Jeffrey Radford,53,Oregon State University,Seattle SuperSonics
Kostas Papanikolaou,48,,Olympiacos
Jabari Dominic Walker,57,University of Colorado Boulder,Portland Trail Blazers
Kermit Alan Washington,5,American University,Los Angeles Lakers
Donyell Lamar Marshall,4,University of Connecticut,Minnesota Timberwolves
Greg Fillmore,N/A,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1,University of Maryland,Houston Rockets
Garfield Smith,10th pick in the third round,,Boston Celtics
Michael Carter-Williams,11,Syracuse Orange,Philadelphia 76ers
Dennis Schröder,17,,Brooklyn Nets
"DaMon William ""Monti"" Davis",21,Tennessee State University,Philadelphia 76ers
Trayce Jackson-Davis,57,Indiana University,Golden State Warriors
OG Anunoby,First-Round Pick,Indiana University,New York Knicks
Wiggins,"first overall in the draft by the Cleveland Cavaliers on June 26, 2014",,Timberwolves
Butler,30th overall pick in the 2011 NBA draft by the Chicago Bulls,Marquette,Heat
Stephen Curry,seventh overall pick in the 2009 NBA draft,Davidson,Golden State Warriors
Paul George,2010 NBA Draft,Fresno State,Indiana Pacers
Joel Embiid,No. 3,Kansas,76ers
LeBron James,No. 1 pick,,Lakers
Anthony Davis,Hornets select Anthony Davis,Kentucky,Kentucky
Love,5th overall by the Memphis Grizzlies,UCLA,Miami Heat
Jimmy Butler,30th overall pick in the 2011 NBA draft by the Chicago Bulls,Tyler J.C. Apaches,Miami Heat
Kevon Looney,30th,UCLA,Golden State Warriors
Looney,30th overall,UCLA,UCLA
Kevin Love,5th overall by the Memphis Grizzlies (traded from Minnesota Timberwolves),UCLA,Minnesota Timberwolves
Jrue Holiday,17th overall pick in the 2009 NBA draft,UCLA Bruins,Pelicans
Brown,third overall pick in the 2016 NBA draft,"University of California, Berkeley",Boston Celtics
Andrew Wiggins,No. 1 pick,Kansas University,Warriors
Lowry,24th overall pick in the 2006 NBA draft,Villanova,Raptors
Kyrie Irving,No. 1 Pick,Duke Blue Devils,Brooklyn Nets
Horford,third overall pick in the 2007 NBA draft,University of Florida,Celtics
Anunoby,23rd overall pick in the 2017 NBA draft by the Toronto Raptors,Penn State,Toronto Raptors
Anderson,30th overall pick of the draft by the San Antonio Spurs,,Golden State Warriors
Reaves,42nd overall by the Detroit Pistons,,Los Angeles Lakers
Herro,13th overall pick in the 2019 NBA draft,Kentucky,Miami Heat
D'Angelo Russell,No. 2 Pick,Ohio St,Lakers
Kyle Terrell Lowry,24th overall pick in the 2006 NBA draft,Villanova Wildcats,Philadelphia 76ers
Jalen Brunson,33rd overall pick,Villanova,Villanova
Lonzo Ball,Second Overall Pick,UCLA,Los Angeles Lakers
Bam Adebayo,14th pick,Kentucky,Miami Heat
Kobe Bryant,13th pick,,Los Angeles Lakers
Chris Paul,2005 NBA Draft,Wake Forest,Phoenix Suns
Donald Robert Anielak,3rd round (26th overall),Southwest Missouri State University,New York Knicks
Devin Booker,"Suns Select Devin Booker In The First Round Of The 2015 NBA Draft (June 25, 2015)",Kentucky,Phoenix Suns
Tim Duncan,No. 1,Wake Forest,San Antonio Spurs
Brunson,33rd overall pick,Villanova,Knicks
Kurt Thomas,Miami Heat in 1995,Texas Christian University,New York Knicks
Paul,fourth overall pick in the 2005 NBA draft,Wake Forest,New Orleans Hornets
Strickland,first round of the 1988 NBA draft,,New York Knicks
Jaquez,eighteenth overall pick,UCLA,Miami Heat
Kenneth 'Apple' Green,eleventh pick in the second round of the 1981 NBA draft,,New York Knicks
Edwards,No. 1 overall pick,,Minnesota Timberwolves
Crawford,27th overall pick in the 2010 NBA draft,,New York Knicks
Mark Price,25th overall in the second round of the 1986 NBA draft,Georgia Tech,Cleveland Cavaliers
Collins,10th overall by the Sacramento Kings and subsequently traded to the Portland Trail Blazers,Gonzaga,Portland Trail Blazers
Drummond,ninth overall pick in the 2012 NBA draft,University of Connecticut,Pistons
Dwight Howard,one draft pick,,Orlando Magic
Jameer Nelson,"one draft pick, a draft-day trade with the Denver Nuggets",,Orlando Magic
Paul Pierce,10th overall pick in 1998 NBA draft,,Boston Celtics
Arsalan Kazemi,54th overall pick,,76ers
Bennedict Mathurin,6th overall in the 2022 NBA draft,,Pacers
Tyrese Haliburton,"2020 NBA draft, lottery pick",,Pacers
Jalen Smith,"2020 NBA draft, lottery pick",,Pacers
Aaron Nesmith,"2020 NBA draft, lottery pick",,Pacers
Tristan Thompson,"2020 NBA draft, lottery pick",,Pacers
Daniel Theis,"2020 NBA draft, lottery pick",,Pacers
Andrew Nembhard,second round pick in the 2022 NBA draft,,Pacers
Jack Parr,10th round of the 1958 NBA draft,Kansas State University,Cincinnati Royals
Jackson-Davis,57th overall by the Golden State Warriors in the second round in the 2023 NBA draft,Indiana,Golden State Warriors
Schröder,17th overall pick in the 2013 NBA draft,,Atlanta Hawks
Jerry West,number two pick in the 1960 NBA draft,West Virginia University,Los Angeles Lakers
Gregory Paul Fillmore,"8th round, 1970 NBA draft",Cheyney University of Pennsylvania,New York Knicks
Bill Russell,second overall pick,,St. Louis Hawks
Julius Randle,2019 third overall pick,,New York Knicks
Cam Reddish,10th overall pick of the 2019 NBA draft,,New York Knicks
RJ Barrett,third overall pick of the 2019 NBA draft,,New York Knicks
Markieff Morris,13th pick,Kansas Jayhawks,Phoenix Suns
Kendall Marshall,13th pick,North Carolina Tar Heels,Phoenix Suns
Bill Walton,1st pick in 1974 NBA draft from UCLA,,Portland Trail Blazers
Rick Barry,1965,,Golden State Warriors
Kawhi Leonard,30th overall pick in 2014 NBA draft,San Diego State,San Antonio Spurs
Derrick Rose,first overall by the Bulls in 2008,Wake Forest,Bulls
Pascal Siakam,27th overall pick in the 2016 NBA draft,,Toronto Raptors
Mark Aguirre,first pick,,Dallas Mavericks
Sam Perkins,"Cleveland's first-round pick, which ended up being the fourth pick overall.",,Dallas Mavericks
Donovan Mitchell,13th overall pick in the 2017 NBA draft,,Utah Jazz
Chris Bosh,4th overall in 2003 NBA draft,,Toronto Raptors
Roy Tarpley,seventh overall pick,,Mavericks
Ricky Berry,18th pick overall in the 1988 NBA draft,,Kings
Pervis Ellison,first overall pick in the 1989 NBA draft,,Kings
Wayman Tisdale,second pick overall in the 1985 NBA draft,,Kings
Lionel Simmons,7th pick overall in the 1990 NBA draft,,Kings
Scottie Barnes,fourth overall,Florida State,Raptors
Michael Porter Jr.,14th pick in the 2018 NBA Draft,,Denver Nuggets
Vinny Del Negro,29th overall pick in the 1988 NBA draft,,Sacramento Kings
Joe Kleine,6th pick overall in the 1985 NBA draft,,Sacramento Kings
Michael Jackson,47th pick overall in the 1986 NBA draft,,Sacramento Kings
Ed Pinckney,10th overall in the 1985 NBA draft,,Sacramento Kings
Manu Ginóbili,1999 second-round,,San Antonio Spurs
Wes Unseld,number two overall,St. Francis,Bullets
