name,team_name,city_name,state_name
Buddy Hield Chavano Rainer 'Buddy' Hield,Golden State Warriors,San Francisco,California
D'Angelo Russell D'Angelo Russell,Los Angeles Lakers,Los Angeles,California
Kyrie Andrew Irving,Dallas Mavericks,Dallas,Texas
Jayson Tatum,Boston Celtics,Boston,Massachusetts
Caleb Martin,Miami Heat,Miami,Florida
Andrew Christian Wiggins,Golden State Warriors,San Francisco,California
Jaylen Marselles Brown,Boston Celtics,Boston,Massachusetts
Victor Wembanyama,San Antonio Spurs,San Antonio,Texas
Jrue Holiday Jrue Randall Holiday,Boston Celtics,Boston,Massachusetts
Austin Tyler Reaves,Los Angeles Lakers,Los Angeles,California
Kevin Wesley Love,Miami Heat,Miami,Florida
Al Horford,Boston Celtics,Boston,Massachusetts
Tyler Herro,Miami Heat,Miami,Florida
Duncan McBryde Robinson,Miami Heat,Miami,Florida
Anthony Marshon Davis Jr.,Lakers,Los Angeles,California
Kyle Anderson,Golden State Warriors,San Francisco,California
LeBron Raymone James Sr.,Los Angeles Lakers,Los Angeles,California
Jimmy Butler III,Miami Heat,Miami,Florida
Kevon Looney Kevon Grant Looney,Golden State Warriors,San Francisco,California
Zach LaVine,Chicago Bulls,Chicago,Illinois
Kyle Lowry,Charlotte Hornets,Charlotte,North Carolina
Michael Jeffrey Jordan,Chicago Bulls,Chicago,Illinois
Devin Armani Booker,Phoenix Suns,Phoenix,Arizona
Brandan Keith Wright,Charlotte Bobcats,Charlotte,North Carolina
Draymond Jamal Green,Golden State Warriors,San Francisco,California
Zach Collins,San Antonio Spurs,San Antonio,Texas
Jonathan Kuminga,Golden State Warriors,San Francisco,California
Lonzo Anderson Ball,New Orleans Pelicans,New Orleans,Louisiana
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Shaquille Rashaun O'Neal,Orlando Magic,Orlando,Florida
Kobe Bean Bryant,Los Angeles Lakers,Los Angeles,California
Christopher Emmanuel Paul,San Antonio Spurs,San Antonio,Texas
Harrison Bryce Jordan Barnes,San Antonio Spurs,San Antonio,Texas
Bam Adebayo Edrice Femi Adebayo,Miami Heat,Miami,Florida
Jay Fletcher Vincent,Dallas Mavericks,Dallas,Texas
Anthony Avent,Milwaukee Bucks,Milwaukee,Wisconsin
Drew Edward Gordon,Dallas Mavericks,Dallas,Texas
Earvin 'Magic' Johnson Jr.,Los Angeles Lakers,Los Angeles,California
Trent Tucker,Chicago Bulls,Chicago,Illinois
Dwayne Schintzius Dwayne Kenneth Schintzius,San Antonio Spurs,San Antonio,Texas
Vernon Maxwell,Houston Rockets,Houston,Texas
Timothy Theodore Duncan,San Antonio Spurs,San Antonio,Texas
Tony Delk,Charlotte Hornets,Charlotte,North Carolina
Derrick Joseph Chievous,Houston Rockets,Houston,Texas
Rik Smits,Indiana Pacers,Indianapolis,Indiana
Anthony Edwards,Minnesota Timberwolves,Minneapolis,Minnesota
Darnell Hillman,Golden State Warriors,San Francisco,California
Kurt Vincent Thomas,Chicago Bulls,Chicago,Illinois
Aaron Williams,Utah Jazz,Salt Lake City,Utah
William Bedford,Phoenix Suns,Phoenix,Arizona
Steve Smith,Atlanta Hawks,Atlanta,Georgia
Stephen Douglas Kerr,Golden State Warriors,San Francisco,California
William Severlyn Hewitt,Los Angeles Lakers,Los Angeles,California
Dino Rađa,Boston Celtics,Boston,Massachusetts
Erick Strickland,Dallas Mavericks,Dallas,Texas
,Phoenix Suns,Phoenix,Arizona
Kermit Alan Washington,Los Angeles Lakers,Los Angeles,California
Donyell Lamar Marshall,Minnesota Timberwolves,Minneapolis,Minnesota
John Harding Lucas II,Houston Rockets,Houston,Texas
Garfield Smith,Boston Celtics,Boston,Massachusetts
Dennis Schröder,Brooklyn Nets,New York City,New York
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
George,Brooklyn Nets,New York City,New York
Stephen Curry,Golden State Warriors,San Francisco,California
Paul George,Indiana Pacers,Indianapolis,Indiana
Tatum,Boston Celtics,Boston,Massachusetts
Joel Embiid,76ers,Philadelphia,Pennsylvania
LeBron James,Lakers,Los Angeles,California
Love,Miami Heat,Miami,Florida
Jimmy Butler,Miami Heat,Miami,Florida
Duncan Robinson,Miami Heat,Miami,Florida
Kevon Looney,Golden State Warriors,San Francisco,California
Kevin Love,Minnesota Timberwolves,Minneapolis,Minnesota
Antetokounmpo,Bucks,Milwaukee,Wisconsin
Jrue Holiday,Pelicans,New Orleans,Louisiana
Brown,Boston Celtics,Boston,Massachusetts
Andrew Wiggins,Warriors,San Francisco,California
Lowry,Raptors,Toronto,Ontario
Kyrie Irving,Brooklyn Nets,New York City,New York
Horford,Celtics,Boston,Massachusetts
Anunoby,Toronto Raptors,Toronto,Ontario
Anderson,Golden State Warriors,San Francisco,California
Austin Reaves,Los Angeles Lakers,Los Angeles,California
Curry,Warriors,San Francisco,California
Reaves,Los Angeles Lakers,Los Angeles,California
Herro,Miami Heat,Miami,Florida
D'Angelo Russell,Lakers,Los Angeles,California
Lonzo Ball,Los Angeles Lakers,Los Angeles,California
Bam Adebayo,Miami Heat,Miami,Florida
Kobe Bryant,Los Angeles Lakers,Los Angeles,California
Chris Paul,Phoenix Suns,Phoenix,Arizona
Devin Booker,Phoenix Suns,Phoenix,Arizona
Draymond Green,Warriors,San Francisco,California
