name,position,team_name,founded_year,id,player.id,team.id
andrew christian wiggins,Forward,Golden State Warriors,1946,,,
anthony marshon davis,Power forward,Los Angeles Lakers,1946,,,
"chavano rainer ""buddy"" hield",Backcourt,Golden State Warriors,1946,,,
christopher emmanuel paul,Point Guard,San Antonio Spurs,1967,,,
d'angelo russell,Point Guard,Los Angeles Lakers,1946,,,
darnell hillman,Forward,Indiana Pacers,1967,,,
devin armani booker,Shooting Guard,Phoenix Suns,1968,,,
draymond jamal green,Frontcourt,Golden State Warriors,1946,,,
duncan mcbryde robinson,Backcourt,Miami Heat,1988,,,
"edrice femi ""bam"" adebayo",Backcourt,Miami Heat,1988,,,
giannis sina ugo antetokounmpo,Power Forward,Milwaukee Bucks,1968,,,
harrison bryce jordan barnes,,San Antonio Spurs,1967,,,
jalen marquis brunson,Point Guard,New York Knicks,1946,,,
jaylen marselles brown,Shooting Guard,Boston Celtics,1946,,,
jayson christopher tatum,Forward,Boston Celtics,1946,,,
jimmy butler,Forward,Miami Heat,1988,,,
jrue randall holiday,Backcourt,Boston Celtics,1946,,,
"kenneth ""apple"" green",,New York Knicks,1946,,,
kevin wayne durant,Small Forward,Phoenix Suns,1968,,,
kevin wesley love,Frontcourt,Cleveland Cavaliers,1970,,,
kevon grant looney,Backcourt,Golden State Warriors,1946,,,
kurt thomas,Power forward-center,Miami Heat,1988,,,
kyle forman anderson,Forward,Golden State Warriors,1946,,,
kyrie andrew irving,,Dallas Mavericks,1980,,,
lebron raymone james,small forward and power forward,Los Angeles Lakers,1946,,,
lonzo anderson ball,Point guard,Chicago Bulls,1966,,,
"ogugua ""og"" anunoby",,New York Knicks,1946,,,
rik smits,Center,Indiana Pacers,1967,,,
shaquille rashaun o'neal,Frontcourt,Los Angeles Lakers,1946,,,
wardell stephen curry,Point Guard,Golden State Warriors,1946,,,
zach collins,Center,San Antonio Spurs,1967,,,
zachary thomas lavine,Backcourt,Chicago Bulls,1966,,,
