city_name,state_name,team_name,name,college
boston,Massachusetts,Boston Celtics,Stanley M. Noszka,
boston,Massachusetts,Boston Celtics,Garfield Smith,
boston,Massachusetts,Boston Celtics,Jayson Christopher Tatum,Duke University
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley"
boston,Massachusetts,Boston Celtics,Jrue Randall Holiday,UCLA
boston,Massachusetts,Boston Celtics,Alfred Joel Horford Reynoso,University of Florida
chicago,Illinois,Chicago Bulls,Trent Tucker,University of Minnesota
chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine,UCLA
cleveland,Ohio,Cleveland Cavaliers,Derrick Chievous,University of Missouri
dallas,Texas,Dallas Mavericks,Vernon Maxwell,University of Florida
indianapolis,Indiana,Indiana Pacers,Rik Smits,Marist College
indianapolis,Indiana,Indiana Pacers,Gregory Clinton Foster,UTEP
los angeles,California,Los Angeles Lakers,Jay Vincent Jay Fletcher Vincent,Michigan State Spartans
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky
los angeles,California,Los Angeles Lakers,Philip Douglas Jackson,University of North Dakota
los angeles,California,Los Angeles Lakers,Magic Johnson,Michigan State
los angeles,California,Los Angeles Clippers,Aaron Williams,Xavier University
miami,Florida,Miami Heat,Kevin Wesley Love,UCLA
miami,Florida,Miami Heat,Tyler Christopher Herro,University of Kentucky
miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College, University of Michigan"
miami,Florida,Miami Heat,Jimmy Butler III,Marquette University
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA
miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo",University of Kentucky
milwaukee,Wisconsin,Milwaukee Bucks,Erick Strickland,University of Nebraska
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia
san antonio,Texas,San Antonio Spurs,Tim Duncan,Wake Forest University
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,
san antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga Bulldogs
san antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,North Carolina Tar Heels
san francisco,California,Golden State Warriors,Darnell Hillman,San Jose State University
san francisco,California,Golden State Warriors,Steve Kerr,University of Arizona
san francisco,California,Golden State Warriors,Kermit Washington,American University
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers
san francisco,California,Golden State Warriors,"Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,Kansas Jayhawks
san francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson
san francisco,California,Golden State Warriors,Kyle Forman Anderson,UCLA
