city_name,state_name,team_name,name,college,city.id,id,player.id,team.id
boston,Massachusetts,Boston Celtics,Jayson Tatum,Duke Blue Devils,,,,
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley",,,,
boston,Massachusetts,Boston Celtics,Jrue Holiday,UCLA Bruins,,,,
boston,Massachusetts,Boston Celtics,Al Horford,University of Florida,,,,
boston,Massachusetts,Boston Celtics,Lamar Brandon Stevens,Penn State Nittany Lions,,,,
boston,Massachusetts,Boston Celtics,Joseph Xavier Forte,University of North Carolina at Chapel Hill,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA,,,,
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA Bruins,,,,
cleveland,Ohio,Cleveland Cavaliers,Kevin Wesley Love,UCLA Bruins,,,,
dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving,Duke Blue Devils,,,,
indianapolis,Indiana,Indiana Pacers,George,"California State University, Fresno",,,,
indianapolis,Indiana,Indiana Pacers,Rik Smits,Marist College,,,,
los angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State Buckeyes,,,,
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky Wildcats,,,,
los angeles,California,Los Angeles Lakers,LeBron Raymone James Sr.,,,,,
los angeles,California,Los Angeles Lakers,Shaquille Rashaun O'Neal,LSU Tigers,,,,
los angeles,California,Los Angeles Lakers,Kermit Alan Washington,American University,,,,
miami,Florida,Miami Heat,Tyler Herro,University of Kentucky,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College, University of Michigan",,,,
miami,Florida,Miami Heat,Jimmy Butler,"Tyler Junior College, Marquette University",,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins,,,,
miami,Florida,Miami Heat,Bam Adebayo,University of Kentucky,,,,
miami,Florida,Miami Heat,Kurt Vincent Thomas,Texas Christian University,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,University of Georgia,,,,
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,,,,,
san antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga,,,,
san antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University,,,,
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,University of North Carolina,,,,
san antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,Wake Forest Demon Deacons,,,,
san francisco,California,Golden State Warriors,Buddy Hield,Oklahoma Sooners,,,,
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,University of Kansas,,,,
san francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson,,,,
san francisco,California,Golden State Warriors,Kyle Anderson,UCLA Bruins,,,,
san francisco,California,Golden State Warriors,Kevon Looney,UCLA Bruins,,,,
san francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State Spartans,,,,
san francisco,California,Golden State Warriors,Jonathan Kuminga,The Patrick School,,,,
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers,,,,
