name,draft_pick,college,team_name,id,player.id,team.id
andrew christian wiggins,1,University of Kansas,Golden State Warriors,,,
anthony edwards,1,University of Georgia,Minnesota Timberwolves,,,
anthony marshon davis,1,Kentucky Wildcats,Los Angeles Lakers,,,
ausar xlnc thompson,5,,Detroit Pistons,,,
cade parker cunningham,1,Oklahoma State,Detroit Pistons,,,
"chavano rainer ""buddy"" hield",6,Oklahoma Sooners,Golden State Warriors,,,
christopher emmanuel paul,4,Wake Forest University,San Antonio Spurs,,,
d'angelo russell,2,Ohio State Buckeyes,Los Angeles Lakers,,,
darnell hillman,8,San Jose State University,Indiana Pacers,,,
derrick chievous,16,University of Missouri,Houston Rockets,,,
devin armani booker,13,University of Kentucky,Phoenix Suns,,,
draymond jamal green,35,Michigan State Spartans,Golden State Warriors,,,
duncan mcbryde robinson,undrafted,"Williams College, University of Michigan",Miami Heat,,,
"edrice femi ""bam"" adebayo",14,University of Kentucky,Miami Heat,,,
garfield smith,10,,Boston Celtics,,,
giannis sina ugo antetokounmpo,15,,Milwaukee Bucks,,,
harrison bryce jordan barnes,7,University of North Carolina,San Antonio Spurs,,,
jabari dominic walker,57,University of Colorado Boulder,Portland Trail Blazers,,,
jaden edward dhananjay ivey,5,Purdue Boilermakers,Detroit Pistons,,,
jaime jaquez,18,UCLA Bruins,Miami Heat,,,
jalen marquis brunson,33,Villanova University,New York Knicks,,,
jay vincent jay fletcher vincent,24,Michigan State University,Dallas Mavericks,,,
jaylen marselles brown,3,"University of California, Berkeley",Boston Celtics,,,
jayson christopher tatum,3,Duke Blue Devils,Boston Celtics,,,
jimmy butler,30,"Tyler Junior College, Marquette University",Miami Heat,,,
john harding lucas,1,University of Maryland,Houston Rockets,,,
jonathan malangu kuminga,7,The Patrick School,Golden State Warriors,,,
jrue randall holiday,17,UCLA Bruins,Boston Celtics,,,
"kenneth ""apple"" green",11,Pan American University,New York Knicks,,,
kermit washington,5,American University,Los Angeles Lakers,,,
kevin wayne durant,2,University of Texas,Phoenix Suns,,,
kevin wesley love,5,UCLA Bruins,Cleveland Cavaliers,,,
kevon grant looney,30,UCLA Bruins,Golden State Warriors,,,
kyle forman anderson,30,UCLA Bruins,Golden State Warriors,,,
kyrie andrew irving,1,Duke Blue Devils,Dallas Mavericks,,,
lebron raymone james,1,,Los Angeles Lakers,,,
lonzo anderson ball,2,UCLA Bruins,Chicago Bulls,,,
mark price,25,Georgia Tech,Cleveland Cavaliers,,,
"ogugua ""og"" anunoby",23,Indiana University,New York Knicks,,,
rik smits,2,Marist College,Indiana Pacers,,,
shaquille rashaun o'neal,1,LSU Tigers,Los Angeles Lakers,,,
trayce jackson-davis,57,Indiana Hoosiers,Golden State Warriors,,,
trent tucker,6,University of Minnesota,New York Knicks,,,
tyler christopher herro,13,University of Kentucky,Miami Heat,,,
vernon maxwell,second round of the 1988 NBA draft,University of Florida,Houston Rockets,,,
victor wembanyama,1,,San Antonio Spurs,,,
wardell stephen curry,17,Davidson,Golden State Warriors,,,
zach collins,10,Gonzaga,San Antonio Spurs,,,
zachary thomas lavine,13,UCLA,Chicago Bulls,,,
