team_name,location,city_name,state_name
atlanta hawks,Atlanta,Atlanta,Georgia
boston celtics,Boston,Boston,Massachusetts
chicago bulls,Chicago,Chicago,Illinois
cleveland cavaliers,Cleveland,Cleveland,Ohio
dallas mavericks,Dallas,Dallas,Texas
denver nuggets,Denver,Denver,Colorado
golden state warriors,San Francisco,San Francisco,California
houston rockets,Houston,Houston,Texas
indiana pacers,Indianapolis,Indianapolis,Indiana
los angeles lakers,Los Angeles,Los Angeles,California
miami heat,Miami,Miami,Florida
milwaukee bucks,Milwaukee,Milwaukee,Wisconsin
minnesota timberwolves,Minneapolis,Minneapolis,Minnesota
new orleans pelicans,New Orleans,New Orleans,Louisiana
san antonio spurs,San Antonio,San Antonio,Texas
toronto raptors,Toronto,Toronto,Ontario
