name,birth_date,team_name,area
Andrew Christian Wiggins,1995/2/23,Golden State Warriors,232
Buddy Hield,1992/12/17,Golden State Warriors,232
Draymond Jamal Green,1990/3/4,Golden State Warriors,232
Jonathan Kuminga,2002/10/6,Golden State Warriors,232
Kevon Looney,1996/2/6,Golden State Warriors,232
Kyle Anderson,1993/9/20,Golden State Warriors,232
Trayce Jackson-Davis,2000/2/22,Golden State Warriors,232
Wardell Stephen Curry II,1988/3/14,Golden State Warriors,232
Al Horford,1986/6/3,Boston Celtics,232.1
Garfield Smith,1945/11/18,Boston Celtics,232.1
Jaylen Marselles Brown,1996/10/24,Boston Celtics,232.1
Jayson Tatum,1998/3/3,Boston Celtics,232.1
Joseph Xavier Forte,1981/3/23,Boston Celtics,232.1
Jrue Holiday,1990/6/12,Boston Celtics,232.1
Lamar Brandon Stevens,1997/7/9,Boston Celtics,232.1
Carrick Felix,1990/8/17,Cleveland Cavaliers,82.47
"Dewayne ""D. J."" White, Jr.",1986/8/31,Cleveland Cavaliers,82.47
Kevin Wesley Love,1988/9/7,Cleveland Cavaliers,82.47
Mark Price William Mark Price,1964/2/15,Cleveland Cavaliers,82.47
Derrick Joseph Chievous,1967/7/3,Houston Rockets,637.4
John Lucas II,1953/10/31,Houston Rockets,637.4
Vernon Maxwell,1965/9/12,Houston Rockets,637.4
Giannis Antetokounmpo,1994/12/6,Milwaukee Bucks,250.71
Darnell Hillman,1949/8/29,Indiana Pacers,367.9
George,,Indiana Pacers,367.9
Rik Smits,1966/8/23,Indiana Pacers,367.9
Erick Strickland,1973/11/25,Dallas Mavericks,385.8
Jay Fletcher Vincent,1959/6/10,Dallas Mavericks,385.8
Kyrie Andrew Irving,1992/3/23,Dallas Mavericks,385.8
Christopher Emmanuel Paul,1985/5/6,San Antonio Spurs,1205.4
Dwayne Schintzius,1968/10/14,San Antonio Spurs,1205.4
Harrison Bryce Jordan Barnes,1992/5/30,San Antonio Spurs,1205.4
Timothy Theodore Duncan,1976/4/25,San Antonio Spurs,1205.4
Victor Wembanyama,2004/1/4,San Antonio Spurs,1205.4
Zach Collins,1997/11/19,San Antonio Spurs,1205.4
Anthony Marshon Davis Jr.,1993/3/11,Los Angeles Lakers,502.7
D'Angelo Russell,1996/2/23,Los Angeles Lakers,502.7
Kermit Alan Washington,1951/9/17,Los Angeles Lakers,502.7
Kobe Bean Bryant,1978/8/23,Los Angeles Lakers,502.7
LeBron Raymone James Sr.,1984/12/30,Los Angeles Lakers,502.7
Shaquille Rashaun O'Neal,1972/3/6,Los Angeles Lakers,502.7
Anthony Edwards,2001/8/5,Minnesota Timberwolves,152.8
