name,nationality,age,team_name,location,id,player.id,team.id
aaron williams,American,,Utah Jazz,Salt Lake City,,,
andre jamal drummond,American,32.0,Philadelphia 76ers,"Camden, New Jersey",,,
andrew christian wiggins,Canadian,28.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,American,32.0,Los Angeles Lakers,Downtown Los Angeles,,,
ausar xlnc thompson,American,22.0,Detroit Pistons,Downtown Detroit,,,
austin tyler reaves,American,26.0,Los Angeles Lakers,Downtown Los Angeles,,,
brandan keith wright,American,38.0,Golden State Warriors,San Francisco,,,
cade parker cunningham,American,23.0,Detroit Pistons,Downtown Detroit,,,
caleb martin,American,28.0,Miami Heat,Miami,,,
"chavano rainer ""buddy"" hield",Bahamian,32.0,Golden State Warriors,San Francisco,,,
christopher emmanuel paul,American,38.0,San Antonio Spurs,San Antonio,,,
d'angelo russell,American,27.0,Los Angeles Lakers,Downtown Los Angeles,,,
darnell hillman,,73.98630136986301,Indiana Pacers,Indianapolis,,,
devin armani booker,American,27.0,Phoenix Suns,Phoenix,,,
draymond jamal green,American,35.0,Golden State Warriors,San Francisco,,,
drew edward gordon,American,,Philadelphia 76ers,"Camden, New Jersey",,,
duncan mcbryde robinson,American,31.0,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",American,27.35,Miami Heat,Miami,,,
erick strickland,American,,Dallas Mavericks,Dallas,,,
giannis sina ugo antetokounmpo,Greek and Nigerian,30.0,Milwaukee Bucks,Milwaukee,,,
harrison bryce jordan barnes,American,32.0,San Antonio Spurs,San Antonio,,,
jabari dominic walker,American,23.0,Portland Trail Blazers,Portland,,,
jaden edward dhananjay ivey,American,21.0,Detroit Pistons,Downtown Detroit,,,
jaime jaquez,Mexican-American,24.0,Miami Heat,Miami,,,
jalen marquis brunson,American,28.0,New York Knicks,Manhattan,,,
jay vincent jay fletcher vincent,American,,Dallas Mavericks,Dallas,,,
jaylen marselles brown,American,27.0,Boston Celtics,Boston,,,
jayson christopher tatum,American,28.0,Boston Celtics,Boston,,,
jimmy butler,American,35.0,Miami Heat,Miami,,,
joel hans embiid,Cameroonian-American,31.0,Philadelphia 76ers,"Camden, New Jersey",,,
jonathan malangu kuminga,Congolese,21.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,American,34.0,Boston Celtics,Boston,,,
"kenneth ""apple"" green",American,65.0,New York Knicks,Manhattan,,,
kermit washington,American,73.0,Los Angeles Lakers,Downtown Los Angeles,,,
kevin wayne durant,American,36.0,Phoenix Suns,Phoenix,,,
kevin wesley love,American,36.0,Miami Heat,Miami,,,
kevon grant looney,American,27.0,Golden State Warriors,San Francisco,,,
kobe bean bryant,American-born naturalized Azerbaijani,46.0,Los Angeles Lakers,Downtown Los Angeles,,,
kurt thomas,American,52.0,Chicago Bulls,Chicago,,,
kyle forman anderson,American,32.0,Memphis Grizzlies,Memphis,,,
kyle terrell lowry,American,,Philadelphia 76ers,"Camden, New Jersey",,,
kyrie andrew irving,American,32.0,Dallas Mavericks,Dallas,,,
lamar brandon stevens,American,25.0,Cleveland Cavaliers,suburban Independence,,,
lebron raymone james,American,40.0,Los Angeles Lakers,Downtown Los Angeles,,,
lonzo anderson ball,American,27.0,Chicago Bulls,Chicago,,,
mark price,American,,Cleveland Cavaliers,suburban Independence,,,
max berning fiedler,American,24.0,Philadelphia 76ers,"Camden, New Jersey",,,
"ogugua ""og"" anunoby",British,25.0,New York Knicks,Manhattan,,,
paul clifton anthony george,American,25.0,Philadelphia 76ers,"Camden, New Jersey",,,
rik smits,Dutch,58.0,Indiana Pacers,Indianapolis,,,
shaquille rashaun o'neal,American,,Orlando Magic,Orlando,,,
trayce jackson-davis,American,25.0,Golden State Warriors,San Francisco,,,
trent tucker,American,,New York Knicks,Manhattan,,,
tyler christopher herro,American,23.0,Miami Heat,Miami,,,
victor wembanyama,French,21.0,San Antonio Spurs,San Antonio,,,
wardell stephen curry,American,37.0,Golden State Warriors,San Francisco,,,
zach collins,American,27.0,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,28.0,Chicago Bulls,Chicago,,,
