name,nationality,age,team_name,location
aaron williams,American,54,Los Angeles Clippers,Los Angeles
andre jamal drummond,American,32,Philadelphia 76ers,Philadelphia
andrew christian wiggins,Canadian,30,Golden State Warriors,San Francisco
anthony edwards,American,24,Minnesota Timberwolves,Minneapolis
anthony marshon davis,American,32,Los Angeles Lakers,Los Angeles
ausar xlnc thompson,American,22,Detroit Pistons,Detroit
austin tyler reaves,American,27,Los Angeles Lakers,Los Angeles
brandan keith wright,American,37,Houston Rockets,Houston
cade parker cunningham,American,24,Detroit Pistons,Detroit
caleb martin,American,30,Philadelphia 76ers,Philadelphia
"chavano rainer ""buddy"" hield",Bahamian,33,Golden State Warriors,San Francisco
christopher emmanuel paul,American,40,San Antonio Spurs,San Antonio
d'angelo russell,American,29,Los Angeles Lakers,Los Angeles
darnell hillman,American,76,Golden State Warriors,San Francisco
devin armani booker,American,28,Phoenix Suns,Phoenix
draymond jamal green,American,35,Golden State Warriors,San Francisco
drew edward gordon,American,33,Philadelphia 76ers,Philadelphia
duncan mcbryde robinson,American,31,Miami Heat,Miami
"edrice femi ""bam"" adebayo",American,28,Miami Heat,Miami
erick strickland,American,51,Milwaukee Bucks,Milwaukee
giannis sina ugo antetokounmpo,Greek and Nigerian,31,Milwaukee Bucks,Milwaukee
harrison bryce jordan barnes,American,33,San Antonio Spurs,San Antonio
jabari dominic walker,American,23,Portland Trail Blazers,Portland
jaden edward dhananjay ivey,American,23,Detroit Pistons,Detroit
jaime jaquez,Mexican-American,24,Miami Heat,Miami
jalen marquis brunson,American,29,New York Knicks,New York City
jay vincent jay fletcher vincent,American,66,Los Angeles Lakers,Los Angeles
jaylen marselles brown,American,29,Boston Celtics,Boston
jayson christopher tatum,American,27,Boston Celtics,Boston
jimmy butler,American,36,Miami Heat,Miami
joel hans embiid,Cameroonian-American,31,Philadelphia 76ers,Philadelphia
jonathan malangu kuminga,Congolese,23,Golden State Warriors,San Francisco
jrue randall holiday,American,35,Boston Celtics,Boston
"kenneth ""apple"" green",American,66,New York Knicks,New York City
kermit washington,American,74,Golden State Warriors,San Francisco
kevin wayne durant,American,37,Phoenix Suns,Phoenix
kevin wesley love,American,37,Miami Heat,Miami
kevon grant looney,American,29,Golden State Warriors,San Francisco
kobe bean bryant,American,47,Los Angeles Lakers,Los Angeles
kurt thomas,American,53,New York Knicks,New York City
kyle forman anderson,American-Chinese,33,Golden State Warriors,San Francisco
kyle terrell lowry,American,39,Philadelphia 76ers,Philadelphia
kyrie andrew irving,American,33,Dallas Mavericks,Dallas
lamar brandon stevens,American,28,Memphis Grizzlies,Memphis
lebron raymone james,American,40,Los Angeles Lakers,Los Angeles
lonzo anderson ball,American,28,Chicago Bulls,Chicago
mark price,American,61,Orlando Magic,Orlando
max berning fiedler,American,24,Philadelphia 76ers,Philadelphia
"ogugua ""og"" anunoby",British,28,New York Knicks,New York City
paul clifton anthony george,American,35,Philadelphia 76ers,Philadelphia
rik smits,Dutch,59,Indiana Pacers,Indianapolis
shaquille rashaun o'neal,American,53,Boston Celtics,Boston
trayce jackson-davis,American,25,Golden State Warriors,San Francisco
trent tucker,American,65,Chicago Bulls,Chicago
tyler christopher herro,American,25,Miami Heat,Miami
victor wembanyama,French,21,San Antonio Spurs,San Antonio
wardell stephen curry,American,37,Golden State Warriors,San Francisco
zach collins,American,28,San Antonio Spurs,San Antonio
zachary thomas lavine,American,30,Chicago Bulls,Chicago
