name,college,team_name,gdp,city.id,id,player.id,team.id
andrew christian wiggins,University of Kansas,Golden State Warriors,$729 billion,,,,
anthony edwards,Georgia Bulldogs,Minnesota Timberwolves,69397.0,,,,
brandan keith wright,University of North Carolina at Chapel Hill,Golden State Warriors,$729 billion,,,,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,$729 billion,,,,
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,$121 billion,,,,
derrick chievous,University of Missouri,Houston Rockets,,,,,
devin armani booker,University of Kentucky,Phoenix Suns,$362 billion,,,,
draymond jamal green,Michigan State University,Golden State Warriors,$729 billion,,,,
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,344900000000.0,,,,
garfield smith,,Boston Celtics,,,,,
giannis sina ugo antetokounmpo,Filathlitikos,Milwaukee Bucks,10200000000.0,,,,
harrison bryce jordan barnes,University of North Carolina at Chapel Hill,San Antonio Spurs,$121 billion,,,,
jaime jaquez,UCLA Bruins,Miami Heat,344900000000.0,,,,
jay vincent jay fletcher vincent,Michigan State University,Dallas Mavericks,,,,,
jaylen marselles brown,"University of California, Berkeley",Boston Celtics,,,,,
jayson christopher tatum,Duke Blue Devils,Boston Celtics,,,,,
jimmy butler,Tyler Junior College,Miami Heat,344900000000.0,,,,
john harding lucas,University of Maryland,Houston Rockets,,,,,
jonathan malangu kuminga,,Golden State Warriors,$729 billion,,,,
jrue randall holiday,UCLA,Boston Celtics,,,,,
kevin wesley love,UCLA Bruins,Miami Heat,344900000000.0,,,,
kevon grant looney,UCLA Bruins,Golden State Warriors,$729 billion,,,,
kyle forman anderson,UCLA Bruins,Golden State Warriors,$729 billion,,,,
kyrie andrew irving,Duke Blue Devils,Dallas Mavericks,,,,,
lonzo anderson ball,UCLA Bruins,Chicago Bulls,689000000000.0,,,,
mark price,Georgia Tech,Cleveland Cavaliers,$176 billion,,,,
rik smits,Marist College,Indiana Pacers,29th largest metropolitan economy in the U.S.,,,,
shaquille rashaun o'neal,LSU,Sacramento Kings,,,,,
trayce jackson-davis,Indiana,Golden State Warriors,$729 billion,,,,
tyler christopher herro,University of Kentucky,Miami Heat,344900000000.0,,,,
vernon maxwell,University of Florida,Houston Rockets,,,,,
victor wembanyama,,San Antonio Spurs,$121 billion,,,,
wardell stephen curry,Davidson,Golden State Warriors,$729 billion,,,,
zach collins,Gonzaga Bulldogs,San Antonio Spurs,$121 billion,,,,
zachary thomas lavine,UCLA Bruins,Chicago Bulls,689000000000.0,,,,
