name,position,team_name,founded_year
Buddy Hield Chavano Rainer,,Golden State Warriors,1946
D'Angelo Russell,Backcourt,Los Angeles Lakers,1946
Joel Hans Embiid,Frontcourt,Philadelphia 76ers,1946
Paul Clifton Anthony George,Small forward,Philadelphia 76ers,1946
Kyrie Irving,Point Guard,Dallas Mavericks,2000
Jayson Tatum,Frontcourt,Boston Celtics,1946
Caleb Martin,small forward,Philadelphia 76ers,1946
Andrew Christian Wiggins,Frontcourt,Golden State Warriors,1946
OG Anunoby Ogugua,,New York Knicks,1946
Jaylen Marselles Brown,Shooting guard and small forward,Boston Celtics,1946
Jrue Holiday,Backcourt,Boston Celtics,1946
Austin Tyler Reaves,,Los Angeles Lakers,1946
Kevin Wesley Love,Frontcourt,Miami Heat,1988
Giannis Antetokounmpo,forward,Milwaukee Bucks,1968
Wardell Stephen Curry II,point guard,Golden State Warriors,1946
Al Horford,Frontcourt,Boston Celtics,1946
Duncan McBryde Robinson,Backcourt,Miami Heat,1988
Anthony Marshon Davis Jr.,power forward and center,Los Angeles Lakers,1946
Kyle Anderson,Backcourt,Golden State Warriors,1946
LeBron Raymone James Sr.,Frontcourt,Los Angeles Lakers,1946
Jimmy Butler III,Forward,Miami Heat,1988
Kevon Looney,Frontcourt,Golden State Warriors,1946
Zach LaVine,Backcourt,Chicago Bulls,1966
Devin Armani Booker,Backcourt,Phoenix Suns,1968
Draymond Jamal Green,power forward,Golden State Warriors,1946
Lonzo Anderson Ball,Point guard,Chicago Bulls,1966
Jalen Marquis Brunson,Frontcourt,New York Knicks,1946
Shaquille Rashaun O'Neal,Center,Sacramento Kings,1945
Kobe Bean Bryant,Shooting guard,Los Angeles Lakers,1946
Christopher Emmanuel Paul,Point Guard,San Antonio Spurs,1967
Harrison Bryce Jordan Barnes,Frontcourt,San Antonio Spurs,1967
Bam Adebayo,Frontcourt,Miami Heat,1988
Drew Edward Gordon,Frontcourt,Philadelphia 76ers,1946
"Earvin ""Magic"" Johnson Jr.",Backcourt,Los Angeles Lakers,1946
Timothy Theodore Duncan,power forward,San Antonio Spurs,1967
Aaron Williams,power forward and center,Utah Jazz,1974
William Severlyn Hewitt,Forward,Los Angeles Lakers,1946
Jabari Dominic Walker,,Portland Trail Blazers,1970
Erick Strickland,,Dallas Mavericks,2000
,Shooting Guard,Brooklyn Nets,1967
John Harding Lucas II,,Houston Rockets,1971
Dennis Schröder,Frontcourt,Toronto Raptors,1995
Andre Drummond,Center,Philadelphia 76ers,1946
